IncidentId,UniqueId,Name,Location,Latitude,Longitude,AcresBurnedDisplay,PercentContainedDisplay,ExternalIncidentLink,CountiesList,UpdatedDate,StartedDate,AdminUnit,IncidentTypeDisplay,Url,IsActive
812,42af9060-4b93-4919-bd89-9fe684b41fd3,Honcut Fire,off Palermo Honcut Highway and Ahart Road near the community of Honcut,0.0,0.0,60,100%,,Butte,2014-01-02 07:30:00,2014-01-01,CAL FIRE Butte Unit,,https://www.fire.ca.gov/incidents/2014/1/1/honcut-fire/,N,
813,353e7df7-440c-4c41-a27c-b35bb1e2831c,Campbell Fire,Ishi Wilderness, north of Campbellville in the Lassen National Forest,40.134597,-121.790183,865,100%,,Tehama,2014-01-10 18:30:00,2014-01-02,Lassen National Forest,,https://www.fire.ca.gov/incidents/2014/1/2/campbell-fire/,N,
814,1fe0ea01-23e8-47a1-8fbd-ced6cf655e4d,Colby Fire,near Morris Reservoir, north of Glendora,34.1703,-117.8816,1,952,100%,,Los Angeles,2014-01-27 10:00:00,2014-01-16,Angeles National Forest and LA County Fire Department,,https://www.fire.ca.gov/incidents/2014/1/16/colby-fire/,N,
815,4f7bb6c9-8b10-4892-89a8-d2b78931aa10,Bridge Fire,near the community of Bridgeville,0.0,0.0,18,100%,,Humboldt,2014-01-04 18:30:00,2014-01-03,CAL FIRE Humboldt Del-Norte Unit,,https://www.fire.ca.gov/incidents/2014/1/3/bridge-fire/,N,
816,6d75c6a4-12cb-4f18-8951-f2737e980916,Red Fire,South of Berry Summit, west of Willow Creek,40.884415,-123.773779,333,100%,,Humboldt,2014-01-08 19:15:00,2014-01-04,CAL FIRE Humboldt Del-Norte Unit,,https://www.fire.ca.gov/incidents/2014/1/4/red-fire/,N,
817,072e04ed-1f34-45e8-b7c2-3788ebf3be4c,Brewer Fire,off South Brewer Road, west of Roseville,0.0,0.0,120,100%,,Placer,2014-01-22 16:35:00,2014-01-22,CAL FIRE Nevada-Placer-Yuba Unit / Placer County Fire,,https://www.fire.ca.gov/incidents/2014/1/22/brewer-fire/,N,
818,d529636e-33d0-484b-9c6f-093ba33736b7,Lake Fire,off Trimmer Springs Rd & Sunnyslope Rd near Pine Flat Lake ,36.8266,-119.3415,106,100%,,Fresno,2014-01-26 18:00:00,2014-01-25,CAL FIRE Fresno-Kings Unit,,https://www.fire.ca.gov/incidents/2014/1/25/lake-fire/,N,
819,a67fe9bc-b8ec-4ed1-a2e8-06623aab7039,Gun Fire,Off Interstate 8 & Sunrise Hwy, near Pine Valley,32.81,-116.49,125,100%,,San Diego,2014-03-11 11:00:00,2014-03-08,USFS - Cleveland National Forest,,https://www.fire.ca.gov/incidents/2014/3/8/gun-fire/,N,
820,af1dd364-be2a-4818-81fb-dea0e527d6c5,Pierce Fire,off Ave 66 and Pierce St in Thermal,0.0,0.0,350,100%,,Riverside,2014-03-16 08:30:00,2014-03-15,CAL FIRE / Riverside County Fire Department,,https://www.fire.ca.gov/incidents/2014/3/15/pierce-fire/,N,
821,cb580f06-5d43-46aa-8b2c-f2b5a21eff02,Encinal Fire,Off Encinal Rd, 8 miles southeast of Salinas,36.6313,-121.4819,400,100%,,Monterey,2014-03-21 18:00:00,2014-03-19,CAL FIRE San Benito-Monterey Unit,,https://www.fire.ca.gov/incidents/2014/3/19/encinal-fire/,N,
822,edff6f87-80b8-4c0d-8f6a-45c6e798b7fa,Van Buren Fire,Off Ave 62 and Van Buren St in Thermal,33.5982,-116.1985,57,100%,,Riverside,2014-03-29 17:15:00,2014-03-28,CAL FIRE / Riverside County Fire,,https://www.fire.ca.gov/incidents/2014/3/28/van-buren-fire/,N,
823,1faad916-32b9-4cd0-94b8-dacfe71fa9f8,Bridges Fire,off Highway 6 & 5 Bridges Rd, 5 miles northeast of Bishop,37.399,-118.352,113,100%,,Inyo,2014-04-21 19:15:00,2014-04-19,CAL FIRE San Bernardino Unit,,https://www.fire.ca.gov/incidents/2014/4/19/bridges-fire/,N,
824,13bfff2c-cb2f-4ed9-a7f8-6985646a2d5d,Etiwanda Fire,North of Rancho Cucamonga,34.169346,-117.547374,2,143,100%,,San Bernardino,2014-05-05 17:30:00,2014-04-30,CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire,,https://www.fire.ca.gov/incidents/2014/4/30/etiwanda-fire/,N,
825,d5cb2477-6627-4ef6-bab1-d0eecc4ad12a,Jacumba Fire,Off Interstate 8, east of McCain Valley Rd, east of Boulevard,32.665,-116.222,29,100%,,San Diego,2014-05-06 10:20:00,2014-05-05,CAL FIRE San Diego Unit,,https://www.fire.ca.gov/incidents/2014/5/5/jacumba-fire/,N,
826,9e5ee790-ee7e-4b40-b300-7a3046901162,Bernardo Fire,off Nighthawk Lane, southwest of Rancho Bernardo,33.003,-117.133,1,548,100%,,San Diego,2014-05-17 20:14:00,2014-05-13,CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire District,,https://www.fire.ca.gov/incidents/2014/5/13/bernardo-fire/,N,
827,91c3081d-33b4-46f2-8774-032c57f0f6a2,San Lucas Fire,San Lucas & Jolon Rd, west of King City ,36.103,-121.117,75,100%,,Monterey,2014-05-01 19:00:00,2014-04-30,CAL FIRE San Benito-Monterey Unit,,https://www.fire.ca.gov/incidents/2014/4/30/san-lucas-fire/,N,
828,d08b0c4e-35d3-43fb-8af8-1756b1789172,Miguelito Fire,Off Santa Miguelito Canyon Road in Lompoc,34.609,-120.454,632,100%,,Santa Barbara,2014-05-19 09:20:00,2014-05-13,Santa Barbara County Fire,,https://www.fire.ca.gov/incidents/2014/5/13/miguelito-fire/,N,
829,2b35bd0d-169f-4a81-835b-13bf527031a6,Tomahawk Fire,Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton ,33.3529,-117.284889,5,367,100%,,San Diego,2014-05-19 09:20:00,2014-05-14,Marine Corps Base Camp Pendleton,,https://www.fire.ca.gov/incidents/2014/5/14/tomahawk-fire/,N,
830,b0b5efed-3edc-4a4b-97c8-95a79d12d0c6,San Mateo Fire,in the Talega area of Marine Corps Base Camp Pendleton,33.417572,-117.550567,1,457,100%,,San Diego,2014-05-20 23:30:00,2014-05-16,Marine Corps Base Camp Pendleton,,https://www.fire.ca.gov/incidents/2014/5/16/san-mateo-fire/,N,
831,ebea3cc2-c0ad-4de2-829a-0b544183461b,Highway Fire,off Old Hwy 395 and I-15 in the Deer Springs area ,33.312,-117.162,380,100%,,San Diego,2014-05-15 18:30:00,2014-05-14,CAL FIRE San Diego Unit,,https://www.fire.ca.gov/incidents/2014/5/14/highway-fire/,N,
832,2c241790-d062-4b15-9a25-8e511c0febab,Fiddler Fire,Off Perla Rd & Fiddlers Rd in Igo,40.39,-122.721,50,100%,,Shasta,2014-05-15 11:30:00,2014-05-14,CAL FIRE Shasta-Trinity Unit,,https://www.fire.ca.gov/incidents/2014/5/14/fiddler-fire/,N,
833,1b1cba8f-7893-4eea-82d9-dc78663fd911,Cocos Fire,Village Drive and Twin Oaks Road, San Marcos,33.1137,-117.1599,1,995,100%,,San Diego,2014-05-22 18:15:00,2014-05-14,San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire Dept,,https://www.fire.ca.gov/incidents/2014/5/14/cocos-fire/,N,
834,36076476-0b5d-445a-a82b-27f953f3dde1,Freeway Fire ,Naval Weapons Station, Fallbrook,0.0,0.0,56,100%,,San Diego,2014-05-20 11:30:00,2014-05-14,Marine Corps Base - Camp Pendleton,,https://www.fire.ca.gov/incidents/2014/5/14/freeway-fire/,N,
835,811b6ea7-2a1b-414b-90fa-9edc6db21d46,River Fire,North River Road and College Blvd., Oceanside,0.0,0.0,105,100%,,San Diego,2014-05-19 09:20:00,2014-05-14,Oceanside Fire Department,,https://www.fire.ca.gov/incidents/2014/5/14/river-fire/,N,
836,2a3d56c7-2ba7-4f83-8e69-7ae9bab18b71,Pulgas Fire,Off Interstate 5 at Las Pulgas Rd, north of Oceanside,0.0,0.0,14,416,100%,,San Diego,2014-05-21 17:00:00,2014-05-15,Marine Corps Base Camp Pendleton,,https://www.fire.ca.gov/incidents/2014/5/15/pulgas-fire/,N,
837,cc18296d-573a-4737-8e4e-1221d75d1e7b,Poinsettia Fire,off Poinsettia Ln & Alicante Rd in Carlsbad,33.1109,-117.279,600,100%,,San Diego,2014-05-17 00:00:00,2014-05-14,Carlsbad Fire Department,,https://www.fire.ca.gov/incidents/2014/5/14/poinsettia-fire/,N,
838,b454456c-1fa9-4766-b179-6df36b4d844b,Indian Fire,Near Indian Valley Reservoir, East of Clearlake Oaks,39.1647,-122.5983,175,100%,,Lake,2014-05-26 08:45:00,2014-05-25,CAL FIRE Sonoma-Lake-Napa Unit,,https://www.fire.ca.gov/incidents/2014/5/25/indian-fire/,N,
839,8d3451be-f3be-4a8b-b747-ab121f0d52cb,Hunters Fire,Hunters Valley area, near the southeast shore of Lake McClure,0.0,0.0,677,100%,,Mariposa,2014-06-02 18:30:00,2014-05-26,CAL FIRE Madera-Mariposa-Merced Unit,,https://www.fire.ca.gov/incidents/2014/5/26/hunters-fire/,N,
840,1a0bbf7e-7f9b-4359-9c91-85dec2e2869a,59 Fire,near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir,37.76617,-120.45087,487,100%,,Tuolumne,2014-06-05 20:00:00,2014-06-04,CAL FIRE Tuolumne-Calaveras Unit,,https://www.fire.ca.gov/incidents/2014/6/4/59-fire/,N,
841,4075bfa7-794b-446c-b30d-0a8d38085419,Lake Fire,Hwy 132 and Lake Rd near LaGrange,0.0,0.0,37,100%,,Stanislaus,2014-05-29 08:45:00,2014-05-27,CAL FIRE Tuolumne-Calaveras Unit,,https://www.fire.ca.gov/incidents/2014/5/27/lake-fire/,N,
842,43bd24a5-fe63-4a1f-bb61-75d201f2c829,Santa Fire,off Santa Rosa & Rancho California Road in Temecula ,0.0,0.0,14,100%,,Riverside,2014-06-04 16:30:00,2014-06-04,CAL FIRE Riverside Unit,,https://www.fire.ca.gov/incidents/2014/6/4/santa-fire/,N,
843,b5d32131-cf00-4e34-9e08-b74d68a3174f,Hetch Hetchy Fire,off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir,37.787,-120.452,269,100%,,Tuolumne,2014-06-06 09:30:00,2014-06-05,CAL FIRE Tuolumne-Calaveras Unit,,https://www.fire.ca.gov/incidents/2014/6/5/hetch-hetchy-fire/,N,
844,fc0e054f-887f-4bb5-87af-bde461bf4e4a,Bogart Fire,in Bogart Park in Cherry Valley,0.0,0.0,31,100%,,Riverside,2014-06-07 19:00:00,2014-06-06,CAL FIRE Riverside County Fire,,https://www.fire.ca.gov/incidents/2014/6/6/bogart-fire/,N,
845,a856545c-5922-4d6a-bffb-2048188c0fa3,Valley Fire,off Hunters Valley Road near the southeast shore of Lake McClure. ,0.0,0.0,90,100%,,Mariposa,2019-11-12 10:25:56,2014-06-06,CAL FIRE Madera-Mariposa-Merced Unit,Wildfire,https://www.fire.ca.gov/incidents/2014/6/6/valley-fire/,N,
846,ccc2ec2b-4941-4bbd-ae60-be6706d97f13,Hall Fire,near Hwy 180 & Hall Lane near Squaw Valley,36.742747,-119.241493,25,100%,,Fresno,2014-06-09 19:15:00,2014-06-11,CAL FIRE Fresno-Kings Unit,,https://www.fire.ca.gov/incidents/2014/6/11/hall-fire/,N,
