IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive;
1965;20b57ee7-b0b7-47db-8a12-e5fcdb114459;Ranchera Fire;Ranchera Road and Hill Boulevard, Shasta Lake City;40.678889;-122.400556;13;100%;;Shasta;2019-01-04 09:08:00;2018-09-04;Shasta Lake Fire Protection District;;https://www.fire.ca.gov/incidents/2018/9/4/ranchera-fire/;N;
1966;849ad1a0-472b-4cc6-a513-030491fa1ffb;Tulloch Fire;Hwy 108 and Tulloch Road, east of Oakdale;37.83388;-120.61746;573;100%;;Tuolumne;2019-01-04 09:06:00;2018-09-08;CAL FIRE Tuolumne-Calaveras Unit;;https://www.fire.ca.gov/incidents/2018/9/8/tulloch-fire/;N;
1967;3506eaf5-e815-4a7f-9c52-816fe5eee7d5;Kerlin Fire;Kerlin Creek, west of Hyampom;40.616251;-123.52019;1,751;100%;;Trinity;2019-01-04 09:08:00;2018-09-04;Shasta-Trinity National Forest;;https://www.fire.ca.gov/incidents/2018/9/4/kerlin-fire/;N;
1968;a81f5149-5ac2-48de-a189-609e46f5fad8;Boot Fire;Hwy 395 & Hwy 108, Sonora Junction;38.347395;-119.45186;6,974;100%;;Mono;2019-01-04 09:09:00;2018-09-04;Humboldt-Toiyabe National Forest;;https://www.fire.ca.gov/incidents/2018/9/4/boot-fire/;N;
1969;7fc0b9c8-dec7-430d-9790-1bbebae404eb;Metz Fire;Metz Road and Topo Road, east of Greenfield;36.35502;-121.1563;400;100%;;Monterey;2019-01-04 09:04:00;2018-09-13;CAL FIRE San Benito-Monterey Unit;;https://www.fire.ca.gov/incidents/2018/9/13/metz-fire/;N;
1970;65689d5f-910c-4e00-9bf3-e5626cd1361c;Irving Fire;Samuel P Taylor State Park, northwest of the Community of Lagunitas;38.02447;-122.727;152;100%;;Marin;2019-01-04 09:05:00;2018-09-10;Marin County Fire;;https://www.fire.ca.gov/incidents/2018/9/10/irving-fire/;N;
1971;f694c74c-adad-459c-b357-4cd2f10f16df;Water Fire;southbound I-5, south of Grapevine Rd.;34.91482;-118.92485;200;100%;;Kern;2019-01-04 09:06:00;2018-09-12;Kern County Fire;;https://www.fire.ca.gov/incidents/2018/9/12/water-fire/;N;
1972;d5885e9d-1310-4f84-a658-d972d17ecad9;Soboba Fire;off Soboba Rd. San Jacinto, northeast of San Jacinto City, Soboba ;33.80406;-116.93188;25;100%;;Riverside;2019-01-04 09:04:00;2018-09-14;Soboba Fire Department;;https://www.fire.ca.gov/incidents/2018/9/14/soboba-fire/;N;
1973;9ea41d38-ee7c-4394-9ea8-cbf33e788f13;Meyers Fire;Meyers Rd in Camino;38.7448;-120.65672;12;100%;;El Dorado;2019-10-25 10:18:56;2018-09-20;CAL FIRE Amador, El Dorado Unit;Wildfire;https://www.fire.ca.gov/incidents/2018/9/20/meyers-fire/;N;
1974;4fa2e1e0-a920-4991-beb6-3c080b6c1500;Charlie Fire;Charlie Canyon Rd  and Tapia Canyon Rd, Castaic;34.48229;-118.60858;3,380;100%;;Los Angeles;2019-01-04 09:03:00;2018-09-22;US Forest Service - Angeles National Forest;;https://www.fire.ca.gov/incidents/2018/9/22/charlie-fire/;N;
1975;6b6dff76-8fab-4852-a71c-e735f87bd6fa;Oak Fire;Lonesome Oak Ln and Bissett Station Rd, Ahwahnee;37.38789;-119.68912;360;100%;;Madera;2019-01-04 09:03:00;2018-09-22;CAL FIRE Madera Mariposa Merced Unit;;https://www.fire.ca.gov/incidents/2018/9/22/oak-fire/;N;
1976;b9d64431-d96d-413f-84df-ef3b381d3002;Copper Fire;McKenzie Meadows and Hwy 36, 15 miles west of Susanville;40.33642;-120.93005;53;100%;;Lassen;2019-01-04 09:03:00;2018-09-22;CAL FIRE Lassen-Modoc Unit;;https://www.fire.ca.gov/incidents/2018/9/22/copper-fire/;N;
