229,2/1/2022,32,0.08, ,0, ,281, ,6.2, ,60.7, ,31.0, ,44.0, ,99, ,23, ,63, ,32.4, ,3.2, ,76.1, ,52.9, 
229,2/2/2022,33,0.09, ,0, ,284, ,4.4,Y,66.3, ,28.6, ,44.7, ,81, ,18, ,44,Y,24.1,Y,3.3, ,79.2, ,52.6, 
229,2/3/2022,34,0.09, ,0, ,287, ,6.7, ,70.2, ,31.3, ,46.5, ,95, ,23, ,62, ,34.2, ,2.8, ,68.2, ,52.5, 
229,2/4/2022,35,0.09, ,0, ,297, ,7.3, ,72.7, ,32.2, ,48.7, ,92, ,31, ,62, ,36.4, ,2.9, ,70.2, ,52.7, 
229,2/5/2022,36,0.08, ,0, ,282, ,7.7, ,70.3, ,33.4, ,48.4, ,90, ,33, ,66, ,37.6, ,3.0, ,72.6, ,53.0, 
229,2/6/2022,37,0.09, ,0, ,339, ,8.4, ,75.5, ,33.3, ,48.1, ,94, ,38, ,74, ,40.2, ,2.8, ,68.1, ,53.1, 
229,2/7/2022,38,0.09, ,0, ,345, ,9.4, ,83.7,Y,33.3, ,49.9, ,97, ,43, ,77, ,42.9, ,2.8, ,67.7, ,53.3, 
229,2/8/2022,39,0.10, ,0, ,343, ,9.6, ,80.7, ,37.2, ,53.5, ,98, ,27, ,69, ,43.5, ,3.0, ,72.9, ,53.7, 
229,2/9/2022,40,0.11, ,0, ,327, ,9.1, ,83.0,Y,41.8, ,58.3, ,81, ,23, ,55, ,42.2, ,3.2, ,77.0, ,54.3, 
229,2/10/2022,41,0.11, ,0, ,364, ,9.7, ,88.3,Y,42.5, ,59.3, ,83, ,21, ,56, ,43.8, ,3.0, ,73.1, ,55.1, 
229,2/11/2022,42,0.12, ,0, ,381, ,10.2, ,90.9,Y,41.3, ,60.0, ,91, ,23, ,58, ,45.1, ,2.9, ,68.7, ,55.8, 
229,2/12/2022,43,0.12,R,0, ,383, ,9.9, ,88.3,Y,44.5, ,60.9, ,88, ,23, ,54, ,44.2, ,3.0, ,71.8, ,56.5, 
229,2/13/2022,44,0.12, ,0, ,395,R,10.4, ,--,S,41.1, ,57.5, ,99, ,28, ,65, ,45.7, ,2.5, ,60.9, ,56.9, 
229,2/14/2022,45,0.02, ,0.03, ,124, ,11.5, ,54.6, ,46.1, ,50.5, ,100, ,83, ,92, ,48.1, ,3.0, ,71.2, ,57.2, 
229,2/15/2022,46,0.10, ,0, ,398, ,9.0, ,57.8, ,37.1, ,50.1, ,97, ,48, ,73, ,41.8, ,4.4, ,106.5, ,56.4, 
229,2/16/2022,47,0.10, ,0, ,372, ,8.9, ,66.6, ,32.2, ,47.3, ,97, ,49, ,80, ,41.4, ,2.8, ,68.1, ,55.8, 
229,2/17/2022,48,0.11, ,0, ,364, ,8.3, ,74.9, ,34.9, ,51.5, ,97, ,27, ,64, ,39.7, ,3.1, ,75.2, ,55.7, 
229,2/18/2022,49,0.10, ,0, ,326, ,9.3, ,75.4, ,35.1, ,51.4, ,98, ,34, ,72, ,42.6, ,2.8, ,67.7, ,55.9, 
229,2/19/2022,50,0.11, ,0.00, ,352, ,9.2, ,74.8, ,36.7, ,51.8, ,92, ,32, ,70, ,42.5, ,3.0, ,72.9, ,55.9, 
229,2/20/2022,51,0.05, ,0.00, ,211, ,10.8, ,58.5, ,38.5, ,50.1, ,100, ,72, ,87, ,46.5, ,3.4, ,80.9, ,56.2, 
229,2/21/2022,52,0.09, ,0.02, ,348, ,8.7, ,57.3, ,39.3, ,50.6, ,91, ,49, ,69, ,40.9, ,4.3, ,102.2, ,56.1, 
229,2/22/2022,53,0.05, ,0.23, ,201, ,8.6, ,53.6, ,38.6, ,46.3, ,97, ,57, ,81, ,40.7, ,3.5, ,84.6, ,56.2, 
229,2/23/2022,54,0.10, ,0,R,524,R,5.7, ,53.8, ,30.6, ,44.6, ,97, ,34, ,57, ,30.3, ,3.6, ,86.5, ,54.5, 
229,2/24/2022,55,0.10, ,0, ,386, ,6.2, ,57.6, ,27.7, ,42.4, ,94, ,29, ,68, ,32.5, ,3.3, ,79.0, ,54.2, 
229,2/25/2022,56,0.10, ,0, ,389, ,6.3, ,59.9, ,28.4, ,42.4, ,94, ,41, ,69, ,32.9, ,3.1, ,74.8, ,54.3, 
229,2/26/2022,57,0.09, ,0, ,284, ,5.8, ,67.4, ,29.7, ,48.0, ,83, ,26, ,51, ,30.9, ,3.1, ,74.3, ,54.3, 
229,2/27/2022,58,0.12, ,0, ,381, ,6.8, ,72.5, ,34.5, ,50.8, ,85, ,22, ,54, ,34.6, ,3.1, ,74.5, ,54.9, 
229,2/28/2022,59,0.13, ,0, ,404, ,8.2, ,78.4, ,38.4, ,54.9, ,87, ,25, ,56, ,39.4, ,3.0, ,71.4, ,56.0, 
