107,2/1/2022,32,0.05, ,0, ,220, ,14.7, ,74.8, ,50.4, ,60.5, ,96, ,49, ,82, ,54.9, ,2.6, ,63.0, ,53.5, 
107,2/2/2022,33,0.09, ,0, ,323, ,9.2, ,84.0,Y,45.3, ,58.6, ,84, ,27, ,55, ,42.4, ,2.6, ,62.1, ,53.1, 
107,2/3/2022,34,0.09, ,0, ,327, ,8.8, ,--,S,45.3, ,58.7, ,84, ,26, ,52, ,41.3, ,2.4, ,57.2, ,52.9, 
107,2/4/2022,35,0.10, ,0, ,330, ,7.0, ,74.7, ,45.1, ,58.9, ,59, ,24, ,41, ,35.3, ,2.7, ,64.6, ,53.1, 
107,2/5/2022,36,0.10, ,0, ,344, ,7.2, ,76.2, ,43.0, ,59.7, ,60, ,21, ,41, ,36.2, ,2.3, ,56.1, ,53.2, 
107,2/6/2022,37,0.11, ,0, ,350, ,9.8, ,--,S,48.3, ,64.5, ,91, ,21, ,47, ,44.0, ,2.4, ,57.4, ,53.6, 
107,2/7/2022,38,0.11, ,0, ,352, ,9.0, ,--,S,50.1, ,68.1,Y,55,H,15,H,38,Y,41.9,Y,2.1, ,51.5, ,54.4, 
107,2/8/2022,39,0.11, ,0, ,342, ,10.1, ,--,S,49.1, ,67.1,Y,60,H,23,H,45,Y,44.8,Y,2.2, ,52.1, ,54.9, 
107,2/9/2022,40,0.12,R,0, ,377, ,8.6, ,--,S,54.9, ,71.3,R,56,H,12,H,--,R,--,I,2.3, ,54.5, ,55.6, 
107,2/10/2022,41,0.13,R,0, ,380, ,9.2, ,92.6,R,55.0, ,72.4,R,55,H,17,H,--,R,--,I,2.5, ,60.0, ,56.5, 
107,2/11/2022,42,0.12,R,0, ,391, ,10.7, ,--,S,51.5, ,69.2,Y,85, ,20, ,44,Y,46.3,Y,2.2, ,52.3, ,57.3, 
107,2/12/2022,43,0.13,R,0, ,405, ,9.4, ,--,S,54.3, ,72.0,R,67,H,17,H,--,R,--,I,2.2, ,54.0, ,57.9, 
107,2/13/2022,44,0.13,R,0, ,407, ,8.6, ,--,S,53.0, ,68.5,Y,70, ,14, ,36,Y,40.6,Y,2.1, ,50.3, ,58.2, 
107,2/14/2022,45,0.11, ,0, ,392, ,14.2, ,--,S,46.9, ,60.6, ,100, ,57, ,79, ,53.9, ,2.5, ,59.6, ,58.1, 
107,2/15/2022,46,0.12, ,0.02, ,395, ,8.9, ,68.4, ,48.9, ,56.3, ,98, ,37, ,57, ,41.5, ,4.4, ,104.9, ,57.4, 
107,2/16/2022,47,0.11, ,0, ,411, ,8.2, ,72.1, ,46.4, ,57.8, ,80, ,32, ,50, ,39.5, ,3.1, ,73.2, ,56.4, 
107,2/17/2022,48,0.12, ,0, ,413, ,9.7, ,--,S,46.6, ,60.6, ,82, ,30, ,54, ,43.9, ,2.3, ,55.1, ,56.6, 
107,2/18/2022,49,0.12, ,0, ,420, ,9.7, ,90.1,R,47.4, ,60.8, ,72, ,25, ,53, ,43.6, ,2.4, ,58.3, ,56.8, 
107,2/19/2022,50,0.11, ,0, ,403, ,13.4, ,78.6, ,48.6, ,59.8, ,97, ,60, ,76, ,52.3, ,2.4, ,56.7, ,56.8, 
107,2/20/2022,51,0.09, ,0, ,351, ,14.5, ,65.9, ,48.3, ,57.2, ,100, ,76, ,90, ,54.4, ,2.8, ,68.3, ,57.6, 
107,2/21/2022,52,0.12, ,0, ,426, ,10.5, ,66.4, ,51.9, ,57.5, ,91, ,50, ,65, ,45.7, ,4.0, ,96.2, ,58.4, 
107,2/22/2022,53,0.08, ,0, ,296, ,7.8, ,60.4, ,44.7, ,51.6, ,74, ,48, ,60, ,38.2, ,4.3, ,102.6, ,57.0, 
107,2/23/2022,54,0.11, ,0, ,416, ,5.6, ,63.7, ,41.5, ,50.4, ,74, ,25, ,45, ,29.8, ,3.8, ,91.4, ,55.7, 
107,2/24/2022,55,0.12, ,0, ,461,R,5.8, ,69.9, ,38.0, ,52.7, ,57, ,29, ,43, ,30.8, ,2.9, ,69.5, ,55.2, 
107,2/25/2022,56,0.14, ,0, ,463,R,8.4, ,--,S,41.8, ,57.6, ,90, ,28, ,52, ,40.0, ,2.7, ,64.0, ,55.2, 
107,2/26/2022,57,0.13, ,0, ,422, ,6.3, ,--,S,41.9, ,56.5, ,56, ,22, ,40, ,32.7, ,2.4, ,57.3, ,55.4, 
107,2/27/2022,58,0.13, ,0, ,396, ,7.3, ,85.5,Y,45.4, ,61.1, ,59, ,21, ,40, ,36.4, ,2.4, ,56.7, ,55.8, 
107,2/28/2022,59,0.17,R,0, ,485,R,6.7, ,90.8,R,50.9, ,69.3,R,45,H,11,H,--,R,--,I,2.6, ,63.4, ,56.7, 
