163,2/1/2022,32,0.09, ,0, ,342, ,6.3, ,57.8, ,32.5, ,45.4, ,97, ,38, ,61, ,32.6, ,3.0, ,72.1, ,60.9,R
163,2/2/2022,33,0.10, ,0, ,356, ,4.3, ,60.3, ,23.8, ,42.7, ,92, ,22, ,46, ,23.2, ,3.4, ,80.9, ,58.9,Y
163,2/3/2022,34,0.09, ,0, ,330, ,5.0, ,63.6, ,25.5, ,43.2, ,87, ,22, ,53, ,27.1, ,2.3, ,56.2, ,58.6,Y
163,2/4/2022,35,0.10, ,0, ,349, ,5.3, ,67.6, ,25.7, ,44.1, ,92, ,22, ,54, ,28.4, ,2.5, ,59.8, ,58.5,Y
163,2/5/2022,36,0.09, ,0, ,332, ,5.8, ,66.6, ,25.4, ,45.4, ,90, ,28, ,56, ,30.6, ,2.4, ,58.1, ,58.9,Y
163,2/6/2022,37,0.09, ,0, ,361, ,6.6, ,71.1, ,25.4, ,46.1, ,94, ,33, ,62, ,33.9, ,2.3, ,55.1, ,59.9,Y
163,2/7/2022,38,0.10, ,0, ,368, ,5.7, ,74.1, ,25.5, ,45.8, ,96, ,14, ,54, ,30.2, ,1.9, ,45.4, ,60.6,Y
163,2/8/2022,39,0.10, ,0, ,358, ,6.9, ,74.1, ,26.1, ,47.1, ,93, ,28, ,63, ,35.0, ,2.4, ,58.5, ,60.9,Y
163,2/9/2022,40,0.11, ,0, ,372, ,7.2, ,78.0, ,29.0, ,50.6, ,96, ,20, ,58, ,36.2, ,2.6, ,63.5, ,62.9,R
163,2/10/2022,41,0.11, ,0, ,370, ,8.0, ,79.7, ,29.5, ,51.4, ,95, ,27, ,62, ,38.8, ,2.1, ,51.1, ,--,S
163,2/11/2022,42,0.11, ,0, ,374, ,7.9, ,81.1,Y,31.0, ,53.4, ,97, ,24, ,56, ,38.3, ,2.3, ,54.7, ,--,S
163,2/12/2022,43,0.11, ,0, ,376, ,7.3, ,83.9,Y,32.2, ,53.5, ,94, ,14, ,52, ,36.5, ,1.8, ,43.3, ,--,S
163,2/13/2022,44,0.11, ,0, ,380, ,7.2, ,82.2,Y,33.1, ,53.7, ,90, ,14, ,51, ,36.0, ,1.8, ,43.6, ,--,S
163,2/14/2022,45,0.11, ,0, ,367, ,7.9, ,74.2, ,31.4, ,49.7, ,94, ,31, ,65, ,38.6, ,2.1, ,51.5, ,--,S
163,2/15/2022,46,0.08, ,0, ,279, ,6.8, ,56.8, ,32.4, ,47.1, ,93, ,36, ,62, ,34.7, ,4.0, ,96.9, ,--,S
163,2/16/2022,47,0.10, ,0, ,385, ,5.7, ,64.3, ,26.9, ,44.1, ,91, ,27, ,58, ,30.4, ,2.5, ,61.0, ,--,S
163,2/17/2022,48,0.10, ,0, ,390, ,6.2, ,67.7, ,27.7, ,45.4, ,92, ,26, ,60, ,32.4, ,2.2, ,53.2, ,--,S
163,2/18/2022,49,0.10, ,0, ,384, ,6.7, ,70.8, ,26.9, ,45.9, ,94, ,28, ,64, ,34.4, ,2.0, ,48.3, ,--,S
163,2/19/2022,50,0.12, ,0, ,427, ,6.6, ,73.3, ,27.1, ,48.5, ,96, ,24, ,56, ,33.7, ,2.5, ,60.8, ,--,S
163,2/20/2022,51,0.09, ,0, ,315, ,7.4, ,71.2, ,28.4, ,48.6, ,93, ,27, ,64, ,36.8, ,2.1, ,51.4, ,--,S
163,2/21/2022,52,0.10, ,0, ,389, ,7.7, ,59.9, ,40.8, ,48.2, ,90, ,42, ,67, ,37.7, ,3.3, ,78.3, ,--,S
163,2/22/2022,53,0.10, ,0, ,390, ,6.4, ,53.8, ,33.5, ,42.7, ,94, ,46, ,69, ,33.2, ,3.4, ,81.9, ,--,S
163,2/23/2022,54,0.11, ,0, ,405, ,4.5, ,54.0, ,25.1, ,39.7, ,94, ,22, ,55, ,24.8, ,3.5, ,84.1, ,--,S
163,2/24/2022,55,0.10, ,0, ,410, ,4.2,Y,57.7, ,20.4,Y,37.8, ,90, ,14, ,54,Y,22.7,Y,2.3, ,55.9, ,--,S
163,2/25/2022,56,0.11, ,0, ,410, ,4.4, ,61.5, ,22.3, ,40.9, ,92, ,23, ,51, ,24.1, ,2.7, ,64.7, ,--,S
163,2/26/2022,57,0.08, ,0, ,302, ,4.6, ,64.4, ,22.8, ,42.2, ,90, ,21, ,50, ,25.0, ,2.1, ,51.1, ,--,S
163,2/27/2022,58,0.12, ,0, ,366, ,5.0, ,68.2, ,30.0, ,48.5, ,84, ,20, ,43, ,27.2, ,2.8, ,67.4, ,--,S
163,2/28/2022,59,0.14, ,0, ,420, ,6.2, ,75.5, ,30.7, ,52.3, ,85, ,22, ,47, ,32.5, ,2.9, ,68.6, ,--,S
