174,2/1/2022,32,0.06, ,0, ,255, ,10.4, ,63.5, ,43.6, ,53.2, ,90, ,55, ,75, ,45.6, ,2.5, ,60.4, ,55.5, 
174,2/2/2022,33,0.10, ,0, ,343, ,5.5, ,67.7, ,38.7, ,51.5, ,90, ,15, ,43, ,29.5, ,2.4, ,57.4, ,55.6, 
174,2/3/2022,34,0.10,R,0, ,345, ,6.0, ,65.6, ,34.5, ,49.7, ,85, ,20, ,49, ,31.4, ,2.3, ,55.7, ,54.8, 
174,2/4/2022,35,0.11, ,0.00, ,354, ,5.9, ,71.0, ,35.1, ,52.9, ,89, ,16, ,43, ,31.2, ,2.8, ,68.2, ,54.5, 
174,2/5/2022,36,0.11, ,0, ,369, ,5.4, ,73.5, ,36.7, ,53.6, ,84, ,14, ,39, ,29.0, ,2.2, ,52.1, ,54.4, 
174,2/6/2022,37,0.11,R,0, ,368, ,6.9, ,78.3, ,34.1, ,54.5, ,87, ,20, ,48, ,35.1, ,2.1, ,49.4, ,54.5, 
174,2/7/2022,38,0.11,R,0, ,366, ,6.0, ,80.7, ,39.3, ,58.4, ,72, ,14, ,36, ,31.5, ,1.8, ,43.3, ,55.0, 
174,2/8/2022,39,0.11,R,0, ,343, ,6.8, ,80.7, ,39.6, ,58.0, ,74, ,18, ,41, ,34.5, ,2.1, ,49.5, ,55.5, 
174,2/9/2022,40,0.12,R,0, ,367, ,6.8, ,87.4,Y,40.3, ,61.7, ,73, ,11, ,36, ,34.7, ,2.0, ,47.7, ,56.0, 
174,2/10/2022,41,0.14,R,0, ,358, ,7.8, ,87.9,Y,47.2, ,66.9,H,75,H,15,H,35, ,38.1, ,3.1, ,75.1, ,57.0, 
174,2/11/2022,42,0.12,R,0, ,364, ,9.5, ,80.8, ,44.6, ,60.3, ,82, ,22, ,53, ,43.1, ,2.1, ,50.6, ,58.0, 
174,2/12/2022,43,0.13,R,0, ,381, ,8.5, ,89.1,Y,41.9, ,63.0, ,90, ,12, ,43, ,40.3, ,2.2, ,51.6, ,58.2, 
174,2/13/2022,44,0.13,R,0, ,386, ,7.4, ,86.2,Y,44.2, ,62.4, ,77, ,15, ,38, ,36.7, ,2.0, ,48.8, ,58.6, 
174,2/14/2022,45,0.11, ,0, ,382, ,10.7, ,72.0, ,41.0, ,55.7, ,88, ,44, ,71, ,46.4, ,2.8, ,67.0, ,58.5, 
174,2/15/2022,46,0.07, ,0.08, ,244, ,9.9, ,62.5, ,40.8, ,54.0, ,86, ,50, ,69, ,44.2, ,4.1, ,99.3, ,58.8, 
174,2/16/2022,47,0.10, ,0.00, ,383, ,9.0, ,62.5, ,37.5, ,50.4, ,88, ,52, ,73, ,41.9, ,3.3, ,79.0, ,57.5, 
174,2/17/2022,48,0.13, ,0.00, ,404, ,6.9, ,72.7, ,40.5, ,55.1, ,89, ,17, ,46, ,35.0, ,3.2, ,76.5, ,56.9, 
174,2/18/2022,49,0.12, ,0, ,402, ,7.4, ,72.8, ,36.0, ,53.0, ,83, ,25, ,54, ,36.7, ,2.4, ,58.5, ,56.5, 
174,2/19/2022,50,0.12,R,0, ,390, ,8.7, ,74.0, ,36.9, ,54.4, ,87, ,33, ,60, ,41.0, ,2.1, ,51.2, ,56.4, 
174,2/20/2022,51,0.10, ,0, ,361, ,10.7, ,62.9, ,42.2, ,53.7, ,90, ,61, ,76, ,46.2, ,2.9, ,70.7, ,56.9, 
174,2/21/2022,52,0.07, ,0, ,243, ,9.9, ,61.3, ,48.2, ,54.9, ,84, ,52, ,67, ,44.3, ,3.6, ,85.7, ,57.5, 
174,2/22/2022,53,0.10, ,0.12, ,293, ,8.5, ,60.9, ,45.7, ,53.0, ,80, ,47, ,62, ,40.4, ,5.4,Y,128.5,Y,57.5, 
174,2/23/2022,54,0.11, ,0.02, ,382, ,6.0, ,58.7, ,39.4, ,49.4, ,86, ,31, ,50, ,31.5, ,3.2, ,77.8, ,56.5, 
174,2/24/2022,55,0.12, ,0, ,429, ,5.0, ,62.8, ,32.2,Y,47.0, ,80, ,21, ,46, ,27.2, ,2.9, ,70.1, ,55.1, 
174,2/25/2022,56,0.12, ,0, ,422, ,5.8, ,64.4, ,33.1, ,48.5, ,85, ,23, ,50, ,30.8, ,2.7, ,65.7, ,54.9, 
174,2/26/2022,57,0.13, ,0, ,412, ,5.8, ,72.8, ,34.3, ,52.3, ,85, ,15, ,43, ,30.8, ,2.2, ,52.5, ,55.3, 
174,2/27/2022,58,0.14,R,0, ,441, ,5.9, ,75.6, ,37.4, ,54.8, ,79, ,16, ,41, ,31.3, ,2.3, ,54.3, ,56.0, 
174,2/28/2022,59,0.15,R,0, ,438, ,6.8, ,81.7, ,38.1, ,58.9, ,84, ,12, ,40, ,34.5, ,2.3, ,54.9, ,57.1, 
