189,2/1/2022,32,--,N,0, ,339, ,2.9, ,51.4, ,25.5, ,39.8, ,64, ,21, ,35, ,14.6, ,13.2, ,315.7, ,37.2, 
189,2/2/2022,33,--,N,0, ,356, ,2.0, ,49.2, ,33.1, ,40.7, ,30, ,18, ,23, ,5.8, ,18.7, ,449.9, ,37.5, 
189,2/3/2022,34,--,N,0, ,352, ,2.5, ,57.5, ,18.6, ,37.8, ,55, ,16, ,32, ,10.7, ,5.8, ,139.3, ,38.0, 
189,2/4/2022,35,--,N,0, ,365, ,2.9, ,57.9, ,17.1, ,36.0, ,66, ,17, ,41, ,14.4, ,3.5, ,84.6, ,38.3, 
189,2/5/2022,36,--,N,0, ,325, ,2.9, ,60.7, ,10.6, ,38.4, ,75, ,14, ,37, ,14.5, ,4.9, ,117.0, ,37.9, 
189,2/6/2022,37,--,N,0, ,374, ,2.5, ,68.1, ,17.5, ,44.9, ,59, ,9, ,25, ,11.1, ,4.8, ,115.8, ,38.5, 
189,2/7/2022,38,--,N,0, ,375, ,3.2, ,65.0, ,15.9, ,38.8, ,68, ,15, ,40, ,16.8, ,3.1, ,75.0, ,39.0, 
189,2/8/2022,39,--,N,0, ,380, ,3.6, ,71.1, ,19.1, ,46.4, ,71, ,14, ,34, ,19.6, ,4.8, ,115.4, ,38.9, 
189,2/9/2022,40,--,N,0, ,382, ,4.0, ,70.0, ,32.4, ,53.5, ,44, ,14, ,29, ,21.7, ,10.8, ,259.6, ,39.9, 
189,2/10/2022,41,--,N,0, ,385, ,4.8, ,74.9, ,34.2, ,55.3, ,53, ,14, ,32, ,26.0, ,10.6, ,255.2, ,41.6, 
189,2/11/2022,42,--,N,0, ,392, ,4.7, ,72.0, ,28.8, ,49.7, ,67, ,16, ,39, ,25.6, ,3.5, ,84.6, ,42.4, 
189,2/12/2022,43,--,N,0, ,398, ,3.7, ,66.5, ,23.4, ,45.4, ,67, ,19, ,36, ,20.2, ,3.3, ,78.5, ,42.3, 
189,2/13/2022,44,--,N,0, ,402, ,3.7, ,65.6, ,21.3, ,41.9, ,72, ,15, ,40, ,19.7, ,3.0, ,72.1, ,41.8, 
189,2/14/2022,45,--,N,0, ,373, ,3.7, ,65.5, ,17.6, ,42.5, ,76, ,13, ,40, ,20.0, ,4.2, ,100.8, ,41.3, 
189,2/15/2022,46,--,N,0, ,410, ,3.6, ,62.4, ,39.4, ,49.2, ,61, ,7, ,30, ,19.1, ,17.4, ,417.3, ,41.8, 
189,2/16/2022,47,--,N,0, ,405, ,3.7, ,62.5, ,36.0, ,47.6, ,48, ,13, ,33, ,20.0, ,15.3, ,367.5, ,42.1, 
189,2/17/2022,48,--,N,0, ,385, ,3.2, ,59.4, ,22.6, ,43.4, ,62, ,14, ,33, ,16.7, ,9.2, ,221.4, ,42.6, 
189,2/18/2022,49,--,N,0, ,420, ,3.2, ,65.6, ,16.1, ,39.5, ,76, ,13, ,39, ,16.6, ,3.3, ,78.6, ,42.2, 
189,2/19/2022,50,--,N,0, ,430,R,3.4, ,63.5, ,15.0, ,40.4, ,77, ,17, ,40, ,17.8, ,3.1, ,74.9, ,41.7, 
189,2/20/2022,51,--,N,0, ,352, ,3.6, ,60.3, ,17.4, ,41.3, ,72, ,20, ,41, ,19.6, ,3.3, ,78.7, ,41.3, 
189,2/21/2022,52,--,N,0, ,389, ,2.2, ,62.8, ,25.6, ,50.2, ,48, ,9, ,18, ,8.6, ,9.7, ,232.6, ,41.9, 
189,2/22/2022,53,--,N,0, ,433, ,2.4, ,53.7, ,21.2, ,39.1, ,54, ,16, ,30, ,10.0, ,9.4, ,225.7, ,42.1, 
189,2/23/2022,54,--,N,0, ,331, ,2.2, ,43.3, ,27.1, ,34.9, ,52, ,17, ,32, ,8.1, ,15.1, ,363.5, ,41.5, 
189,2/24/2022,55,--,N,0, ,452,R,2.1, ,46.9, ,10.4,Y,29.5,Y,61, ,19, ,38,Y,7.0,Y,5.1, ,121.3, ,40.5, 
189,2/25/2022,56,--,N,0, ,456,R,2.1, ,51.9, ,9.0,Y,30.6,Y,66, ,16, ,37,Y,7.4,Y,3.5, ,84.6, ,39.7, 
189,2/26/2022,57,--,N,0, ,436, ,2.5, ,55.3, ,14.1, ,34.8, ,64, ,13, ,36, ,10.5, ,4.2, ,101.3, ,39.2, 
189,2/27/2022,58,--,N,0, ,415, ,2.4, ,62.5, ,17.1, ,38.3, ,63, ,9, ,31, ,10.4, ,3.4, ,81.2, ,39.3, 
189,2/28/2022,59,--,N,0, ,476,R,3.4, ,68.3, ,16.1, ,40.7, ,79, ,13, ,40, ,18.3, ,3.6, ,85.7, ,39.6, 
