243,2/1/2022,32,0.18, ,0, ,296, ,4.8, ,58.1, ,39.5, ,49.1, ,64, ,30, ,40, ,25.9, ,15.4,Y,369.3,Y,48.8, 
243,2/2/2022,33,0.16, ,0, ,295, ,5.1, ,58.5, ,37.5, ,47.8, ,72, ,31, ,45, ,27.5, ,13.8,Y,330.2,Y,47.9, 
243,2/3/2022,34,0.06, ,0, ,258, ,7.0, ,59.5, ,29.9, ,43.3, ,99, ,44, ,73, ,35.2, ,2.7, ,65.4, ,47.4, 
243,2/4/2022,35,0.07, ,0, ,291, ,7.6, ,64.2, ,30.3, ,44.8, ,100, ,39, ,75, ,37.5, ,2.3, ,54.9, ,47.6, 
243,2/5/2022,36,0.06, ,0, ,273, ,8.2, ,62.6, ,33.5, ,44.8, ,100, ,49, ,81, ,39.5, ,2.0, ,48.4, ,48.0, 
243,2/6/2022,37,0.07, ,0, ,306, ,8.3, ,65.6, ,27.9, ,45.6, ,100, ,44, ,79, ,39.6, ,2.3, ,56.0, ,48.3, 
243,2/7/2022,38,0.08, ,0, ,310, ,9.2, ,68.6, ,35.0, ,48.7, ,100, ,42, ,79, ,42.4, ,2.6, ,62.8, ,48.8, 
243,2/8/2022,39,0.07, ,0, ,312, ,9.2, ,67.5, ,31.0, ,47.8, ,100, ,47, ,81, ,42.3, ,2.1, ,49.8, ,49.2, 
243,2/9/2022,40,0.06, ,0.01, ,258, ,9.6, ,68.4, ,32.6, ,49.4, ,100, ,42, ,80, ,43.5, ,2.4, ,58.7, ,49.7, 
243,2/10/2022,41,0.08, ,0, ,323, ,10.4, ,72.0, ,34.3, ,51.9, ,100, ,46, ,79, ,45.5, ,2.5, ,61.1, ,50.1, 
243,2/11/2022,42,0.09, ,0, ,329, ,11.3, ,75.3,Y,38.1, ,54.2, ,100, ,45, ,79, ,47.9, ,2.1, ,50.9, ,51.0, 
243,2/12/2022,43,0.08, ,0, ,323, ,11.1, ,76.2,Y,37.0, ,53.9, ,100, ,41, ,78, ,47.4, ,1.8, ,44.3, ,51.7, 
243,2/13/2022,44,0.09, ,0, ,328, ,10.7, ,77.0,Y,37.6, ,54.6, ,100, ,37, ,73, ,46.2, ,2.4, ,57.2, ,52.0, 
243,2/14/2022,45,0.08, ,0, ,303, ,11.0, ,61.8, ,37.7, ,50.4, ,100, ,66, ,89, ,47.1, ,8.2, ,196.3, ,52.2, 
243,2/15/2022,46,0.15, ,0, ,323, ,6.6, ,60.9, ,39.4, ,50.2, ,93, ,32, ,53, ,33.9, ,11.9, ,285.6, ,51.9, 
243,2/16/2022,47,0.14, ,0, ,331, ,7.0, ,69.9, ,37.6, ,53.5, ,79, ,30, ,50, ,35.5, ,8.0, ,192.7, ,51.1, 
243,2/17/2022,48,0.09, ,0, ,337, ,7.8, ,65.4, ,37.0, ,50.6, ,99, ,38, ,62, ,38.3, ,3.7, ,88.9, ,51.4, 
243,2/18/2022,49,0.07, ,0, ,276, ,8.9, ,66.4, ,34.2, ,47.6, ,100, ,41, ,80, ,41.6, ,2.0, ,47.4, ,51.2, 
243,2/19/2022,50,0.09, ,0, ,340, ,8.9, ,72.5, ,32.9, ,50.1, ,100, ,32, ,73, ,41.6, ,2.6, ,62.9, ,50.8, 
243,2/20/2022,51,0.06, ,0, ,225, ,9.9, ,61.7, ,36.6, ,49.5, ,100, ,60, ,83, ,44.4, ,5.9, ,141.6, ,50.9, 
243,2/21/2022,52,0.11, ,0, ,345, ,7.4, ,58.5, ,34.6, ,48.0, ,94, ,32, ,65, ,36.8, ,9.2, ,220.1, ,51.0, 
243,2/22/2022,53,0.08, ,0.00, ,297, ,7.0, ,53.9, ,31.9, ,43.6, ,97, ,41, ,73, ,35.5, ,7.4, ,177.3, ,50.9, 
243,2/23/2022,54,0.12, ,0, ,353, ,5.0, ,54.7, ,29.8,Y,40.6,Y,99, ,29, ,58,Y,27.2,Y,7.4, ,178.6, ,49.9, 
243,2/24/2022,55,0.09, ,0, ,356, ,5.4, ,57.3, ,24.3,Y,40.6,Y,98, ,26, ,63,Y,29.0,Y,2.7, ,63.9, ,48.5, 
243,2/25/2022,56,0.10, ,0, ,367, ,5.6, ,60.8, ,27.4,Y,42.8,Y,99, ,28, ,60,Y,29.8,Y,3.7, ,89.2, ,48.0, 
243,2/26/2022,57,0.06, ,0, ,257, ,7.2, ,59.5, ,28.9,Y,44.9, ,99, ,39, ,71, ,36.0, ,2.5, ,59.3, ,47.8,Y
243,2/27/2022,58,0.12, ,0, ,369, ,8.0, ,68.9, ,34.8, ,51.5, ,97, ,31, ,62, ,38.9, ,4.2, ,100.8, ,48.5, 
243,2/28/2022,59,0.11, ,0, ,379, ,9.4, ,72.1, ,33.5, ,52.5, ,99, ,38, ,70, ,43.0, ,2.9, ,69.6, ,49.4, 
