233,2/1/2022,32,--,N,0, ,254, ,2.3, ,61.0, ,36.8, ,48.6, ,27, ,12, ,19, ,8.7, ,3.4, ,81.6, ,41.1,R
233,2/2/2022,33,--,N,0, ,383, ,1.3, ,49.4, ,29.2, ,41.3, ,22, ,10, ,15, ,-2.5, ,7.4, ,178.3, ,41.0,R
233,2/3/2022,34,--,N,0, ,390, ,1.6, ,54.0, ,24.8, ,39.5, ,32, ,12, ,20, ,1.6, ,3.7, ,88.4, ,40.3,R
233,2/4/2022,35,--,N,0, ,401,R,1.9, ,56.6, ,21.9,Y,38.8, ,42, ,12, ,23, ,4.7, ,2.7, ,65.7, ,40.0,R
233,2/5/2022,36,--,N,0, ,407,R,1.9, ,62.6, ,23.9, ,44.5, ,43, ,9, ,19, ,4.5, ,3.1, ,75.4, ,39.7,R
233,2/6/2022,37,--,N,0, ,409,R,1.9, ,67.7, ,29.8, ,51.0, ,29, ,8, ,15, ,4.8, ,4.2, ,101.7, ,39.8,R
233,2/7/2022,38,--,N,0, ,412,R,2.0, ,66.9, ,30.8, ,47.8, ,33, ,9, ,18, ,6.2, ,2.6, ,61.2, ,40.1,R
233,2/8/2022,39,--,N,0, ,411,R,2.2, ,72.7, ,33.5, ,53.3, ,33, ,8, ,16, ,8.6, ,3.5, ,83.4, ,40.3,R
233,2/9/2022,40,--,N,0, ,424,R,2.0, ,74.1, ,40.7, ,60.0, ,22, ,6, ,11, ,6.4, ,4.6, ,110.3, ,40.8,R
233,2/10/2022,41,--,N,0, ,420,R,3.6, ,74.5, ,47.3, ,61.0, ,30, ,12, ,20, ,19.4, ,4.6, ,109.6, ,41.4,Y
233,2/11/2022,42,--,N,0, ,425,R,3.4, ,79.1, ,44.7, ,61.9, ,31, ,9, ,18, ,17.9, ,3.7, ,89.0, ,42.1,Y
233,2/12/2022,43,--,N,0, ,436,R,2.3, ,75.5, ,38.3, ,56.0, ,36, ,5, ,15, ,9.5, ,2.8, ,67.0, ,42.6,Y
233,2/13/2022,44,--,N,0, ,445,R,1.9, ,75.2, ,37.2, ,54.3, ,28, ,5, ,13, ,4.9, ,2.9, ,69.8, ,42.6,Y
233,2/14/2022,45,--,N,0, ,437,R,2.1, ,77.7, ,38.8, ,59.9, ,23, ,5, ,12, ,6.6, ,5.3, ,127.5, ,42.6,Y
233,2/15/2022,46,--,N,0, ,441,R,3.8, ,66.8, ,39.5, ,55.1, ,59, ,9, ,26, ,20.8, ,10.2,Y,244.3,Y,43.3,Y
233,2/16/2022,47,--,N,0.02, ,447,R,4.5, ,65.6, ,40.9, ,52.3, ,64, ,15, ,34, ,24.7, ,5.8, ,140.1, ,43.8, 
233,2/17/2022,48,--,N,0, ,176, ,1.9, ,61.1, ,31.3, ,45.7, ,34, ,9, ,18, ,5.3, ,3.0, ,72.6, ,43.6, 
233,2/18/2022,49,--,N,0, ,474,R,2.2, ,67.0, ,27.7, ,47.7, ,40, ,9, ,19, ,8.0, ,2.4, ,57.0, ,43.1, 
233,2/19/2022,50,--,N,0, ,472,R,2.7, ,70.8, ,34.2, ,52.2, ,36, ,11, ,20, ,12.7, ,2.9, ,69.8, ,42.9, 
233,2/20/2022,51,--,N,0, ,462,R,3.5, ,74.5, ,34.3, ,56.5, ,39, ,9, ,23, ,18.9, ,5.1, ,121.7, ,43.0, 
233,2/21/2022,52,--,N,0, ,468,R,5.3, ,64.6, ,44.6, ,54.1, ,53, ,22, ,37, ,28.4, ,7.3, ,174.6, ,43.7, 
233,2/22/2022,53,--,N,0.01,H,470,R,5.4, ,57.2, ,41.4, ,47.9, ,61, ,35, ,48, ,29.1, ,13.5,R,323.4,R,44.2, 
233,2/23/2022,54,--,N,0, ,266, ,4.2, ,47.0, ,30.4, ,38.9, ,86, ,31, ,52, ,22.8, ,5.9, ,140.8, ,44.0, 
233,2/24/2022,55,--,N,0, ,498,R,2.2, ,52.5, ,20.8,Y,37.9, ,60, ,14, ,28, ,8.1, ,2.7, ,65.9, ,43.3, 
233,2/25/2022,56,--,N,0, ,501,R,1.8, ,58.6, ,23.1, ,41.3, ,45, ,10, ,21, ,4.3, ,2.7, ,65.7, ,42.6, 
233,2/26/2022,57,--,N,0, ,497,R,1.6, ,60.0, ,26.8, ,43.7, ,31, ,8, ,16, ,1.1, ,3.4, ,80.4, ,42.2, 
233,2/27/2022,58,--,N,0, ,486,R,1.3, ,66.4, ,23.0, ,46.1, ,32, ,5, ,12, ,-3.4, ,2.7, ,63.8, ,41.9,Y
233,2/28/2022,59,--,N,0, ,517,R,1.3, ,73.2, ,34.3, ,55.6, ,15, ,4, ,8, ,-3.4, ,4.3, ,104.1, ,41.9,Y
