251,2/1/2022,32,0.05, ,0, ,215, ,8.2, ,60.2, ,42.1, ,50.6, ,77, ,53, ,65, ,39.3, ,2.9, ,70.7, ,51.2, 
251,2/2/2022,33,0.15, ,0.01, ,381, ,2.1, ,58.9, ,39.4, ,51.4, ,74, ,8, ,16, ,7.1, ,7.6,Y,183.2,Y,50.3, 
251,2/3/2022,34,0.11, ,0, ,362, ,3.2, ,65.5, ,35.1, ,50.0, ,41, ,16, ,26, ,16.2, ,3.6, ,86.0, ,49.0, 
251,2/4/2022,35,0.11, ,0.00, ,373, ,3.4, ,66.4, ,36.1, ,50.6, ,49, ,14, ,27, ,18.2, ,3.6, ,86.2, ,49.2, 
251,2/5/2022,36,0.10, ,0.00, ,388, ,3.4, ,71.9, ,34.4, ,51.8, ,50, ,10, ,26, ,17.8, ,3.0, ,71.4, ,49.1, 
251,2/6/2022,37,0.14, ,0, ,390, ,3.3, ,79.4, ,40.7, ,59.3, ,38, ,8, ,19, ,17.2, ,4.6, ,109.5, ,49.7, 
251,2/7/2022,38,0.12, ,0.00, ,390, ,3.8, ,78.1, ,41.5, ,58.0, ,42, ,10, ,23, ,20.8, ,3.0, ,72.5, ,50.3, 
251,2/8/2022,39,0.14, ,0.01, ,386, ,4.3, ,79.0, ,42.9, ,62.0, ,48, ,12, ,23, ,23.4, ,3.7, ,90.0, ,51.0, 
251,2/9/2022,40,0.17, ,0, ,406, ,3.4, ,83.0, ,47.2, ,68.7,Y,32,H,7,H,14,Y,18.1,Y,6.4, ,153.6, ,51.9, 
251,2/10/2022,41,0.18, ,0.03, ,397, ,5.1, ,81.3, ,55.1, ,69.5,Y,32, ,11, ,21,Y,27.4,Y,5.7, ,137.1, ,53.0, 
251,2/11/2022,42,0.16, ,0, ,404, ,5.0, ,86.6,Y,49.9, ,67.6, ,45, ,9, ,22, ,27.2, ,4.3, ,104.2, ,53.6, 
251,2/12/2022,43,0.14, ,0.02, ,413, ,4.6, ,85.2, ,51.0, ,66.0, ,34, ,9, ,21, ,24.8, ,3.3, ,79.0, ,54.1, 
251,2/13/2022,44,0.13, ,0, ,424,R,4.2, ,85.5,Y,47.1, ,64.8, ,40, ,7, ,20, ,22.7, ,2.8, ,67.8, ,54.4, 
251,2/14/2022,45,0.14, ,0, ,419, ,5.2, ,80.2, ,46.9, ,62.3, ,57, ,11, ,27, ,27.8, ,3.5, ,84.5, ,54.6, 
251,2/15/2022,46,0.06, ,0.02, ,161, ,8.6, ,57.4, ,41.8, ,50.3, ,88, ,57, ,70, ,40.7, ,7.0, ,167.8, ,54.1, 
251,2/16/2022,47,0.11, ,0, ,406, ,7.4, ,62.8, ,37.1, ,49.7, ,92, ,34, ,61, ,36.9, ,3.7, ,89.8, ,52.8, 
251,2/17/2022,48,0.14, ,0.00, ,430, ,4.0, ,67.7, ,42.2, ,55.8, ,80, ,16, ,26, ,21.9, ,4.8, ,114.4, ,52.9, 
251,2/18/2022,49,0.13, ,0.02, ,435, ,4.1, ,74.6, ,38.4, ,56.1, ,50, ,13, ,26, ,22.1, ,3.2, ,77.6, ,52.6, 
251,2/19/2022,50,0.14, ,0.00, ,432, ,5.4, ,79.0, ,42.5, ,59.8, ,57, ,12, ,31, ,29.0, ,3.0, ,71.9, ,53.0, 
251,2/20/2022,51,0.13, ,0, ,422, ,7.8, ,71.3, ,42.3, ,56.2, ,82, ,24, ,51, ,38.2, ,4.4, ,105.7, ,53.8, 
251,2/21/2022,52,0.07, ,0.01, ,235, ,9.7, ,59.8, ,46.7, ,52.5, ,90, ,53, ,72, ,43.8, ,5.2, ,123.8, ,54.5, 
251,2/22/2022,53,0.05, ,0.13, ,181, ,8.6, ,57.4, ,43.2, ,48.6, ,89, ,49, ,73, ,40.5, ,6.4, ,152.5, ,53.8, 
251,2/23/2022,54,0.06, ,0.07, ,265, ,6.1, ,50.6, ,34.9, ,42.9, ,90, ,37, ,65, ,31.8, ,3.8, ,92.0, ,52.7, 
251,2/24/2022,55,0.11, ,0, ,445, ,4.0, ,58.1, ,30.2,Y,43.9, ,71, ,18, ,41, ,21.7, ,3.0, ,72.2, ,51.4, 
251,2/25/2022,56,0.13, ,0.01, ,446, ,4.0, ,64.2, ,33.2,Y,48.8, ,67, ,16, ,34, ,21.6, ,3.4, ,82.6, ,51.5, 
251,2/26/2022,57,0.14, ,0.00, ,438, ,3.5, ,68.2, ,34.4, ,51.6, ,54, ,13, ,27, ,18.5, ,3.2, ,76.5, ,51.6, 
251,2/27/2022,58,0.15, ,0, ,463, ,3.3, ,75.4, ,36.9, ,55.1, ,49, ,8, ,22, ,17.2, ,3.4, ,80.8, ,52.0, 
251,2/28/2022,59,0.17, ,0, ,461, ,3.2, ,84.1, ,43.2, ,62.9, ,33, ,8, ,16, ,16.5, ,4.0, ,96.8, ,52.8, 
