7,2/1/2022,32,--,N,0, ,175, ,5.5, ,57.8, ,36.0, ,47.7, ,82, ,34, ,49, ,29.5, ,4.2, ,101.5, ,45.2, 
7,2/2/2022,33,--,N,0, ,179, ,4.5,Y,58.9, ,33.3, ,46.6, ,61, ,28, ,41,Y,24.4,Y,3.5, ,82.9, ,43.9,Y
7,2/3/2022,34,--,N,0, ,92, ,5.8, ,60.1, ,36.8, ,49.3, ,83, ,36, ,48, ,30.6, ,2.7, ,64.7, ,45.2, 
7,2/4/2022,35,--,N,0, ,188, ,6.2, ,64.0, ,28.6, ,46.9, ,78, ,34, ,56, ,32.2, ,2.5, ,59.8, ,44.1,Y
7,2/5/2022,36,--,N,0, ,217, ,7.0, ,62.2, ,34.0, ,48.1, ,84, ,41, ,61, ,35.4, ,2.8, ,66.1, ,45.1, 
7,2/6/2022,37,--,N,0, ,216, ,6.8, ,65.7, ,30.0, ,47.6, ,92, ,36, ,61, ,34.8, ,2.5, ,59.2, ,45.1, 
7,2/7/2022,38,--,N,0, ,230, ,7.6, ,66.2, ,32.1, ,49.5, ,81, ,41, ,63, ,37.4, ,2.9, ,69.7, ,45.3, 
7,2/8/2022,39,--,N,0, ,240, ,7.6, ,70.3, ,35.2, ,53.0, ,80, ,34, ,56, ,37.6, ,2.5, ,61.0, ,46.2, 
7,2/9/2022,40,--,N,0, ,259, ,8.0, ,72.4, ,34.9, ,52.9, ,93, ,35, ,58, ,38.7, ,2.6, ,61.2, ,46.9, 
7,2/10/2022,41,--,N,0.03, ,269, ,8.0, ,74.8, ,34.8, ,54.2, ,79, ,30, ,56, ,38.7, ,2.4, ,57.8, ,47.5, 
7,2/11/2022,42,--,N,0, ,290, ,8.7, ,75.1,Y,38.6, ,56.0, ,83, ,33, ,57, ,41.0, ,2.8, ,66.5, ,48.4, 
7,2/12/2022,43,--,N,0.02, ,306, ,9.5, ,78.1,Y,39.7, ,57.5, ,84, ,32, ,59, ,43.2, ,2.5, ,59.3, ,49.4, 
7,2/13/2022,44,--,N,0.36, ,323, ,10.2, ,77.4,Y,41.5, ,59.2, ,100, ,33, ,59, ,45.1, ,2.8, ,67.6, ,50.6, 
7,2/14/2022,45,--,N,0.12, ,305, ,9.8, ,74.0, ,41.4, ,57.4, ,99, ,35, ,61, ,44.1, ,3.3, ,79.7, ,51.4, 
7,2/15/2022,46,--,N,0.02, ,307, ,6.1, ,60.1, ,44.6, ,52.2, ,80, ,31, ,46, ,32.0, ,5.6, ,135.4, ,50.3, 
7,2/16/2022,47,--,N,0.00, ,374, ,6.0, ,64.8, ,37.0, ,50.5, ,75, ,33, ,48, ,31.6, ,3.7, ,89.8, ,49.0, 
7,2/17/2022,48,--,N,0.02, ,380, ,6.8, ,67.9, ,33.3, ,50.6, ,91, ,32, ,54, ,34.5, ,2.7, ,63.8, ,49.0, 
7,2/18/2022,49,--,N,0.01, ,365, ,6.8, ,68.9, ,36.1, ,51.8, ,68, ,34, ,51, ,34.5, ,2.5, ,60.0, ,49.6, 
7,2/19/2022,50,--,N,0.02, ,395, ,7.1, ,71.1, ,35.0, ,53.4, ,70, ,33, ,51, ,35.6, ,2.8, ,66.4, ,50.2, 
7,2/20/2022,51,--,N,0.02, ,303, ,6.7, ,72.5, ,36.1, ,54.4, ,81, ,24, ,46, ,34.2, ,3.2, ,76.6, ,50.5, 
7,2/21/2022,52,--,N,0.00, ,418, ,6.4, ,59.8, ,37.9, ,50.2, ,81, ,30, ,51, ,33.0, ,3.7, ,88.7, ,50.8, 
7,2/22/2022,53,--,N,0.04, ,308, ,7.0, ,56.2, ,34.5, ,47.0, ,97, ,41, ,64, ,35.5, ,4.2, ,101.0, ,50.4, 
7,2/23/2022,54,--,N,0.03, ,438,R,4.9, ,54.1, ,32.6, ,42.6, ,100, ,27, ,53, ,26.7, ,4.5, ,107.6, ,48.8, 
7,2/24/2022,55,--,N,0.02, ,441,R,4.0,Y,58.7, ,24.9,Y,42.9, ,68, ,22, ,42,Y,21.6,Y,2.7, ,65.7, ,47.8, 
7,2/25/2022,56,--,N,0.02, ,446,R,4.5,Y,60.8, ,28.4,Y,46.1, ,60, ,26, ,42,Y,24.5,Y,2.9, ,69.3, ,48.3, 
7,2/26/2022,57,--,N,0.02, ,324, ,4.8, ,64.0, ,28.4,Y,47.6, ,69, ,27, ,43, ,26.1, ,2.7, ,64.1, ,48.2,Y
7,2/27/2022,58,--,N,0.03, ,428, ,6.0, ,70.0, ,40.9, ,55.4, ,61, ,22, ,40, ,31.6, ,2.8, ,67.9, ,50.6, 
7,2/28/2022,59,--,N,0.02, ,455,R,6.9, ,73.6, ,37.5, ,55.5, ,64, ,29, ,46, ,35.1, ,3.0, ,73.0, ,52.1, 
