204,2/1/2022,32,0.09, ,0, ,334, ,6.7, ,66.5, ,42.7, ,52.3, ,70, ,16, ,50, ,34.3, ,4.1, ,98.6, ,50.4, 
204,2/2/2022,33,0.16, ,0, ,378, ,2.1, ,57.9, ,42.9, ,50.5, ,35, ,11, ,16, ,6.6, ,10.9,Y,262.2,Y,49.8, 
204,2/3/2022,34,0.14, ,0, ,369, ,2.2, ,63.9, ,41.2, ,52.4, ,26, ,13, ,17, ,8.4, ,7.8, ,187.5, ,49.1, 
204,2/4/2022,35,0.19, ,0, ,383, ,2.4, ,63.2, ,42.0, ,53.8, ,31, ,12, ,17, ,10.4, ,11.5,Y,275.7,Y,48.9, 
204,2/5/2022,36,0.18, ,0, ,390, ,2.4, ,69.3, ,47.7, ,58.2, ,19, ,10, ,14, ,9.7, ,9.8, ,236.2, ,49.1, 
204,2/6/2022,37,0.21, ,0, ,393, ,2.3, ,74.8, ,47.2, ,63.1, ,24, ,8, ,12, ,9.4, ,8.8, ,212.3, ,49.6, 
204,2/7/2022,38,0.19, ,0, ,394, ,2.5, ,74.3, ,49.3, ,63.2, ,22, ,8, ,12, ,10.6, ,7.2, ,173.8, ,50.1, 
204,2/8/2022,39,0.20, ,0, ,393, ,2.9, ,78.1, ,45.9, ,64.1, ,30, ,9, ,14, ,14.6, ,8.0, ,190.9, ,50.4, 
204,2/9/2022,40,0.22, ,0, ,407,R,2.7, ,80.6, ,53.6, ,69.0, ,18, ,7, ,11, ,12.8, ,8.1, ,193.8, ,51.1, 
204,2/10/2022,41,0.21, ,0, ,401, ,4.3, ,81.8, ,56.0, ,70.8,Y,28, ,11, ,17,Y,23.5,Y,7.5, ,180.4, ,51.8, 
204,2/11/2022,42,0.18, ,0, ,406, ,4.6, ,86.3, ,50.5, ,68.4, ,38, ,10, ,19, ,25.0, ,5.4, ,129.7, ,52.3, 
204,2/12/2022,43,0.19, ,0, ,417,R,3.3, ,83.3, ,50.0, ,67.5, ,29, ,7, ,14, ,17.2, ,5.7, ,136.7, ,52.6, 
204,2/13/2022,44,0.15, ,0, ,421,R,3.8, ,84.9, ,45.6, ,63.6, ,35, ,7, ,19, ,20.8, ,4.1, ,97.9, ,52.4, 
204,2/14/2022,45,0.15, ,0, ,424,R,4.9, ,82.0, ,45.5, ,60.7, ,66, ,11, ,27, ,26.7, ,4.6, ,110.4, ,52.7, 
204,2/15/2022,46,0.07, ,0.00, ,220, ,8.1, ,60.8, ,42.4, ,48.4, ,94, ,49, ,70, ,39.1, ,6.0, ,143.7, ,52.8, 
204,2/16/2022,47,0.13, ,0, ,430,R,6.1, ,66.8, ,38.5, ,51.5, ,73, ,23, ,47, ,31.8, ,5.1, ,122.5, ,51.8, 
204,2/17/2022,48,0.20, ,0, ,453,R,3.3, ,68.4, ,40.6, ,56.1, ,78, ,11, ,21, ,17.3, ,9.0, ,214.8, ,51.6, 
204,2/18/2022,49,0.19, ,0, ,453,R,3.2, ,73.4, ,38.3, ,56.3, ,39, ,10, ,21, ,16.5, ,6.4, ,153.0, ,51.1, 
204,2/19/2022,50,0.15, ,0, ,445,R,4.5, ,77.4, ,39.9, ,57.9, ,45, ,11, ,27, ,24.5, ,4.1, ,97.9, ,51.3, 
204,2/20/2022,51,0.14, ,0, ,434, ,6.7, ,71.1, ,40.9, ,54.4, ,86, ,22, ,46, ,34.3, ,5.1, ,122.6, ,51.7, 
204,2/21/2022,52,0.09, ,0, ,259, ,8.7, ,60.8, ,47.7, ,51.4, ,79, ,52, ,67, ,40.8, ,7.5, ,181.1, ,52.3, 
204,2/22/2022,53,0.12, ,0, ,383, ,7.1, ,57.3, ,41.8, ,48.3, ,82, ,43, ,61, ,35.6, ,6.8, ,163.4, ,52.3, 
204,2/23/2022,54,0.13, ,0, ,461,R,4.4, ,50.3, ,32.9, ,41.8, ,83, ,31, ,49, ,23.9, ,6.3, ,150.4, ,51.1, 
204,2/24/2022,55,0.13, ,0, ,481,R,2.8, ,60.4, ,31.0, ,44.7, ,50, ,12, ,27, ,13.1, ,4.3, ,102.4, ,49.9, 
204,2/25/2022,56,0.16, ,0, ,477,R,2.8, ,63.9, ,31.4, ,47.8, ,54, ,12, ,25, ,13.3, ,5.5, ,132.5, ,49.7, 
204,2/26/2022,57,0.20, ,0, ,436, ,2.0, ,65.7, ,33.0, ,52.0, ,43, ,8, ,15, ,6.1, ,8.2, ,195.9, ,49.5, 
204,2/27/2022,58,0.21, ,0, ,437, ,1.3, ,71.2, ,42.2, ,58.8, ,15, ,4, ,8, ,-2.5, ,8.9, ,212.7, ,49.8, 
204,2/28/2022,59,0.28, ,0, ,489,R,2.1, ,79.4, ,52.4, ,66.6, ,23, ,6, ,9, ,6.9, ,9.9, ,237.1, ,50.8, 
