178,2/1/2022,32,0.10, ,0.00, ,331, ,4.2,Y,59.7, ,29.8, ,46.2, ,96, ,16, ,39,Y,22.8,Y,4.7, ,112.0, ,47.8, 
178,2/2/2022,33,0.12, ,0, ,327, ,3.8,Y,60.5, ,33.9, ,48.5, ,72, ,19, ,33,Y,20.5,Y,5.4, ,129.6, ,47.2, 
178,2/3/2022,34,0.08, ,0, ,296, ,5.7, ,64.0, ,28.5, ,43.7, ,89, ,27, ,59, ,30.5, ,2.2, ,53.0, ,46.7, 
178,2/4/2022,35,0.08, ,0, ,316, ,6.7, ,62.1, ,29.8, ,43.8, ,92, ,41, ,69, ,34.3, ,2.7, ,63.6, ,46.9, 
178,2/5/2022,36,0.08, ,0, ,277, ,6.6, ,63.2, ,31.3, ,43.8, ,96, ,32, ,68, ,33.9, ,2.1, ,49.5, ,47.0, 
178,2/6/2022,37,0.09, ,0, ,347, ,6.6, ,66.5, ,28.5, ,45.2, ,95, ,30, ,64, ,33.9, ,2.6, ,62.4, ,46.9, 
178,2/7/2022,38,0.09, ,0, ,338, ,7.2, ,66.2, ,31.8, ,46.4, ,95, ,34, ,67, ,36.0, ,2.6, ,63.2, ,47.2, 
178,2/8/2022,39,0.10, ,0.00, ,348, ,7.0, ,70.5, ,30.5, ,48.1, ,96, ,28, ,61, ,35.3, ,2.6, ,62.0, ,47.3, 
178,2/9/2022,40,0.11, ,0.13, ,305, ,7.0, ,71.6, ,40.7, ,55.0, ,85, ,26, ,47, ,35.4, ,3.8, ,90.4, ,48.3, 
178,2/10/2022,41,0.12, ,0, ,357, ,8.7, ,75.7,Y,43.5, ,59.1, ,89, ,29, ,51, ,40.9, ,4.1, ,98.2, ,49.3, 
178,2/11/2022,42,0.11, ,0.03, ,359, ,9.3, ,75.4,Y,38.2, ,54.6, ,95, ,30, ,64, ,42.7, ,2.5, ,60.1, ,50.0, 
178,2/12/2022,43,0.10, ,0.01, ,347, ,10.5, ,72.4, ,39.5, ,53.6, ,97, ,46, ,75, ,45.7, ,2.6, ,61.5, ,50.6, 
178,2/13/2022,44,0.10, ,0.04, ,367, ,9.7, ,74.0, ,37.0, ,53.3, ,98, ,37, ,70, ,43.7, ,2.4, ,56.9, ,50.9, 
178,2/14/2022,45,0.04, ,0.03, ,177, ,9.9, ,53.2, ,39.0, ,48.2, ,97, ,71, ,87, ,44.3, ,4.8, ,114.7, ,50.8, 
178,2/15/2022,46,0.11, ,0, ,383, ,5.8, ,59.0, ,36.4, ,47.8, ,75, ,25, ,51, ,30.6, ,6.2, ,148.4, ,50.1, 
178,2/16/2022,47,0.15, ,0, ,386, ,5.5, ,69.1, ,33.5, ,56.2, ,82, ,23, ,35, ,29.3, ,5.5, ,132.1, ,49.5, 
178,2/17/2022,48,0.11, ,0, ,397,R,5.6, ,65.2, ,36.9, ,50.7, ,79, ,25, ,44, ,29.7, ,3.7, ,87.7, ,50.1, 
178,2/18/2022,49,0.10, ,0.04, ,369, ,7.1, ,66.3, ,32.6, ,47.7, ,91, ,36, ,63, ,35.8, ,2.4, ,56.4, ,49.7, 
178,2/19/2022,50,0.11, ,0.07, ,395, ,7.9, ,71.1, ,33.5, ,49.5, ,96, ,31, ,66, ,38.5, ,2.6, ,61.6, ,50.0, 
178,2/20/2022,51,0.07, ,0.04, ,268, ,9.1, ,55.1, ,36.9, ,47.0, ,96, ,68, ,83, ,42.1, ,5.2, ,125.7, ,50.2, 
178,2/21/2022,52,0.11, ,0.05, ,408, ,6.7, ,55.2, ,32.1, ,45.1, ,94, ,37, ,66, ,34.4, ,5.6, ,134.6, ,49.4, 
178,2/22/2022,53,0.11,R,0, ,437,R,6.2, ,51.1, ,32.4, ,43.1, ,91, ,42, ,65, ,32.2, ,5.6, ,133.7, ,49.3, 
178,2/23/2022,54,0.10, ,0.00, ,431,R,4.6, ,53.1, ,27.2, ,38.7,Y,94, ,27, ,58,Y,25.1,Y,3.4, ,81.3, ,48.1, 
178,2/24/2022,55,0.10, ,0, ,429,R,4.8, ,56.6, ,23.9,Y,39.2, ,90, ,21, ,59, ,26.2, ,2.5, ,61.2, ,46.9, 
178,2/25/2022,56,0.10, ,0.00, ,432,R,5.0, ,59.0, ,26.3, ,41.1, ,93, ,23, ,57, ,27.0, ,2.4, ,57.4, ,47.0, 
178,2/26/2022,57,0.07, ,0.10, ,256, ,6.1, ,57.9, ,27.7, ,43.4, ,93, ,36, ,64, ,32.1, ,2.1, ,51.4, ,47.1, 
178,2/27/2022,58,0.12, ,0.06, ,427, ,6.7, ,69.9, ,33.7, ,49.6, ,91, ,25, ,55, ,34.2, ,2.8, ,66.1, ,48.6, 
178,2/28/2022,59,0.13, ,0.02, ,433, ,7.6, ,74.0, ,33.0, ,51.7, ,94, ,31, ,58, ,37.5, ,2.5, ,60.7, ,49.6, 
