47,2/1/2022,32,0.19, ,0, ,331, ,4.2, ,60.6, ,43.0, ,51.9, ,89, ,22, ,31, ,22.7, ,14.5,R,348.2,R,48.6, 
47,2/2/2022,33,0.19, ,0, ,337, ,4.0, ,61.2, ,39.6, ,51.8, ,48, ,22, ,30, ,21.8, ,13.7,R,327.8,R,48.7, 
47,2/3/2022,34,0.09, ,0, ,267, ,5.4, ,63.6, ,33.6, ,47.3, ,72, ,31, ,49, ,29.1, ,4.6, ,110.7, ,47.7, 
47,2/4/2022,35,0.07, ,0, ,321, ,7.4, ,65.9, ,30.9, ,46.3, ,99, ,37, ,69, ,36.8, ,2.8, ,67.0, ,48.3, 
47,2/5/2022,36,0.08, ,0, ,299, ,7.5, ,66.5, ,35.5, ,48.8, ,99, ,33, ,64, ,37.0, ,3.6, ,85.6, ,49.1, 
47,2/6/2022,37,0.08, ,0, ,344, ,7.3, ,73.2, ,30.3, ,49.0, ,99, ,28, ,62, ,36.6, ,2.5, ,61.0, ,49.7, 
47,2/7/2022,38,0.09, ,0, ,341, ,7.9, ,71.8, ,34.1, ,50.6, ,99, ,34, ,63, ,38.5, ,3.0, ,71.1, ,50.4, 
47,2/8/2022,39,0.10, ,0, ,350, ,8.1, ,75.4, ,35.0, ,52.8, ,97, ,32, ,59, ,39.0, ,3.2, ,77.8, ,51.1, 
47,2/9/2022,40,0.09, ,0, ,316, ,8.3, ,74.5, ,36.8, ,54.3, ,99, ,25, ,58, ,39.8, ,3.2, ,77.2, ,51.5, 
47,2/10/2022,41,0.10, ,0, ,354, ,9.2, ,80.1,Y,38.2, ,56.6, ,99, ,25, ,59, ,42.3, ,3.3, ,80.2, ,52.7, 
47,2/11/2022,42,0.10, ,0, ,356, ,10.2, ,79.2,Y,41.3, ,57.9, ,99, ,34, ,62, ,45.1, ,2.9, ,69.2, ,54.2, 
47,2/12/2022,43,0.09, ,0, ,349, ,11.2, ,75.7, ,39.7, ,56.5, ,100, ,40, ,72, ,47.4, ,2.2, ,53.9, ,54.5, 
47,2/13/2022,44,0.11, ,0, ,362, ,10.6, ,77.6,Y,41.8, ,58.1, ,100, ,34, ,64, ,46.0, ,3.1, ,73.8, ,54.9, 
47,2/14/2022,45,0.10, ,0, ,339, ,10.2, ,68.9, ,39.4, ,53.3, ,100, ,40, ,73, ,45.1, ,6.1, ,147.1, ,54.4, 
47,2/15/2022,46,0.18, ,0, ,381, ,5.5, ,63.5, ,44.9, ,53.7, ,67, ,24, ,39, ,29.4, ,13.0,Y,311.2,Y,53.3, 
47,2/16/2022,47,0.17, ,0, ,382, ,5.9, ,73.1, ,44.0, ,58.2, ,48, ,25, ,36, ,31.3, ,9.0, ,216.1, ,53.7, 
47,2/17/2022,48,0.11, ,0, ,389, ,6.2, ,68.8, ,42.9, ,53.7, ,61, ,28, ,44, ,32.4, ,4.6, ,109.5, ,54.3, 
47,2/18/2022,49,0.10, ,0, ,363, ,7.3, ,71.3, ,37.3, ,52.4, ,75, ,33, ,54, ,36.4, ,3.0, ,72.9, ,53.4, 
47,2/19/2022,50,0.11, ,0, ,390, ,8.4, ,75.6, ,36.7, ,54.1, ,99, ,29, ,59, ,40.2, ,3.4, ,81.0, ,54.6, 
47,2/20/2022,51,0.09, ,0, ,288, ,9.0, ,65.8, ,38.2, ,51.6, ,100, ,41, ,69, ,41.8, ,5.6, ,133.9, ,53.9, 
47,2/21/2022,52,0.13, ,0, ,406, ,6.1, ,60.2, ,40.2, ,51.1, ,70, ,28, ,48, ,31.9, ,8.5, ,203.0, ,53.7, 
47,2/22/2022,53,0.12, ,0, ,341, ,5.9, ,56.2, ,34.6, ,46.1, ,73, ,33, ,55, ,30.9, ,8.9, ,212.9, ,52.8, 
47,2/23/2022,54,0.14, ,0, ,424,R,3.8, ,57.6, ,34.3, ,44.4, ,73, ,19, ,38, ,20.3, ,8.0, ,191.0, ,50.5, 
47,2/24/2022,55,0.11, ,0, ,415, ,3.6,Y,61.4, ,27.0,Y,43.6, ,61, ,17, ,37,Y,19.1,Y,3.4, ,80.7, ,49.8, 
47,2/25/2022,56,0.12, ,0, ,425, ,4.3, ,63.6, ,29.0,Y,45.6, ,66, ,22, ,41, ,23.5, ,4.4, ,104.6, ,50.3, 
47,2/26/2022,57,0.09, ,0, ,286, ,5.3, ,61.6, ,30.5,Y,47.8, ,65, ,35, ,47, ,28.7, ,2.9, ,69.4, ,50.1, 
47,2/27/2022,58,0.14, ,0, ,419, ,6.1, ,71.9, ,38.2, ,54.4, ,68, ,23, ,42, ,32.0, ,4.4, ,106.4, ,53.3, 
47,2/28/2022,59,0.14, ,0, ,425, ,7.1, ,76.2, ,38.5, ,56.6, ,71, ,28, ,45, ,35.7, ,3.8, ,92.1, ,54.9, 
