225,2/1/2022,32,0.05, ,0, ,281, ,3.3,Y,47.1, ,13.7,Y,27.8, ,100, ,28, ,64,Y,17.1,Y,2.5, ,60.6, ,35.5,Y
225,2/2/2022,33,0.05, ,0, ,258, ,3.9, ,52.1, ,14.3,Y,29.7, ,98, ,35, ,70, ,21.1, ,2.3, ,54.9, ,35.1,Y
225,2/3/2022,34,0.06, ,0, ,284, ,4.3, ,58.9, ,20.5, ,34.4, ,100, ,22, ,63, ,23.3, ,2.7, ,64.2, ,35.7,Y
225,2/4/2022,35,0.05, ,0, ,258, ,4.3, ,57.2, ,18.6, ,33.5, ,98, ,31, ,67, ,23.7, ,2.3, ,55.1, ,36.1,Y
225,2/5/2022,36,0.06, ,0, ,295, ,4.6, ,59.0, ,17.4, ,33.8, ,100, ,31, ,70, ,25.1, ,2.3, ,54.5, ,36.5,Y
225,2/6/2022,37,0.06, ,0, ,300, ,4.4, ,60.3, ,17.3, ,33.5, ,100, ,26, ,68, ,24.0, ,2.3, ,54.1, ,36.6,Y
225,2/7/2022,38,0.06, ,0, ,286, ,4.7, ,61.8, ,17.2, ,34.8, ,100, ,29, ,69, ,25.8, ,2.1, ,49.4, ,36.7,Y
225,2/8/2022,39,0.07, ,0, ,303, ,4.8, ,64.7, ,19.6, ,36.6, ,100, ,23, ,66, ,26.3, ,2.3, ,55.2, ,37.1,Y
225,2/9/2022,40,0.07, ,0, ,302, ,5.6, ,67.8, ,21.6, ,39.8, ,100, ,31, ,68, ,30.0, ,2.6, ,61.6, ,37.8, 
225,2/10/2022,41,0.08, ,0, ,312, ,6.6, ,69.2, ,22.2, ,41.2, ,100, ,34, ,75, ,33.7, ,2.5, ,59.0, ,38.9, 
225,2/11/2022,42,0.07, ,0, ,306, ,6.5, ,70.1,Y,22.2, ,40.1, ,100, ,34, ,77, ,33.5, ,2.1, ,50.5, ,39.5, 
225,2/12/2022,43,0.08, ,0, ,322, ,5.9, ,68.2, ,19.6, ,39.2, ,100, ,29, ,73, ,31.1, ,2.0, ,46.9, ,39.6, 
225,2/13/2022,44,0.07, ,0, ,317, ,6.1, ,69.3,Y,19.9, ,40.4, ,100, ,28, ,72, ,32.1, ,2.0, ,49.0, ,39.9, 
225,2/14/2022,45,0.08, ,0.03, ,253, ,5.8, ,59.9, ,23.0, ,38.4, ,100, ,21, ,74, ,30.8, ,6.0, ,144.4, ,40.3, 
225,2/15/2022,46,0.07, ,0, ,337, ,4.9, ,52.4, ,19.6, ,34.9, ,100, ,38, ,71, ,26.6, ,3.3, ,78.3, ,39.8, 
225,2/16/2022,47,0.08, ,0, ,341, ,4.5, ,59.6, ,18.5, ,35.9, ,100, ,24, ,63, ,24.5, ,2.8, ,66.5, ,39.5, 
225,2/17/2022,48,0.08, ,0, ,339, ,4.1, ,62.3, ,16.0, ,35.3, ,100, ,17, ,58, ,22.1, ,2.3, ,55.5, ,39.4, 
225,2/18/2022,49,0.08, ,0, ,350, ,4.7, ,64.1, ,18.8, ,37.6, ,99, ,26, ,62, ,25.8, ,2.4, ,56.6, ,39.6, 
225,2/19/2022,50,0.09, ,0, ,348, ,5.0, ,67.1, ,19.0, ,40.5, ,100, ,23, ,59, ,27.3, ,2.9, ,68.6, ,40.0, 
225,2/20/2022,51,0.10, ,0, ,364, ,4.5, ,52.9, ,19.1, ,37.6, ,100, ,26, ,59, ,24.4, ,5.8, ,139.8, ,40.4, 
225,2/21/2022,52,0.05, ,0, ,217, ,4.5, ,43.7, ,22.0, ,32.3, ,100, ,48, ,73, ,24.7, ,4.6, ,111.4, ,40.0, 
225,2/22/2022,53,0.04, ,0, ,210, ,4.1, ,41.2, ,17.7, ,28.4, ,100, ,47, ,78, ,22.4, ,4.0, ,95.5, ,39.4, 
225,2/23/2022,54,0.07, ,0, ,517,R,2.3, ,43.0, ,12.4, ,31.0, ,99, ,19, ,39, ,9.0, ,3.5, ,82.8, ,38.4, 
225,2/24/2022,55,0.09, ,0, ,375, ,2.7, ,51.4, ,8.6,Y,28.9, ,84, ,23, ,50, ,12.6, ,3.8, ,92.1, ,37.6, 
225,2/25/2022,56,0.08, ,0, ,383, ,3.1, ,55.8, ,11.0,Y,29.8, ,98, ,24, ,56, ,15.9, ,3.0, ,73.2, ,37.8, 
225,2/26/2022,57,0.05, ,0.00, ,217, ,4.2, ,49.0, ,11.9, ,34.1, ,95, ,33, ,63, ,22.9, ,2.3, ,54.8, ,37.9, 
225,2/27/2022,58,0.05, ,0.05, ,188, ,7.9, ,61.1, ,33.1, ,45.4, ,100, ,50, ,77, ,38.6, ,3.6, ,87.5, ,40.1, 
225,2/28/2022,59,0.08, ,0, ,241, ,7.9, ,69.4, ,31.5, ,48.5, ,100, ,35, ,68, ,38.6, ,4.2, ,100.9, ,41.5, 
