152,2/1/2022,32,0.07,R,0, ,334, ,10.6, ,63.2, ,42.5, ,51.7, ,99, ,55, ,81, ,46.1, ,1.0,I,24.0,I,49.8, 
152,2/2/2022,33,0.08,R,0, ,373, ,3.0, ,63.0, ,42.7, ,55.4, ,53, ,11, ,20, ,15.0, ,1.0,I,24.0,I,47.3,Y
152,2/3/2022,34,0.09,R,0, ,367, ,3.7, ,69.0, ,44.1, ,56.5, ,56, ,15, ,24, ,20.0, ,1.0,I,24.0,I,47.5,Y
152,2/4/2022,35,0.11,R,0, ,373, ,3.1, ,68.5, ,54.6, ,60.9, ,20, ,14, ,17, ,15.6, ,1.0,I,24.0,I,49.7, 
152,2/5/2022,36,0.11,R,0, ,383, ,3.7, ,72.9, ,43.1, ,59.6, ,57, ,11, ,21, ,20.0, ,1.0,I,24.0,I,49.7, 
152,2/6/2022,37,0.12,R,0, ,386, ,3.4, ,79.3, ,40.1, ,66.4, ,68, ,9, ,15, ,18.0, ,1.0,I,24.0,I,50.6, 
152,2/7/2022,38,0.12,R,0, ,387, ,4.7, ,78.5, ,44.3, ,64.7, ,72, ,10, ,22, ,25.5, ,1.0,I,24.0,I,52.4, 
152,2/8/2022,39,0.11,R,0, ,361, ,5.7, ,82.4, ,41.9, ,62.7, ,74, ,11, ,29, ,30.3, ,1.0,I,24.0,I,51.6, 
152,2/9/2022,40,0.13,R,0, ,394, ,4.1, ,84.2, ,52.9, ,71.6,Y,48, ,9, ,16,Y,22.6,Y,1.0,I,24.0,I,53.9, 
152,2/10/2022,41,0.13,R,0, ,390, ,6.4, ,84.7, ,49.1, ,70.1,Y,68, ,14, ,25,Y,33.1,Y,1.0,I,24.0,I,54.6, 
152,2/11/2022,42,0.14,R,0.01,H,390, ,8.2, ,83.5, ,44.7, ,64.7, ,85, ,17, ,39, ,39.3, ,2.4, ,58.6, ,54.1, 
152,2/12/2022,43,0.18, ,0, ,406, ,6.6, ,87.1,Y,49.6, ,68.1,Y,58, ,10, ,28,Y,34.0,Y,4.6, ,109.6, ,55.0, 
152,2/13/2022,44,0.16, ,0, ,411, ,5.7, ,85.0,Y,50.2, ,65.2, ,50, ,13, ,27, ,30.4, ,3.5, ,83.6, ,54.5, 
152,2/14/2022,45,0.12, ,0, ,406, ,10.1, ,71.4, ,40.0, ,56.5, ,92, ,33, ,65, ,44.8, ,3.4, ,82.3, ,52.7, 
152,2/15/2022,46,0.10, ,0.02,H,366, ,9.5, ,63.7, ,40.3, ,53.4, ,90, ,41, ,68, ,43.3, ,4.2, ,100.3, ,53.1, 
152,2/16/2022,47,0.11, ,0, ,425, ,7.5, ,64.9, ,37.5, ,50.6, ,81, ,31, ,60, ,37.2, ,3.3, ,78.9, ,50.0, 
152,2/17/2022,48,0.18, ,0, ,442,R,6.0, ,72.0, ,44.1, ,57.5, ,89, ,15, ,37, ,31.7, ,6.7,Y,161.3,Y,50.6, 
152,2/18/2022,49,0.14, ,0, ,438,R,6.7, ,75.5, ,42.6, ,55.6, ,71, ,14, ,44, ,34.2, ,4.6, ,110.9, ,51.2, 
152,2/19/2022,50,0.11, ,0, ,419, ,9.4, ,66.8, ,38.2, ,51.7, ,96, ,52, ,72, ,43.0, ,3.3, ,79.4, ,50.6, 
152,2/20/2022,51,0.10, ,0, ,392, ,10.7, ,63.0, ,38.4, ,51.0, ,98, ,65, ,84, ,46.3, ,3.3, ,78.6, ,51.0, 
152,2/21/2022,52,0.10, ,0, ,401, ,10.5, ,60.2, ,47.0, ,53.1, ,99, ,51, ,76, ,45.8, ,3.9, ,92.5, ,52.5, 
152,2/22/2022,53,0.12, ,0, ,438, ,8.5, ,57.8, ,42.0, ,50.2, ,98, ,52, ,69, ,40.4, ,5.1, ,123.1, ,50.9, 
152,2/23/2022,54,0.13, ,0.10, ,475,R,5.2, ,58.6, ,35.3, ,46.6, ,91, ,19, ,48, ,28.2, ,3.9, ,92.4, ,48.9,Y
152,2/24/2022,55,0.14, ,0, ,473,R,4.5, ,61.1, ,33.6, ,48.1, ,67, ,14, ,39, ,24.3, ,4.5, ,107.1, ,47.4,Y
152,2/25/2022,56,0.14, ,0, ,465,R,5.2, ,65.6, ,33.5, ,48.9, ,66, ,17, ,44, ,28.0, ,4.2, ,100.1, ,48.1,Y
152,2/26/2022,57,0.18, ,0, ,444, ,3.8, ,69.9, ,37.9, ,54.7, ,67, ,10, ,26, ,20.5, ,5.2, ,125.7, ,48.9,Y
152,2/27/2022,58,0.18, ,0, ,415, ,3.4,Y,75.3, ,39.1, ,58.7, ,52, ,7, ,20,Y,18.1,Y,5.0, ,119.8, ,48.5,Y
152,2/28/2022,59,0.24,R,0, ,486,R,3.6,Y,83.9,Y,50.0, ,68.8,Y,47, ,8, ,15,Y,19.1,Y,6.3,Y,152.0,Y,52.5, 
