198,2/1/2022,32,0.08, ,0, ,342, ,10.2, ,64.5, ,40.8, ,51.3, ,100, ,51, ,79, ,45.0, ,2.6, ,62.2, ,54.5, 
198,2/2/2022,33,0.13, ,0, ,385,R,4.7, ,63.9, ,33.8, ,48.5, ,100, ,11, ,41, ,25.8, ,6.3, ,150.7, ,52.6, 
198,2/3/2022,34,0.11, ,0, ,381, ,4.2, ,69.4, ,33.4, ,51.0, ,63, ,13, ,33, ,23.2, ,4.0, ,96.9, ,50.5, 
198,2/4/2022,35,0.17, ,0, ,392,R,3.6, ,70.0, ,37.6, ,57.5, ,63, ,12, ,22, ,19.4, ,7.1, ,170.3, ,52.2, 
198,2/5/2022,36,0.13, ,0, ,401,R,4.2, ,75.8, ,36.1, ,56.8, ,67, ,11, ,27, ,22.8, ,4.0, ,96.2, ,53.4, 
198,2/6/2022,37,0.13, ,0, ,403,R,4.3, ,81.2, ,35.9, ,59.5, ,63, ,8, ,25, ,23.3, ,3.5, ,83.2, ,54.8, 
198,2/7/2022,38,0.12,R,0, ,403,R,7.6, ,81.3, ,42.0, ,57.8, ,100, ,12, ,46, ,37.5, ,3.9, ,94.3, ,55.9, 
198,2/8/2022,39,0.12,R,0, ,381, ,6.9, ,84.5, ,41.8, ,59.3, ,100, ,11, ,40, ,35.0, ,3.4, ,81.2, ,55.6, 
198,2/9/2022,40,0.17,R,0, ,420,R,6.0, ,86.7, ,41.4, ,66.6, ,100, ,8, ,27, ,31.5, ,5.3, ,126.8, ,55.8, 
198,2/10/2022,41,0.16,R,0.00, ,414,R,7.9, ,86.1, ,47.5, ,63.7, ,100, ,13, ,39, ,38.6, ,5.2, ,123.8, ,56.3, 
198,2/11/2022,42,0.14, ,0, ,411,R,8.1, ,86.1, ,47.9, ,64.9, ,70, ,17, ,39, ,39.1, ,3.5, ,84.7, ,57.7, 
198,2/12/2022,43,0.17, ,0, ,424,R,5.9, ,88.1, ,43.8, ,66.9, ,73, ,7, ,26, ,31.1, ,4.8, ,116.3, ,59.4, 
198,2/13/2022,44,0.16, ,0, ,423,R,5.3, ,85.7, ,50.1, ,66.3, ,59, ,11, ,24, ,28.6, ,5.1, ,123.5, ,60.9, 
198,2/14/2022,45,0.12, ,0.01, ,418, ,9.3, ,74.9, ,47.9, ,58.3, ,100, ,21, ,56, ,42.7, ,3.5, ,84.6, ,60.9, 
198,2/15/2022,46,0.11, ,0, ,371, ,9.6, ,65.0, ,41.3, ,54.9, ,99, ,34, ,65, ,43.4, ,3.9, ,94.5, ,61.6,Y
198,2/16/2022,47,0.10, ,0, ,429,R,8.7, ,66.2, ,36.0, ,49.6, ,100, ,33, ,72, ,41.0, ,3.2, ,77.0, ,59.0, 
198,2/17/2022,48,0.14,R,0, ,447,R,6.9, ,73.7, ,37.1, ,54.7, ,96, ,15, ,47, ,34.9, ,6.4, ,152.5, ,56.8, 
198,2/18/2022,49,0.13, ,0, ,443,R,5.9, ,77.2, ,40.2, ,55.2, ,73, ,11, ,40, ,31.2, ,3.3, ,78.0, ,56.2, 
198,2/19/2022,50,0.11, ,0, ,428, ,9.5, ,68.9, ,35.0, ,51.1, ,100, ,35, ,74, ,43.1, ,2.5, ,60.6, ,56.8, 
198,2/20/2022,51,0.10, ,0, ,412, ,10.6, ,64.8, ,37.1, ,51.7, ,100, ,56, ,81, ,46.1, ,2.7, ,64.5, ,57.5, 
198,2/21/2022,52,0.11, ,0, ,426, ,11.0, ,61.6, ,46.1, ,54.6, ,98, ,50, ,76, ,47.0, ,3.1, ,73.6, ,60.2, 
198,2/22/2022,53,0.11, ,0, ,438, ,8.5, ,59.8, ,39.6, ,49.6, ,100, ,50, ,70, ,40.4, ,3.0, ,72.4, ,59.6, 
198,2/23/2022,54,0.11, ,0.00,H,475,R,6.4, ,58.7, ,33.4, ,44.2, ,100, ,20, ,64, ,33.0, ,4.5, ,108.9, ,56.2, 
198,2/24/2022,55,0.12, ,0, ,472,R,4.1, ,62.7, ,29.2,Y,44.7, ,75, ,15, ,41, ,22.5, ,2.8, ,67.6, ,53.3, 
198,2/25/2022,56,0.13, ,0, ,469,R,5.0, ,66.8, ,35.5, ,48.4, ,77, ,15, ,43, ,27.1, ,3.9, ,94.2, ,53.2, 
198,2/26/2022,57,0.16,R,0, ,456, ,4.2, ,72.2, ,29.6,Y,51.4, ,78, ,10, ,32, ,22.7, ,4.5, ,108.5, ,53.5, 
198,2/27/2022,58,0.16, ,0, ,453, ,3.7, ,77.7, ,36.7, ,56.9, ,55, ,7, ,23, ,19.9, ,4.3, ,104.2, ,55.1, 
198,2/28/2022,59,0.17, ,0, ,490,R,5.0, ,86.1,Y,37.6, ,60.4, ,59, ,8, ,28, ,27.1, ,3.6, ,86.0, ,57.1, 
