187,2/1/2022,32,0.12, ,0, ,340,R,4.9,Y,63.3, ,32.7, ,51.0, ,92, ,14, ,39,Y,26.8,Y,7.0, ,167.0, ,49.2, 
187,2/2/2022,33,0.14, ,0, ,335, ,5.1, ,65.0, ,36.3, ,53.7, ,76, ,24, ,36, ,27.6, ,7.9, ,189.1, ,49.1, 
187,2/3/2022,34,0.07, ,0, ,286, ,7.8, ,62.3, ,32.3, ,45.9, ,93, ,48, ,74, ,38.2, ,2.9, ,70.1, ,49.2, 
187,2/4/2022,35,0.08, ,0, ,329, ,7.4, ,64.6, ,29.7, ,45.0, ,96, ,45, ,73, ,36.9, ,2.9, ,70.5, ,49.1, 
187,2/5/2022,36,0.07, ,0, ,289, ,7.6, ,64.0, ,32.8, ,44.8, ,94, ,45, ,75, ,37.5, ,2.3, ,55.5, ,48.9, 
187,2/6/2022,37,0.08, ,0.07,H,353,R,7.9, ,64.8, ,27.7, ,46.2, ,95, ,43, ,74, ,38.3, ,3.3, ,79.9, ,48.7, 
187,2/7/2022,38,0.08, ,0.00, ,341, ,9.0, ,66.3, ,31.9, ,47.9, ,96, ,52, ,80, ,41.9, ,3.0, ,70.9, ,48.8, 
187,2/8/2022,39,0.09, ,0, ,349, ,8.8, ,69.1, ,31.9, ,48.0, ,95, ,43, ,77, ,41.2, ,2.5, ,60.8, ,49.1, 
187,2/9/2022,40,0.09, ,0, ,334, ,8.6, ,70.8, ,34.4, ,50.3, ,95, ,40, ,69, ,40.7, ,2.6, ,62.9, ,49.2, 
187,2/10/2022,41,0.10, ,0, ,359, ,9.9, ,72.1, ,35.1, ,52.4, ,93, ,48, ,74, ,44.2, ,2.9, ,69.2, ,49.4, 
187,2/11/2022,42,0.10, ,0, ,360, ,10.6, ,73.0, ,35.0, ,53.6, ,94, ,47, ,75, ,46.1, ,2.7, ,63.9, ,49.8, 
187,2/12/2022,43,0.10, ,0, ,353, ,11.2, ,70.6, ,36.5, ,52.9, ,96, ,59, ,82, ,47.5, ,3.0, ,71.5, ,50.3, 
187,2/13/2022,44,0.10, ,0, ,362, ,10.6, ,74.9,Y,35.3, ,53.5, ,96, ,52, ,76, ,46.2, ,2.9, ,69.3, ,50.6, 
187,2/14/2022,45,0.09, ,0, ,327, ,10.4, ,57.8, ,41.1, ,50.4, ,95, ,71, ,83, ,45.5, ,8.3, ,198.9, ,51.0, 
187,2/15/2022,46,0.12, ,0, ,382, ,7.0, ,62.0, ,42.5, ,51.7, ,71, ,39, ,53, ,35.3, ,7.9, ,188.4, ,51.3, 
187,2/16/2022,47,0.13, ,0, ,384, ,7.3, ,72.2, ,42.3, ,58.0, ,56, ,33, ,44, ,36.4, ,5.5, ,132.9, ,51.2, 
187,2/17/2022,48,0.12, ,0, ,394,R,7.2, ,66.0, ,37.2, ,54.6, ,85, ,32, ,49, ,36.0, ,4.0, ,96.0, ,51.4, 
187,2/18/2022,49,0.10, ,0, ,383, ,7.7, ,70.4, ,32.2, ,49.0, ,91, ,38, ,65, ,37.8, ,2.9, ,70.0, ,51.3, 
187,2/19/2022,50,0.11, ,0, ,397, ,8.4, ,76.0,Y,33.6, ,50.9, ,93, ,38, ,66, ,39.9, ,3.0, ,71.8, ,51.0, 
187,2/20/2022,51,0.08, ,0, ,289, ,8.9, ,60.9, ,34.3, ,47.7, ,96, ,60, ,79, ,41.6, ,6.5, ,155.9, ,51.0, 
187,2/21/2022,52,0.13, ,0.07, ,404, ,7.0, ,56.7, ,42.0, ,47.9, ,91, ,39, ,61, ,35.3, ,9.7, ,232.3, ,51.1, 
187,2/22/2022,53,0.11, ,0.03, ,413, ,6.7, ,53.6, ,30.9, ,43.1, ,92, ,51, ,71, ,34.4, ,7.0, ,167.1, ,50.9, 
187,2/23/2022,54,0.10, ,0.00,H,425,R,5.5, ,57.3, ,28.2, ,42.8, ,89, ,33, ,59, ,29.6, ,4.8, ,114.8, ,50.4, 
187,2/24/2022,55,0.10, ,0, ,424,R,6.2, ,58.7, ,24.3,Y,40.9, ,94, ,39, ,71, ,32.3, ,3.8, ,90.5, ,49.7, 
187,2/25/2022,56,0.10, ,0, ,429,R,5.9, ,61.9, ,25.0, ,41.8, ,94, ,30, ,66, ,31.3, ,3.3, ,79.9, ,49.2, 
187,2/26/2022,57,0.06, ,0, ,241, ,6.9, ,57.0, ,26.1, ,43.3, ,93, ,48, ,72, ,34.9, ,2.5, ,58.8, ,48.9, 
187,2/27/2022,58,0.12, ,0, ,419, ,7.0, ,68.3, ,31.3, ,50.3, ,92, ,33, ,57, ,35.5, ,3.2, ,77.7, ,48.9, 
187,2/28/2022,59,0.12, ,0, ,421, ,8.4, ,70.8, ,33.0, ,53.1, ,83, ,40, ,61, ,39.9, ,3.6, ,86.4, ,49.3, 
