220,1/1/2022,1,0.06, ,0, ,267, ,4.3, ,47.7, ,28.3, ,36.8, ,93, ,30, ,58, ,23.6, ,3.3, ,79.0, ,42.4, 
220,1/2/2022,2,0.05, ,0, ,276, ,3.7, ,46.8, ,25.1, ,35.1, ,84, ,33, ,54, ,20.0, ,2.0, ,48.2, ,41.0, 
220,1/3/2022,3,0.05, ,0, ,279, ,4.0, ,53.6, ,24.0, ,38.3, ,83, ,31, ,50, ,21.5, ,1.8, ,42.4, ,40.6, 
220,1/4/2022,4,0.09, ,0, ,271, ,5.3, ,63.7, ,39.5, ,50.3, ,70, ,28, ,43, ,28.6, ,3.8, ,91.9, ,41.9, 
220,1/5/2022,5,0.06, ,0, ,274, ,7.0, ,60.8, ,34.3, ,45.8, ,89, ,42, ,67, ,35.5, ,2.1, ,50.0, ,43.4, 
220,1/6/2022,6,0.06, ,0, ,274, ,7.4, ,65.3, ,33.7, ,47.6, ,90, ,36, ,66, ,36.6, ,1.6, ,38.4, ,44.3, 
220,1/7/2022,7,0.10, ,0, ,256, ,5.8, ,67.3, ,44.9, ,57.7,Y,66, ,24, ,35,Y,30.6,Y,5.1, ,121.9, ,45.6, 
220,1/8/2022,8,0.07, ,0, ,278, ,6.6, ,59.3, ,36.4, ,48.5, ,74, ,36, ,57, ,34.0, ,3.4, ,82.7, ,46.5, 
220,1/9/2022,9,0.07, ,0, ,288, ,4.6, ,60.4, ,28.9, ,43.5, ,85, ,22, ,48, ,25.0, ,2.8, ,67.5, ,45.6, 
220,1/10/2022,10,0.05, ,0, ,208, ,4.4, ,57.1, ,31.8, ,43.0, ,65, ,29, ,47, ,24.0, ,2.0, ,49.0, ,44.8, 
220,1/11/2022,11,0.07, ,0, ,297, ,4.1, ,60.9, ,28.5, ,43.7, ,71, ,20, ,42, ,22.1, ,2.7, ,65.1, ,44.1, 
220,1/12/2022,12,0.05, ,0, ,211, ,4.7, ,59.6, ,29.6, ,44.4, ,74, ,25, ,47, ,25.4, ,1.6, ,38.3, ,44.1, 
220,1/13/2022,13,0.03, ,0, ,103, ,6.3, ,60.9, ,40.4, ,50.9, ,67, ,21, ,50, ,32.8, ,1.8, ,43.5, ,44.9, 
220,1/14/2022,14,0.10, ,0, ,291, ,4.6, ,66.0, ,37.0, ,53.9, ,61, ,19, ,32, ,25.0, ,4.5, ,108.7, ,46.1, 
220,1/15/2022,15,0.04, ,0, ,84, ,4.7, ,56.4, ,41.3, ,49.7, ,50, ,27, ,39, ,25.6, ,2.5, ,60.2, ,46.5, 
220,1/16/2022,16,0.07, ,0, ,280, ,5.2, ,64.1, ,37.0, ,51.6, ,72, ,20, ,40, ,27.9, ,1.6, ,38.0, ,47.1, 
220,1/17/2022,17,0.04, ,0.01, ,157, ,8.6, ,60.7, ,45.0, ,52.6, ,83, ,34, ,64, ,40.7, ,2.9, ,69.8, ,48.6, 
220,1/18/2022,18,0.08, ,0, ,297, ,9.4, ,64.8, ,43.0, ,53.5, ,86, ,42, ,67, ,43.0, ,3.9, ,94.5, ,49.6, 
220,1/19/2022,19,0.07, ,0, ,307, ,7.1, ,62.8, ,35.3, ,47.9, ,90, ,36, ,63, ,35.8, ,1.9, ,46.8, ,49.3, 
220,1/20/2022,20,0.08, ,0, ,312, ,5.6, ,64.6, ,32.3, ,46.9, ,85, ,25, ,51, ,29.9, ,2.3, ,56.3, ,48.7, 
220,1/21/2022,21,0.11, ,0, ,296, ,4.4, ,62.6, ,35.5, ,50.3, ,61, ,17, ,36, ,24.2, ,5.0, ,120.2, ,48.3, 
220,1/22/2022,22,0.12, ,0, ,316, ,3.4, ,59.2, ,35.5, ,48.6, ,48, ,20, ,29, ,17.8, ,6.5, ,156.1, ,48.3, 
220,1/23/2022,23,0.09, ,0, ,321, ,3.8, ,62.5, ,29.1, ,45.7, ,67, ,19, ,37, ,20.8, ,2.6, ,62.4, ,47.6, 
220,1/24/2022,24,0.08, ,0, ,326, ,4.2, ,70.7, ,30.9, ,49.3, ,62, ,15, ,35, ,22.9, ,2.1, ,50.2, ,47.7, 
220,1/25/2022,25,0.10, ,0, ,331, ,3.3, ,64.7, ,34.7, ,49.5, ,55, ,12, ,27, ,17.1, ,3.8, ,90.4, ,48.2, 
220,1/26/2022,26,0.08, ,0, ,333, ,3.1, ,57.9, ,26.9, ,41.8, ,57, ,18, ,35, ,15.9, ,2.5, ,59.3, ,47.4, 
220,1/27/2022,27,0.09, ,0, ,341, ,2.8, ,62.0, ,23.9, ,42.2, ,69, ,12, ,31, ,13.8, ,3.0, ,72.2, ,46.4, 
220,1/28/2022,28,0.11, ,0, ,339, ,2.1, ,58.1, ,29.7, ,43.1, ,44, ,10, ,23, ,7.5, ,4.0, ,96.6, ,45.9, 
220,1/29/2022,29,0.05, ,0, ,190, ,2.7, ,56.4, ,28.9, ,41.3, ,52, ,14, ,30, ,12.4, ,1.7, ,40.0, ,45.3, 
220,1/30/2022,30,0.08, ,0, ,358, ,2.9, ,67.4, ,25.6, ,45.5, ,54, ,9, ,28, ,14.3, ,1.9, ,45.9, ,45.2, 
220,1/31/2022,31,0.07, ,0, ,252, ,4.1, ,62.9, ,30.8, ,48.0, ,56, ,19, ,36, ,22.1, ,2.2, ,53.5, ,45.8, 
