15,1/1/2022,1,0.05, ,0, ,253, ,7.0, ,50.9, ,32.6, ,39.9, ,94, ,66, ,84, ,35.4, ,3.9, ,93.2, ,52.8, 
15,1/2/2022,2,0.06, ,0, ,275, ,7.0, ,56.2, ,29.4, ,40.6, ,97, ,54, ,82, ,35.5, ,3.3, ,78.4, ,52.2, 
15,1/3/2022,3,0.05, ,0.00, ,239, ,7.4, ,56.4, ,28.9, ,41.7, ,99, ,56, ,83, ,36.8, ,2.6, ,62.0, ,51.8, 
15,1/4/2022,4,0.06, ,0, ,248, ,9.4, ,61.2, ,40.5, ,50.8, ,99, ,54, ,74, ,42.8, ,2.7, ,64.4, ,51.5, 
15,1/5/2022,5,0.04, ,0, ,166, ,10.4, ,60.9, ,44.4, ,50.6, ,93, ,63, ,83, ,45.7, ,3.0, ,72.1, ,51.9, 
15,1/6/2022,6,0.04, ,0, ,301,R,10.6, ,59.6, ,39.6, ,51.1, ,99, ,67, ,83, ,46.1, ,2.3, ,54.5, ,52.5, 
15,1/7/2022,7,0.03, ,0.01, ,152, ,10.0, ,56.9, ,34.5, ,46.6, ,99, ,75, ,92, ,44.4, ,3.0, ,71.8, ,52.6, 
15,1/8/2022,8,0.05, ,0, ,183, ,10.4, ,60.1, ,38.0, ,49.0, ,99, ,63, ,88, ,45.6, ,4.4, ,106.1, ,52.9, 
15,1/9/2022,9,0.04, ,0.01, ,226, ,8.9, ,56.7, ,33.7, ,43.2, ,99, ,74, ,93, ,41.4, ,3.0, ,72.1, ,53.0, 
15,1/10/2022,10,0.03, ,0.01, ,192, ,9.1, ,58.2, ,34.3, ,43.6, ,99, ,71, ,94, ,42.0, ,2.6, ,62.1, ,52.7, 
15,1/11/2022,11,0.05, ,0.00, ,230, ,8.5, ,60.1, ,30.8, ,42.5, ,99, ,63, ,92, ,40.4, ,3.0, ,70.9, ,52.5, 
15,1/12/2022,12,0.03, ,0.01, ,179, ,8.6, ,58.4, ,34.7, ,43.4, ,100, ,61, ,90, ,40.6, ,2.6, ,61.2, ,52.2, 
15,1/13/2022,13,0.03, ,0.00, ,153, ,9.9, ,62.5, ,38.8, ,48.5, ,96, ,61, ,85, ,44.3, ,3.3, ,79.7, ,52.3, 
15,1/14/2022,14,0.02, ,0.01, ,111, ,9.6, ,51.8, ,36.1, ,44.1, ,99, ,90, ,98, ,43.4, ,3.3, ,78.8, ,52.4, 
15,1/15/2022,15,0.01, ,0.00, ,99, ,10.1, ,51.8, ,41.8, ,46.0, ,99, ,83, ,95, ,44.7, ,3.5, ,83.2, ,52.4, 
15,1/16/2022,16,0.05, ,0, ,211, ,11.2, ,61.5, ,43.0, ,51.4, ,99, ,64, ,86, ,47.5, ,2.6, ,62.0, ,52.7, 
15,1/17/2022,17,0.05, ,0.01, ,216, ,11.4, ,65.6, ,44.5, ,53.8, ,97, ,55, ,81, ,48.1, ,2.8, ,66.1, ,53.2, 
15,1/18/2022,18,0.07, ,0, ,273, ,11.1, ,65.6, ,43.4, ,54.7, ,96, ,48, ,76, ,47.3, ,3.7, ,89.6, ,53.7, 
15,1/19/2022,19,0.07, ,0, ,283, ,9.5, ,63.8, ,38.3, ,49.4, ,95, ,54, ,79, ,43.1, ,4.0, ,96.2, ,53.9, 
15,1/20/2022,20,0.07, ,0, ,287, ,9.6, ,64.9, ,35.8, ,48.8, ,97, ,56, ,81, ,43.3, ,2.6, ,62.5, ,53.5, 
15,1/21/2022,21,0.08, ,0, ,292, ,8.8, ,62.6, ,36.7, ,47.4, ,98, ,48, ,79, ,41.1, ,4.0, ,96.4, ,53.3, 
15,1/22/2022,22,0.07, ,0.00, ,305, ,7.4, ,62.3, ,31.7, ,44.5, ,100, ,41, ,74, ,36.9, ,3.3, ,79.4, ,53.0, 
15,1/23/2022,23,0.07, ,0, ,314, ,7.8, ,65.6, ,27.8, ,46.1, ,99, ,42, ,74, ,38.2, ,2.8, ,66.4, ,52.5, 
15,1/24/2022,24,0.08, ,0, ,311, ,7.9, ,65.0, ,32.6, ,47.2, ,95, ,41, ,71, ,38.3, ,3.0, ,72.9, ,52.3, 
15,1/25/2022,25,0.08, ,0, ,308, ,7.7, ,62.8, ,33.3, ,46.3, ,94, ,45, ,72, ,37.8, ,3.2, ,76.8, ,52.2, 
15,1/26/2022,26,0.08, ,0, ,321, ,7.7, ,65.6, ,32.7, ,47.1, ,97, ,38, ,70, ,37.8, ,3.0, ,72.8, ,52.0, 
15,1/27/2022,27,0.08, ,0, ,318, ,7.8, ,67.4, ,33.3, ,48.0, ,92, ,35, ,68, ,38.0, ,2.9, ,69.2, ,51.9, 
15,1/28/2022,28,0.08, ,0, ,298, ,6.6, ,66.3, ,28.8, ,46.8, ,98, ,27, ,60, ,33.8, ,2.8, ,66.4, ,51.8, 
15,1/29/2022,29,0.07, ,0, ,256, ,7.4, ,62.0, ,34.0, ,45.7, ,86, ,47, ,71, ,36.8, ,3.4, ,80.8, ,51.7, 
15,1/30/2022,30,0.08, ,0, ,329, ,7.1, ,64.0, ,28.0, ,45.3, ,98, ,39, ,69, ,35.8, ,2.9, ,69.3, ,51.5, 
15,1/31/2022,31,0.04, ,0, ,167, ,7.8,H,57.4, ,32.4, ,45.7, ,92,H,55,H,75, ,38.2, ,2.9, ,70.0, ,51.4, 
