39,1/1/2022,1,0.05, ,0.00, ,262, ,8.1, ,55.3, ,32.2, ,41.3, ,100, ,60, ,92, ,39.1, ,2.8, ,67.1, ,48.8, 
39,1/2/2022,2,0.05, ,0.00, ,291,R,7.6, ,59.4, ,30.8, ,41.9, ,100, ,44, ,84, ,37.5, ,2.2, ,52.5, ,48.1, 
39,1/3/2022,3,0.05, ,0.00, ,267, ,7.9, ,58.2, ,30.5, ,42.2, ,100, ,52, ,87, ,38.6, ,1.9, ,45.3, ,47.7, 
39,1/4/2022,4,0.05, ,0, ,242, ,9.0, ,60.0, ,32.9, ,44.4, ,100, ,61, ,90, ,41.7, ,2.2, ,52.7, ,47.9, 
39,1/5/2022,5,0.04, ,0, ,181, ,11.2, ,60.3, ,40.6, ,48.7, ,100, ,79, ,96, ,47.5, ,2.3, ,56.2, ,49.9, 
39,1/6/2022,6,0.06, ,0.00, ,276, ,10.4, ,62.6, ,36.3, ,47.6, ,100, ,64, ,92, ,45.5, ,1.8, ,42.8, ,50.0, 
39,1/7/2022,7,0.02, ,0.00, ,139, ,11.0, ,57.2, ,35.2, ,46.7, ,100, ,94, ,100, ,47.2, ,2.1, ,49.2, ,50.1, 
39,1/8/2022,8,0.01, ,0, ,91, ,11.3, ,52.0, ,38.7, ,47.6, ,100, ,100, ,100, ,47.8, ,3.2, ,77.2, ,51.5, 
39,1/9/2022,9,0.05, ,0.01, ,263, ,9.5, ,62.3, ,33.1, ,43.9, ,100, ,66, ,97, ,43.1, ,1.9, ,44.4, ,50.3, 
39,1/10/2022,10,0.04, ,0.01, ,225, ,9.2, ,58.4, ,34.2, ,43.2, ,100, ,73, ,97, ,42.4, ,2.0, ,48.4, ,49.9, 
39,1/11/2022,11,0.04, ,0.01, ,232, ,9.2, ,60.5, ,34.0, ,43.1, ,100, ,68, ,97, ,42.3, ,1.8, ,43.8, ,49.6, 
39,1/12/2022,12,0.06, ,0.01, ,273, ,10.0, ,66.0, ,35.7, ,47.2, ,100, ,52, ,90, ,44.5, ,2.2, ,53.7, ,49.9, 
39,1/13/2022,13,0.04, ,0, ,180, ,11.3, ,63.4, ,41.3, ,48.4, ,100, ,76, ,98, ,47.8, ,2.0, ,48.7, ,50.8, 
39,1/14/2022,14,0.02, ,0.01, ,141, ,9.5, ,53.4, ,34.9, ,42.8, ,100, ,100, ,100, ,43.3, ,2.7, ,64.2, ,50.3, 
39,1/15/2022,15,0.02, ,0.01, ,118, ,10.2, ,52.6, ,39.5, ,44.8, ,100, ,100, ,100, ,45.0, ,2.8, ,67.4, ,50.4, 
39,1/16/2022,16,0.04, ,0, ,193, ,10.9, ,62.9, ,41.2, ,48.5, ,100, ,61, ,94, ,46.7, ,2.1, ,50.7, ,51.0, 
39,1/17/2022,17,0.06, ,0, ,258, ,11.0, ,65.9, ,37.0, ,50.0, ,100, ,58, ,90, ,47.2, ,2.0, ,49.1, ,51.3, 
39,1/18/2022,18,0.06, ,0, ,268, ,12.2, ,65.3, ,43.0, ,53.2, ,100, ,58, ,88, ,49.7, ,1.8, ,42.7, ,52.8, 
39,1/19/2022,19,0.06, ,0.00, ,277, ,10.7, ,64.6, ,38.0, ,48.7, ,100, ,58, ,91, ,46.3, ,1.5, ,34.9, ,52.3, 
39,1/20/2022,20,0.07, ,0, ,291, ,10.7, ,64.4, ,36.2, ,48.3, ,100, ,63, ,92, ,46.2, ,1.8, ,44.3, ,51.7, 
39,1/21/2022,21,0.02, ,0.00, ,142, ,9.5, ,55.3, ,34.8, ,42.8, ,100, ,100, ,100, ,43.3, ,2.4, ,56.9, ,51.0, 
39,1/22/2022,22,0.06, ,0.01, ,312, ,10.2, ,64.7, ,34.7, ,46.3, ,100, ,62, ,95, ,45.0, ,2.5, ,60.4, ,50.2, 
39,1/23/2022,23,0.07, ,0, ,332,R,9.7, ,65.2, ,32.4, ,46.5, ,100, ,60, ,91, ,43.9, ,2.0, ,47.1, ,50.0, 
39,1/24/2022,24,0.07, ,0, ,328, ,9.8, ,64.2, ,32.2, ,46.4, ,100, ,61, ,91, ,43.9, ,2.1, ,50.8, ,49.7, 
39,1/25/2022,25,0.07, ,0.00, ,322, ,10.1, ,63.3, ,33.3, ,46.2, ,100, ,68, ,95, ,44.8, ,2.0, ,48.2, ,49.7, 
39,1/26/2022,26,0.08, ,0, ,338,R,9.3, ,66.5, ,33.1, ,47.6, ,100, ,43, ,83, ,42.7, ,2.2, ,52.0, ,49.7, 
39,1/27/2022,27,0.07, ,0, ,337,R,9.0, ,66.5, ,32.5, ,47.2, ,100, ,20, ,82, ,41.9, ,1.9, ,45.9, ,49.7, 
39,1/28/2022,28,0.08,H,0, ,292, ,2.6,Y,67.4, ,33.0, ,47.5, ,100,H,0,H,24,Y,12.2,Y,2.6, ,62.1, ,49.6, 
39,1/29/2022,29,0.06, ,0, ,221, ,1.3,R,60.9, ,34.3, ,44.7, ,75, ,0, ,--,R,--,I,1.9, ,46.3, ,49.2, 
39,1/30/2022,30,0.07, ,0, ,344, ,1.5,R,63.4, ,30.9, ,45.7, ,87, ,0, ,--,R,--,I,2.3, ,54.0, ,48.8, 
39,1/31/2022,31,0.07, ,0, ,214, ,0.1,R,57.5, ,32.4, ,44.9, ,15,H,0,H,--,R,--,I,1.8, ,43.2, ,48.8, 
