99,1/1/2022,1,0.09, ,0.00, ,305, ,6.0, ,61.9, ,48.5, ,53.5, ,51, ,28, ,43, ,31.4, ,4.1, ,97.7, ,49.9, 
99,1/2/2022,2,0.08, ,0, ,313, ,4.3, ,66.2, ,45.3, ,53.6, ,56, ,18, ,31, ,23.7, ,2.8, ,66.7, ,49.1, 
99,1/3/2022,3,0.07, ,0, ,315, ,6.4, ,59.9, ,42.8, ,51.4, ,82, ,34, ,50, ,33.2, ,2.8, ,66.5, ,48.6, 
99,1/4/2022,4,0.07, ,0, ,303, ,8.4, ,61.5, ,42.6, ,50.9, ,93, ,45, ,66, ,40.1, ,2.9, ,68.5, ,48.6,Y
99,1/5/2022,5,0.08, ,0, ,287, ,9.4, ,66.2, ,45.6, ,55.2, ,95, ,35, ,63, ,43.0, ,3.0, ,72.5, ,49.2, 
99,1/6/2022,6,0.08, ,0, ,310, ,10.2, ,68.5, ,47.7, ,56.5, ,95, ,44, ,65, ,45.1, ,2.9, ,68.9, ,49.8, 
99,1/7/2022,7,0.01, ,0.00, ,108, ,11.9, ,56.6, ,44.7, ,51.7, ,95, ,82, ,91, ,49.2, ,2.5, ,59.9, ,50.3, 
99,1/8/2022,8,0.07, ,0.00, ,277, ,11.4, ,61.8, ,48.3, ,54.3, ,95, ,61, ,79, ,48.0, ,3.2, ,77.7, ,51.2, 
99,1/9/2022,9,0.09, ,0, ,325,R,7.7, ,76.2, ,47.8, ,60.0, ,92, ,17, ,43, ,37.8, ,3.4, ,82.3, ,51.0, 
99,1/10/2022,10,0.15, ,0, ,246, ,4.1, ,72.1, ,59.8, ,65.1, ,23, ,16, ,19, ,22.4, ,5.5, ,131.6, ,51.2, 
99,1/11/2022,11,0.13, ,0, ,336,R,3.4, ,79.2, ,57.9, ,67.7, ,19, ,12, ,15, ,18.1, ,5.0, ,119.8, ,51.2, 
99,1/12/2022,12,0.12, ,0, ,240, ,4.5, ,81.9, ,58.0, ,66.5, ,27, ,14, ,20, ,24.3, ,3.4, ,82.4, ,51.4, 
99,1/13/2022,13,0.06, ,0, ,96, ,7.1, ,70.9, ,58.1, ,62.4, ,55, ,21, ,37, ,35.9, ,2.5, ,60.5, ,52.0, 
99,1/14/2022,14,0.09, ,0, ,307, ,7.6, ,74.3, ,53.6, ,61.3, ,56, ,29, ,41, ,37.6, ,2.9, ,70.2, ,52.5, 
99,1/15/2022,15,0.06, ,0.01, ,88, ,8.0, ,70.1, ,57.1, ,63.1, ,91, ,23, ,41, ,38.9, ,3.4, ,81.6, ,52.7, 
99,1/16/2022,16,0.10, ,0.01, ,273, ,6.7, ,74.0, ,58.3, ,65.4, ,62, ,20, ,32, ,34.4, ,3.3, ,78.5, ,53.3, 
99,1/17/2022,17,0.03, ,0.06, ,144, ,13.8, ,64.2, ,56.9, ,59.3, ,95, ,59, ,80, ,53.1, ,2.9, ,68.9, ,54.2, 
99,1/18/2022,18,0.07, ,0, ,288, ,14.4, ,63.8, ,53.9, ,58.1, ,95, ,67, ,87, ,54.4, ,3.2, ,77.4, ,54.9, 
99,1/19/2022,19,0.05, ,0, ,205, ,13.1, ,62.2, ,51.3, ,55.6, ,95, ,72, ,87, ,51.8, ,3.0, ,72.3, ,55.0, 
99,1/20/2022,20,0.10, ,0, ,346, ,8.5, ,73.7, ,49.7, ,60.6, ,86, ,21, ,47, ,40.2, ,3.5, ,83.2, ,54.1, 
99,1/21/2022,21,0.11, ,0, ,334, ,6.9, ,70.3, ,49.1, ,60.6, ,72, ,15, ,38, ,34.9, ,4.9, ,116.6, ,53.5, 
99,1/22/2022,22,0.17, ,0, ,352,R,3.4, ,70.5, ,59.6, ,64.8, ,19, ,14, ,16, ,18.2, ,7.8,R,187.8,R,53.0, 
99,1/23/2022,23,0.13, ,0, ,353, ,5.0, ,73.0, ,58.3, ,65.0, ,51, ,16, ,24, ,27.2, ,4.5, ,107.7, ,52.6, 
99,1/24/2022,24,0.10, ,0, ,355, ,7.6, ,68.9, ,50.7, ,58.6, ,85, ,18, ,45, ,37.4, ,3.1, ,75.5, ,52.5, 
99,1/25/2022,25,0.08, ,0, ,351, ,9.3, ,64.8, ,45.4, ,54.0, ,83, ,44, ,66, ,42.7, ,3.4, ,82.3, ,52.4, 
99,1/26/2022,26,0.11, ,0, ,332, ,5.7, ,70.3, ,47.0, ,57.9, ,63, ,18, ,35, ,30.2, ,3.4, ,82.4, ,52.2, 
99,1/27/2022,27,0.10, ,0, ,376,R,5.2, ,69.4, ,49.7, ,58.3, ,78, ,15, ,31, ,28.1, ,3.3, ,78.8, ,51.9, 
99,1/28/2022,28,0.12, ,0, ,316, ,2.6,Y,74.4, ,53.9, ,62.5, ,22, ,9, ,14,Y,12.0,Y,3.7, ,89.6, ,51.7, 
99,1/29/2022,29,0.10, ,0, ,148, ,2.7,Y,70.6, ,53.9, ,61.4, ,21, ,12, ,15,Y,12.9,Y,3.3, ,79.0, ,51.6, 
99,1/30/2022,30,0.10, ,0, ,382,R,7.1, ,70.1, ,48.7, ,56.6, ,76, ,14, ,45, ,35.6, ,3.5, ,83.4, ,51.3, 
99,1/31/2022,31,0.06, ,0, ,221, ,9.4, ,64.0, ,47.1, ,53.9, ,89, ,44, ,66, ,43.0, ,2.8, ,67.6, ,51.3, 
