78,1/1/2022,1,0.06, ,0.00, ,306, ,8.4, ,61.7, ,39.7, ,49.1, ,98, ,45, ,71, ,40.1, ,2.4, ,58.3, ,51.7, 
78,1/2/2022,2,0.07, ,0, ,322,R,--,S,63.8, ,37.5, ,49.4, ,63,H,19,H,--,Q,--,Q,3.4, ,80.9, ,51.1, 
78,1/3/2022,3,0.02, ,0, ,322,R,--,S,63.9, ,34.0, ,47.5, ,81,H,28,H,--,Q,--,Q,3.1, ,73.7, ,50.2, 
78,1/4/2022,4,0.07, ,0, ,305, ,7.4, ,64.6, ,35.1, ,47.7, ,95, ,36, ,65, ,36.7, ,2.6, ,62.5, ,49.8, 
78,1/5/2022,5,0.07, ,0, ,308, ,7.9, ,73.6, ,41.9, ,53.3, ,83, ,24, ,57, ,38.3, ,2.9, ,70.3, ,50.1, 
78,1/6/2022,6,0.08, ,0, ,316, ,9.1, ,76.9, ,43.7, ,58.1, ,91, ,29, ,55, ,42.0, ,2.8, ,67.7, ,51.0, 
78,1/7/2022,7,0.06, ,0, ,302, ,10.7, ,60.9, ,40.8, ,51.4, ,95, ,65, ,83, ,46.3, ,3.4, ,82.3, ,51.6, 
78,1/8/2022,8,0.06, ,0, ,261, ,10.5, ,63.3, ,42.6, ,53.0, ,97, ,52, ,77, ,45.9, ,2.1, ,51.6, ,52.5, 
78,1/9/2022,9,0.09, ,0.00, ,334,R,6.8, ,73.5, ,38.8, ,55.1, ,97, ,15, ,46, ,34.7, ,3.7, ,89.9, ,52.4, 
78,1/10/2022,10,0.08, ,0, ,202, ,5.7, ,71.8, ,44.4, ,56.7, ,60, ,19, ,36, ,30.3, ,3.0, ,72.2, ,52.0, 
78,1/11/2022,11,0.09, ,0, ,340,R,5.3, ,77.9, ,39.4, ,57.3, ,63, ,14, ,33, ,28.3, ,2.6, ,61.3, ,51.8, 
78,1/12/2022,12,0.08, ,0, ,233, ,6.2, ,77.1, ,41.4, ,55.9, ,61, ,19, ,41, ,32.5, ,2.3, ,54.7, ,51.7, 
78,1/13/2022,13,0.06, ,0, ,136, ,7.7, ,70.3, ,49.4, ,59.5, ,64, ,26, ,44, ,37.8, ,2.6, ,61.8, ,52.2, 
78,1/14/2022,14,0.09, ,0, ,303, ,7.9, ,75.2, ,45.6, ,59.0, ,70, ,23, ,46, ,38.4, ,2.8, ,66.9, ,53.2, 
78,1/15/2022,15,0.04, ,0, ,108, ,8.6, ,65.7, ,48.0, ,59.4, ,73, ,30, ,50, ,40.8, ,2.9, ,69.5, ,53.5, 
78,1/16/2022,16,0.10, ,0, ,270, ,7.3, ,74.5, ,54.4,Y,62.7, ,57, ,22, ,37, ,36.3, ,3.1, ,73.5, ,54.1, 
78,1/17/2022,17,0.02, ,0.13, ,122, ,12.7, ,61.6, ,51.6, ,56.8, ,96, ,61, ,80, ,50.9, ,2.0, ,48.9, ,55.0, 
78,1/18/2022,18,0.03, ,0.00, ,161, ,13.5, ,62.9, ,53.0, ,57.1, ,97, ,67, ,85, ,52.5, ,3.0, ,72.8, ,55.6, 
78,1/19/2022,19,0.06, ,0, ,257, ,12.3, ,63.5, ,45.2, ,54.4, ,99, ,63, ,86, ,50.1, ,2.2, ,52.2, ,55.9, 
78,1/20/2022,20,0.09, ,0.00, ,350,R,8.3, ,74.4, ,40.5, ,56.1, ,97, ,24, ,54, ,39.7, ,2.7, ,65.6, ,55.3, 
78,1/21/2022,21,0.11, ,0, ,346, ,5.9, ,71.2, ,44.2, ,58.9, ,71, ,16, ,35, ,31.3, ,4.4,Y,105.1,Y,54.7, 
78,1/22/2022,22,0.13, ,0, ,355,R,4.6, ,70.2, ,43.8, ,58.8, ,57, ,18, ,27, ,25.2, ,5.6,R,134.9,R,54.4, 
78,1/23/2022,23,0.10, ,0, ,357,R,5.9, ,72.4, ,39.8, ,55.5, ,62, ,22, ,39, ,31.2, ,2.9, ,70.3, ,53.8, 
78,1/24/2022,24,0.10, ,0, ,360,R,7.1, ,70.3, ,43.1, ,55.5, ,84, ,27, ,47, ,35.7, ,3.6, ,86.9, ,53.5, 
78,1/25/2022,25,0.09, ,0, ,351, ,8.2, ,67.5, ,39.4, ,52.3, ,94, ,34, ,61, ,39.4, ,3.0, ,71.3, ,53.2, 
78,1/26/2022,26,0.10, ,0.00, ,358, ,5.8, ,69.9, ,35.7, ,51.7, ,97, ,12, ,44, ,30.6, ,2.8, ,66.6, ,52.7, 
78,1/27/2022,27,0.10, ,0, ,378,R,5.0, ,70.3, ,36.3, ,53.0, ,66, ,18, ,36, ,27.0, ,3.1, ,73.6, ,52.0, 
78,1/28/2022,28,0.14, ,0, ,317, ,3.2, ,70.7, ,37.7, ,56.0, ,67, ,9, ,21, ,16.4, ,5.1,Y,122.0,Y,51.6, 
78,1/29/2022,29,0.06, ,0, ,151, ,4.5, ,67.2, ,40.8, ,52.8, ,63, ,21, ,33, ,24.3, ,2.9, ,70.8, ,51.3, 
78,1/30/2022,30,0.10, ,0, ,385,R,6.6, ,72.1, ,38.0, ,53.3, ,82, ,21, ,48, ,34.0, ,3.7, ,89.4, ,51.1, 
78,1/31/2022,31,0.06, ,0, ,226, ,8.1, ,65.8, ,38.3, ,51.8, ,90, ,27, ,61, ,38.9, ,2.7, ,65.4, ,51.3, 
