211,1/1/2022,1,0.05, ,0, ,269, ,6.8, ,54.2, ,31.3, ,41.2, ,99, ,49, ,77, ,34.5, ,3.1, ,73.4, ,49.4,H
211,1/2/2022,2,0.05, ,0, ,275, ,6.8, ,59.7, ,28.0, ,40.7, ,100, ,42, ,79, ,34.8, ,2.4, ,56.6, ,48.1,H
211,1/3/2022,3,0.03, ,0, ,150, ,9.5, ,54.9, ,36.2, ,46.3, ,98, ,72, ,89, ,43.3, ,2.9, ,69.1, ,50.7,H
211,1/4/2022,4,0.04, ,0, ,174, ,12.5, ,62.7, ,46.9, ,52.6, ,100, ,71, ,93, ,50.5, ,2.7, ,64.4, ,53.7,H
211,1/5/2022,5,0.05, ,0, ,219, ,12.7, ,64.6, ,46.3, ,54.8, ,100, ,69, ,87, ,50.9, ,4.3, ,103.1, ,59.1,Y
211,1/6/2022,6,0.06, ,0, ,251, ,13.3, ,65.3, ,52.7,Y,57.1, ,96, ,66, ,84, ,52.2, ,5.3, ,128.3, ,56.1, 
211,1/7/2022,7,0.02, ,0.02, ,105, ,12.2, ,56.4, ,43.7, ,51.8, ,100, ,79, ,93, ,49.9, ,3.4, ,81.7, ,--,S
211,1/8/2022,8,0.05, ,0, ,241, ,10.1, ,59.5, ,40.8, ,49.1, ,100, ,65, ,85, ,44.8, ,3.1, ,75.3, ,--,S
211,1/9/2022,9,0.06, ,0, ,281, ,9.2, ,66.6, ,34.3, ,49.1, ,100, ,48, ,78, ,42.4, ,2.6, ,63.2, ,54.7,H
211,1/10/2022,10,0.07, ,0, ,272, ,9.5, ,68.6, ,39.1, ,51.0, ,100, ,38, ,75, ,43.2, ,3.5, ,83.7, ,59.1,Y
211,1/11/2022,11,0.07, ,0, ,278, ,8.5, ,67.8, ,35.6, ,49.5, ,99, ,35, ,70, ,40.3, ,3.4, ,81.2, ,56.6,H
211,1/12/2022,12,0.06, ,0, ,265, ,9.3, ,68.6, ,36.0, ,50.4, ,97, ,42, ,75, ,42.8, ,2.7, ,63.8, ,54.8, 
211,1/13/2022,13,0.05, ,0, ,178, ,10.5, ,64.5, ,42.8, ,51.4, ,95, ,57, ,81, ,45.8, ,4.7, ,113.3, ,55.1, 
211,1/14/2022,14,0.05, ,0.00, ,211, ,9.7, ,64.4, ,40.0, ,49.5, ,100, ,49, ,81, ,43.9, ,3.1, ,74.7, ,--,S
211,1/15/2022,15,0.04, ,0, ,162, ,9.3, ,60.9, ,37.2, ,48.7, ,97, ,55, ,79, ,42.6, ,2.5, ,59.1, ,57.0,H
211,1/16/2022,16,0.07, ,0.01, ,227, ,10.6, ,68.5, ,45.4, ,56.1, ,96, ,39, ,69, ,46.1, ,3.2, ,76.9, ,53.9, 
211,1/17/2022,17,0.05, ,0, ,179, ,11.0, ,64.1, ,41.7, ,52.8, ,98, ,53, ,80, ,47.0, ,2.9, ,70.5, ,--,S
211,1/18/2022,18,0.06, ,0, ,242, ,10.3, ,60.6, ,39.2, ,49.2, ,100, ,65, ,86, ,45.4, ,3.4, ,80.5, ,59.5,Y
211,1/19/2022,19,0.05, ,0, ,77, ,9.4, ,63.4, ,40.7, ,51.1, ,100, ,52, ,73, ,42.9, ,3.1, ,74.6, ,54.8,H
211,1/20/2022,20,0.07, ,0, ,300, ,9.2, ,68.0, ,33.8, ,49.2, ,100, ,46, ,77, ,42.4, ,2.8, ,67.9, ,56.3,H
211,1/21/2022,21,0.09, ,0, ,278, ,7.3, ,68.2, ,35.8, ,49.7, ,100, ,25, ,60, ,36.3, ,4.1, ,97.7, ,55.3,H
211,1/22/2022,22,0.08, ,0, ,315, ,6.5, ,66.1, ,32.0, ,46.6, ,84, ,31, ,60, ,33.5, ,3.0, ,72.1, ,51.2, 
211,1/23/2022,23,0.08, ,0, ,323,R,6.9, ,68.7, ,29.8, ,46.2, ,95, ,32, ,65, ,35.0, ,2.5, ,60.1, ,51.3, 
211,1/24/2022,24,0.08, ,0, ,321, ,7.4, ,68.2, ,29.6, ,46.4, ,95, ,32, ,68, ,36.6, ,2.5, ,59.3, ,51.1, 
211,1/25/2022,25,0.07, ,0, ,287, ,7.7, ,64.4, ,31.3, ,45.7, ,95, ,42, ,74, ,37.9, ,3.1, ,75.0, ,51.7, 
211,1/26/2022,26,0.08, ,0, ,330,R,7.2, ,69.3, ,29.9, ,47.4, ,94, ,27, ,64, ,36.1, ,2.4, ,57.8, ,51.7, 
211,1/27/2022,27,0.09, ,0, ,335,R,6.8, ,71.2, ,30.7, ,47.9, ,93, ,29, ,60, ,34.7, ,2.8, ,67.6, ,51.5, 
211,1/28/2022,28,0.08, ,0, ,318, ,7.0, ,70.7, ,31.0, ,47.9, ,90, ,29, ,62, ,35.4, ,2.5, ,60.3, ,51.3, 
211,1/29/2022,29,0.08, ,0,H,296,H,6.7,H,67.2, ,31.5, ,47.0,H,88,H,26,H,61, ,34.3, ,3.6,H,85.7,H,51.3,H
211,1/30/2022,30,0.08, ,0,H,359,R,6.5,H,67.4, ,28.9, ,46.4,H,90,H,25,H,61, ,33.5, ,3.1,H,74.9,H,50.7,H
211,1/31/2022,31,0.06, ,0,H,285,H,9.3,H,59.5, ,35.1, ,49.1,H,100,H,57,H,78, ,42.5, ,5.4,H,130.7,H,51.1,H
