221,1/1/2022,1,0.13, ,0, ,285, ,2.2, ,59.3, ,39.0, ,49.7, ,28, ,13, ,18, ,8.3, ,8.2,Y,196.3,Y,52.4, 
221,1/2/2022,2,0.07, ,0, ,292, ,2.2, ,55.8, ,28.5, ,41.9, ,40, ,15, ,24, ,8.3, ,2.8, ,66.0, ,50.9, 
221,1/3/2022,3,0.06, ,0, ,292, ,2.1, ,59.6, ,28.8, ,41.9, ,39, ,12, ,23, ,7.3, ,2.9, ,70.2, ,49.0, 
221,1/4/2022,4,0.08, ,0, ,284, ,3.0, ,63.2, ,29.8, ,45.7, ,38, ,19, ,28, ,14.8, ,3.6, ,86.0, ,48.2, 
221,1/5/2022,5,0.08, ,0, ,288, ,3.5, ,68.5, ,34.2, ,49.6, ,48, ,14, ,29, ,18.4, ,3.3, ,78.0, ,48.3, 
221,1/6/2022,6,0.09, ,0, ,285, ,4.4, ,73.5, ,39.3, ,54.2, ,43, ,19, ,31, ,24.1, ,3.3, ,78.4, ,49.7, 
221,1/7/2022,7,0.09, ,0, ,293, ,5.2, ,69.8, ,38.6, ,54.5, ,55, ,22, ,36, ,28.1, ,2.9, ,69.0, ,53.5, 
221,1/8/2022,8,0.10, ,0, ,293, ,5.3, ,73.0, ,42.5, ,57.1, ,56, ,18, ,33, ,28.4, ,3.9, ,93.0, ,54.3, 
221,1/9/2022,9,0.13, ,0, ,304, ,4.0, ,71.6, ,42.2, ,57.4, ,39, ,16, ,25, ,21.8, ,6.8, ,162.9, ,53.9, 
221,1/10/2022,10,0.09, ,0, ,233, ,3.4, ,67.2, ,40.4, ,52.9, ,36, ,15, ,25, ,18.1, ,4.5, ,108.5, ,53.4, 
221,1/11/2022,11,0.10, ,0, ,315, ,3.0, ,70.1, ,36.7, ,53.3, ,34, ,12, ,22, ,15.3, ,3.9, ,94.8, ,52.5, 
221,1/12/2022,12,0.10, ,0, ,276, ,2.8, ,72.4, ,39.0, ,52.9, ,27, ,12, ,21, ,13.9, ,3.7, ,88.0, ,51.8, 
221,1/13/2022,13,0.10, ,0, ,267, ,3.3, ,70.4, ,41.3, ,56.9, ,31, ,14, ,21, ,17.4, ,2.5, ,59.5, ,52.0, 
221,1/14/2022,14,0.14, ,0, ,307, ,3.8, ,76.8, ,47.7, ,62.6, ,30, ,12, ,19, ,20.5, ,6.2, ,149.8, ,53.0, 
221,1/15/2022,15,0.12, ,0, ,184, ,3.8, ,68.2, ,48.5, ,59.6, ,28, ,16, ,22, ,20.7, ,6.2, ,148.3, ,53.9, 
221,1/16/2022,16,0.10, ,0, ,291, ,3.2, ,69.7, ,39.1, ,54.2, ,34, ,13, ,22, ,16.4, ,3.4, ,81.7, ,53.2, 
221,1/17/2022,17,0.10, ,0, ,307, ,3.1, ,70.8, ,41.0, ,57.2, ,31, ,13, ,20, ,16.2, ,2.7, ,63.8, ,52.7, 
221,1/18/2022,18,0.10, ,0, ,282, ,6.2, ,72.4, ,51.5, ,61.0, ,53, ,18, ,34, ,32.2, ,4.0, ,96.7, ,53.7, 
221,1/19/2022,19,0.09, ,0, ,322, ,6.7, ,72.8, ,43.3, ,57.2, ,67, ,22, ,42, ,34.3, ,3.3, ,79.3, ,53.9, 
221,1/20/2022,20,0.11, ,0, ,334, ,4.5, ,70.7, ,46.8, ,57.4, ,46, ,15, ,28, ,24.5, ,4.8, ,114.7, ,53.5, 
221,1/21/2022,21,0.11, ,0.00, ,218, ,4.3, ,68.6, ,37.1, ,53.9, ,47, ,19, ,30, ,23.4, ,7.0, ,166.9, ,52.7, 
221,1/22/2022,22,0.17, ,0, ,209, ,4.0, ,68.8, ,53.8,Y,60.1, ,27, ,19, ,22, ,21.7, ,9.0, ,215.0, ,53.2, 
221,1/23/2022,23,0.13, ,0, ,336, ,3.6, ,73.4, ,44.9, ,58.8, ,30, ,13, ,21, ,19.2, ,5.8, ,138.5, ,53.3, 
221,1/24/2022,24,0.11, ,0, ,345, ,3.3, ,74.6, ,40.9, ,56.4, ,31, ,13, ,21, ,17.5, ,3.6, ,86.2, ,52.6, 
221,1/25/2022,25,0.16, ,0, ,349, ,3.1, ,73.9, ,39.2, ,57.1, ,36, ,10, ,20, ,16.2, ,8.4, ,200.6, ,52.3, 
221,1/26/2022,26,0.13, ,0, ,355, ,2.9, ,65.7, ,44.8, ,54.7, ,26, ,14, ,20, ,14.4, ,6.9, ,165.8, ,52.8, 
221,1/27/2022,27,0.14, ,0, ,363,R,2.2, ,70.7, ,33.3, ,53.9, ,31, ,7, ,15, ,7.7, ,7.0, ,169.0, ,51.6, 
221,1/28/2022,28,0.20, ,0, ,299, ,1.6, ,68.3, ,39.7, ,56.3, ,16, ,7, ,11, ,1.8, ,10.7,Y,257.4,Y,52.2, 
221,1/29/2022,29,0.08, ,0, ,195, ,1.7, ,61.6, ,34.9, ,50.1, ,22, ,10, ,14, ,2.8, ,2.9, ,70.6, ,51.3, 
221,1/30/2022,30,0.12, ,0, ,376,R,1.6, ,73.9, ,36.2, ,54.6, ,21, ,5, ,11, ,1.4, ,4.7, ,113.5, ,51.1, 
221,1/31/2022,31,0.09, ,0, ,283, ,1.9, ,65.6, ,36.9, ,52.5, ,18, ,9, ,14, ,4.5, ,3.1, ,73.4, ,50.8, 
