159,1/1/2022,1,--,N,0, ,280, ,8.7, ,61.3, ,42.8, ,50.3, ,95, ,46, ,70, ,40.8, ,2.6, ,63.4, ,55.1, 
159,1/2/2022,2,--,N,0, ,294, ,5.5, ,64.9, ,38.8, ,49.6, ,85, ,15, ,46, ,29.5, ,2.8, ,66.9, ,54.0, 
159,1/3/2022,3,--,N,0, ,294, ,5.7, ,64.7, ,37.6, ,49.1, ,79, ,20, ,48, ,30.2, ,2.8, ,67.6, ,52.9, 
159,1/4/2022,4,--,N,0, ,280, ,6.9, ,63.3, ,37.8, ,49.2, ,83, ,32, ,58, ,35.0, ,2.4, ,58.5, ,52.6, 
159,1/5/2022,5,--,N,0, ,284, ,7.5, ,72.4, ,41.4, ,54.3, ,84, ,23, ,52, ,37.2, ,2.6, ,62.5, ,53.3, 
159,1/6/2022,6,--,N,0, ,282, ,8.7, ,75.2, ,46.7, ,58.1, ,78, ,28, ,53, ,40.8, ,2.7, ,63.9, ,54.6, 
159,1/7/2022,7,--,N,0, ,268, ,10.3, ,59.4, ,43.2, ,51.4, ,85, ,69, ,79, ,45.3, ,2.8, ,67.9, ,55.2, 
159,1/8/2022,8,--,N,0, ,255, ,10.2, ,62.5, ,46.2, ,54.1, ,93, ,51, ,71, ,45.0, ,2.4, ,57.8, ,56.4, 
159,1/9/2022,9,--,N,0, ,303, ,6.1, ,75.0, ,41.5, ,56.3, ,94, ,12, ,40, ,32.0, ,3.0, ,72.3, ,55.9, 
159,1/10/2022,10,--,N,0, ,213, ,5.4, ,72.5, ,44.4, ,56.4, ,54, ,15, ,34, ,28.7, ,2.6, ,61.8, ,55.2, 
159,1/11/2022,11,--,N,0, ,308, ,5.0, ,77.1, ,44.2, ,58.8, ,49, ,13, ,30, ,27.1, ,2.9, ,70.2, ,55.1, 
159,1/12/2022,12,--,N,0, ,215, ,5.3, ,76.2, ,47.3, ,59.6, ,47, ,13, ,31, ,28.7, ,2.5, ,60.5, ,55.3, 
159,1/13/2022,13,--,N,0, ,106, ,6.7, ,69.7, ,53.5, ,60.8, ,47, ,28, ,37, ,34.4, ,2.2, ,53.7, ,56.0, 
159,1/14/2022,14,--,N,0, ,281, ,6.5, ,75.9, ,48.9, ,61.2, ,53, ,17, ,35, ,33.6, ,2.6, ,63.3, ,57.0, 
159,1/15/2022,15,--,N,0, ,108, ,7.5, ,67.7, ,53.9, ,60.3, ,61, ,31, ,42, ,37.0, ,2.3, ,54.2, ,57.1, 
159,1/16/2022,16,--,N,0, ,277, ,6.8, ,75.4, ,51.0, ,63.3, ,49, ,17, ,34, ,34.7, ,2.8, ,66.9, ,58.0, 
159,1/17/2022,17,--,N,0.33, ,101, ,13.5, ,60.6, ,53.7, ,57.0, ,100, ,51, ,85, ,52.6, ,2.1, ,49.9, ,58.9, 
159,1/18/2022,18,--,N,0.00, ,74, ,14.0,Y,60.8, ,53.5, ,57.0, ,100, ,73, ,88,Y,53.6,Y,1.9, ,45.2, ,59.5, 
159,1/19/2022,19,--,N,0, ,214, ,12.0, ,64.3, ,47.9, ,54.4, ,100, ,59, ,83, ,49.3, ,2.3, ,55.0, ,59.3, 
159,1/20/2022,20,--,N,0, ,319, ,7.9, ,75.7, ,45.4, ,58.5, ,93, ,21, ,47, ,38.5, ,2.9, ,69.4, ,58.7, 
159,1/21/2022,21,--,N,0, ,317, ,5.4, ,72.3, ,44.1, ,59.7, ,70, ,12, ,31, ,29.0, ,6.1,R,145.8,R,58.1, 
159,1/22/2022,22,--,N,0, ,326, ,3.4, ,71.9, ,52.8, ,63.3, ,29, ,14, ,17, ,18.1, ,7.3,R,175.3,R,57.6, 
159,1/23/2022,23,--,N,0, ,327, ,5.1, ,74.4, ,47.3, ,60.2, ,49, ,16, ,28, ,27.4, ,3.2, ,77.6, ,57.3, 
159,1/24/2022,24,--,N,0, ,329, ,6.5, ,71.7, ,43.8, ,56.7, ,71, ,22, ,41, ,33.6, ,2.9, ,70.5, ,57.1, 
159,1/25/2022,25,--,N,0, ,326, ,8.0, ,69.0, ,41.6, ,53.9, ,85, ,29, ,56, ,38.6, ,2.9, ,68.4, ,57.0, 
159,1/26/2022,26,--,N,0, ,331, ,5.2, ,72.0, ,41.7, ,54.5, ,81, ,11, ,36, ,28.2, ,2.7, ,64.4, ,56.8, 
159,1/27/2022,27,--,N,0, ,349, ,4.0, ,73.4, ,40.4, ,55.3, ,49, ,10, ,27, ,21.6, ,2.8, ,66.2, ,56.2, 
159,1/28/2022,28,--,N,0, ,298, ,3.4, ,73.2, ,44.2, ,56.3, ,46, ,7, ,22, ,18.0, ,3.0, ,72.5, ,56.0, 
159,1/29/2022,29,--,N,0, ,140, ,4.4, ,70.5, ,43.9, ,54.1, ,40, ,15, ,31, ,23.8, ,2.4, ,57.5, ,55.4, 
159,1/30/2022,30,--,N,0, ,352, ,6.3, ,72.2, ,40.9, ,55.1, ,72, ,18, ,43, ,32.9, ,3.1, ,73.7, ,55.5, 
159,1/31/2022,31,--,N,0, ,214, ,7.2, ,64.8, ,42.6, ,52.7, ,77, ,33, ,53, ,36.2, ,2.3, ,56.1, ,55.9, 
