247,9/1/2022,244,0.25, ,0, ,592, ,18.2,Y,96.9, ,64.6, ,78.1, ,95, ,29, ,55,Y,60.8,Y,7.9, ,190.2, ,72.0, 
247,9/2/2022,245,0.26, ,0, ,593, ,19.7,Y,91.8, ,59.3, ,77.3, ,100, ,37, ,62,Y,63.1,Y,10.9, ,262.0, ,72.3, 
247,9/3/2022,246,0.28, ,0, ,582, ,18.7,Y,92.1, ,63.4, ,80.8, ,82, ,34, ,52,Y,61.5,Y,9.5, ,229.0, ,72.2, 
247,9/4/2022,247,0.24,R,0, ,572, ,21.5,R,100.9, ,70.7,Y,83.8,Y,89, ,27, ,--,R,--,I,5.5, ,131.6, ,72.4, 
247,9/5/2022,248,0.25,R,0, ,554, ,20.2,R,113.2,R,64.2, ,87.4,Y,97,H,26,H,--,R,--,I,4.7, ,112.7, ,73.2, 
247,9/6/2022,249,0.26,R,0, ,555, ,18.4,Y,114.7,R,66.0, ,86.8,Y,95,H,22,H,42,Y,61.1,Y,5.0, ,119.4, ,74.3, 
247,9/7/2022,250,0.28, ,0, ,548, ,17.6, ,96.4, ,71.8,Y,82.6,Y,75, ,28, ,46,Y,59.9,Y,9.0, ,217.0, ,74.5, 
247,9/8/2022,251,0.27,R,0, ,542, ,17.6, ,102.4, ,75.1,R,87.0,Y,64,H,30,H,40,Y,59.9,Y,6.9, ,166.8, ,74.6, 
247,9/9/2022,252,0.26, ,0, ,542, ,18.5,Y,97.5, ,70.1,Y,82.1,Y,67, ,31, ,49,Y,61.2,Y,9.3, ,222.3, ,75.0, 
247,9/10/2022,253,0.14, ,0, ,336, ,20.8,R,77.4, ,65.2, ,71.3, ,97, ,68, ,--,R,--,I,12.6, ,303.0, ,74.3, 
247,9/11/2022,254,0.16, ,0, ,339, ,18.8,Y,85.1, ,63.9, ,74.9, ,93, ,40, ,64,Y,61.7,Y,7.5, ,180.8, ,73.7, 
247,9/12/2022,255,0.20, ,0, ,411, ,17.5, ,86.8, ,67.5,Y,75.8, ,74, ,40, ,57, ,59.8, ,8.9, ,213.3, ,73.6, 
247,9/13/2022,256,0.20, ,0, ,543, ,15.7, ,77.1, ,58.9, ,67.4, ,90, ,51, ,68, ,56.7, ,9.3, ,222.8, ,73.0, 
247,9/14/2022,257,0.19, ,0, ,523, ,15.6, ,76.4, ,61.1, ,67.3, ,89, ,50, ,68, ,56.5, ,9.6, ,230.8, ,72.3, 
247,9/15/2022,258,0.17, ,0, ,510, ,15.8, ,75.2, ,51.0, ,65.1, ,98, ,53, ,75, ,56.8, ,7.0, ,167.3, ,71.8, 
247,9/16/2022,259,0.17, ,0, ,518, ,15.2, ,82.0, ,47.5, ,64.7, ,100, ,41, ,73, ,55.8, ,4.1, ,97.8, ,71.1, 
247,9/17/2022,260,0.17, ,0, ,496, ,14.2, ,77.9, ,--,S,63.2, ,100, ,47, ,72, ,53.9, ,6.7, ,160.5, ,70.9, 
247,9/18/2022,261,0.08, ,0.14,H,265, ,18.0,Y,73.7, ,58.7, ,63.9, ,100, ,65, ,89,Y,60.5,Y,8.0, ,191.3, ,70.4, 
247,9/19/2022,262,0.08, ,0.56,H,298, ,19.4,Y,78.0, ,57.2, ,64.8, ,100, ,64, ,93,Y,62.6,Y,4.1, ,97.5, ,70.7, 
247,9/20/2022,263,0.13, ,0, ,436, ,18.2,Y,79.6, ,60.0, ,67.3, ,100, ,50, ,80,Y,60.8,Y,5.2, ,124.6, ,71.6, 
247,9/21/2022,264,0.14, ,0.03, ,400, ,16.7, ,79.0, ,48.0, ,67.6, ,95, ,43, ,72, ,58.4, ,7.6, ,183.0, ,72.4, 
247,9/22/2022,265,0.18, ,0, ,505, ,16.9, ,84.5, ,43.8,Y,70.0, ,99, ,36, ,67, ,58.7, ,6.7, ,161.8, ,72.6, 
247,9/23/2022,266,0.18, ,0, ,506, ,17.2, ,89.9, ,37.8,R,71.7, ,100, ,35, ,65, ,59.3, ,4.5, ,107.5, ,72.8, 
247,9/24/2022,267,0.17, ,0, ,503, ,16.4, ,95.8, ,--,S,72.6, ,100, ,24, ,60, ,57.8, ,3.8, ,90.8, ,72.5, 
247,9/25/2022,268,0.18, ,0, ,484, ,19.6,Y,83.3, ,47.4, ,71.2, ,100, ,48, ,75,Y,63.0,Y,11.3, ,271.8, ,72.8, 
247,9/26/2022,269,0.17, ,0, ,483, ,19.1,Y,80.2, ,41.1,Y,68.1, ,100, ,53, ,81,Y,62.1,Y,12.1, ,291.2, ,72.4, 
247,9/27/2022,270,0.16, ,0, ,493, ,17.6,Y,77.3, ,44.0, ,66.1, ,100, ,53, ,80,Y,59.9,Y,12.2, ,293.2, ,71.7, 
247,9/28/2022,271,0.19, ,0, ,487, ,18.4,Y,83.8, ,60.6, ,70.8, ,95, ,42, ,71,Y,61.1,Y,10.2, ,244.0, ,71.2, 
247,9/29/2022,272,0.16, ,0, ,478, ,20.0,R,89.3, ,60.6, ,73.7, ,100, ,37, ,--,R,--,I,6.8, ,163.3, ,71.4, 
247,9/30/2022,273,0.19, ,0, ,478, ,17.2,Y,94.9, ,45.1, ,75.9, ,100, ,27, ,56,Y,59.2,Y,6.5, ,156.4, ,71.5, 
