78,9/1/2022,244,0.26, ,0.11,H,620, ,17.5, ,99.7, ,71.3,Y,84.6, ,68, ,28, ,43, ,59.8, ,4.0, ,95.8, ,72.8, 
78,9/2/2022,245,0.21, ,0.41, ,507, ,20.0, ,99.8, ,70.5, ,83.9, ,77, ,32, ,50, ,63.4, ,3.7, ,89.9, ,73.3, 
78,9/3/2022,246,0.26, ,0.02, ,590, ,20.6, ,101.8, ,72.5,Y,86.9,Y,74, ,31, ,47,Y,64.3,Y,4.4, ,106.6, ,74.0, 
78,9/4/2022,247,0.24, ,0, ,532, ,20.6, ,104.2, ,73.0,Y,86.5,Y,70, ,29, ,48,Y,64.3,Y,4.3, ,102.4, ,74.6, 
78,9/5/2022,248,0.24, ,0, ,583, ,22.8, ,101.5, ,71.6,Y,86.5,Y,85, ,33, ,53,Y,67.2,Y,3.7, ,88.2, ,75.1, 
78,9/6/2022,249,0.24, ,0, ,581, ,21.8, ,99.8, ,69.5, ,84.2, ,84, ,30, ,54, ,66.0, ,3.9, ,93.2, ,75.5, 
78,9/7/2022,250,0.23, ,0, ,560, ,21.0, ,101.5, ,70.1, ,85.4,Y,87, ,29, ,50,Y,64.9,Y,3.2, ,76.2, ,75.7, 
78,9/8/2022,251,0.18, ,0.02, ,384, ,20, ,97.4, ,71.3,Y,83.6, ,78, ,31, ,51, ,63.5, ,3.6, ,85.7, ,75.7, 
78,9/9/2022,252,0.09,R,0.15, ,186, ,21.2, ,92.8, ,70.6,Y,82.8,H,96,H,37,H,55, ,65.2, ,5.0,Y,119.6,Y,75.5, 
78,9/10/2022,253,0.04, ,0.04, ,165, ,24.2,Y,80.4, ,69.4, ,74.1, ,97, ,69, ,84,Y,69.0,Y,3.9, ,94.2, ,75.3, 
78,9/11/2022,254,0.19, ,0.25, ,530, ,23.9,Y,90.3, ,70.8,Y,78.0, ,94, ,48, ,73,Y,68.7,Y,4.0, ,96.1, ,75.1, 
78,9/12/2022,255,0.16, ,0, ,469, ,22.8,Y,86.4, ,68.9,Y,76.2, ,95, ,55, ,74,Y,67.3,Y,3.5, ,82.9, ,75.3, 
78,9/13/2022,256,0.16, ,0.04, ,457, ,20.1, ,84.4, ,65.8, ,74.0, ,87, ,53, ,70, ,63.6, ,3.9, ,94.5, ,74.9, 
78,9/14/2022,257,0.19, ,0.00, ,569, ,19.2, ,82.7, ,63.8, ,71.3, ,94, ,50, ,73, ,62.3, ,4.3, ,102.8, ,74.1, 
78,9/15/2022,258,0.18, ,0.03, ,528, ,17.7, ,81.7, ,62.0, ,71.0, ,90, ,46, ,68, ,60.1, ,4.3, ,103.5, ,73.7, 
78,9/16/2022,259,0.19,R,0.00, ,573, ,17.6, ,81.7, ,57.6, ,69.2, ,96, ,46, ,72, ,59.9, ,3.7, ,89.7, ,72.8, 
78,9/17/2022,260,0.14, ,0.05, ,445, ,17.0, ,79.7, ,58.4, ,67.5, ,96, ,50, ,74, ,58.8, ,3.4, ,81.0, ,72.2, 
78,9/18/2022,261,0.17, ,0, ,514, ,16.3, ,78.4, ,59.1, ,68.7, ,88, ,51, ,68, ,57.7, ,4.1, ,98.3, ,71.6, 
78,9/19/2022,262,0.18,R,0, ,570,R,15.9, ,82.0, ,55.2, ,67.6, ,94, ,40, ,69, ,57.1, ,3.3, ,78.3, ,71.2, 
78,9/20/2022,263,0.18, ,0.05, ,565,R,16.8, ,83.9, ,58.3, ,70.0, ,92, ,38, ,67, ,58.6, ,3.6, ,86.0, ,71.0, 
78,9/21/2022,264,0.19, ,0.01, ,571,R,14.6, ,82.2, ,55.5, ,67.9, ,96, ,32, ,63, ,54.7, ,3.4, ,82.3, ,70.6, 
78,9/22/2022,265,0.19, ,0.02, ,578,R,13.2, ,89.2, ,56.0, ,71.1, ,87, ,23, ,51, ,51.9, ,3.0, ,73.0, ,70.0, 
78,9/23/2022,266,0.21, ,0, ,535, ,13.7, ,92.6, ,55.9, ,75.1, ,89, ,28, ,46, ,52.9, ,3.6, ,87.2, ,69.5, 
78,9/24/2022,267,0.20, ,0, ,528, ,13.8, ,92.5, ,62.4, ,76.2, ,80, ,25, ,45, ,53.1, ,3.1, ,75.0, ,69.9, 
78,9/25/2022,268,0.20, ,0, ,541,R,12.3, ,92.7, ,61.0, ,76.2, ,68, ,21, ,40, ,50.0, ,3.3, ,78.0, ,70.1, 
78,9/26/2022,269,0.19, ,0, ,470, ,14.3, ,93.5, ,61.6, ,76.3, ,73, ,28, ,46, ,54.1, ,2.9, ,69.6, ,70.3, 
78,9/27/2022,270,0.20, ,0.02, ,522, ,15.8, ,97.6, ,61.0, ,78.3, ,80, ,27, ,48, ,56.9, ,3.6, ,85.3, ,70.5, 
78,9/28/2022,271,0.19, ,0.00, ,519, ,18.6, ,95.4, ,62.5, ,77.0, ,86, ,33, ,59, ,61.5, ,3.6, ,86.4, ,70.9, 
78,9/29/2022,272,0.18, ,0.04, ,512, ,20.0, ,88.0, ,61.4, ,73.6, ,94, ,49, ,71, ,63.5, ,3.9, ,94.4, ,71.2, 
78,9/30/2022,273,0.16, ,0.00, ,511, ,19.0, ,81.6, ,62.9, ,70.0, ,95, ,52, ,76, ,62.0, ,4.4,Y,104.5,Y,71.3, 
