91,9/1/2022,244,0.21, ,0, ,603, ,6.6, ,93.9, ,39.2, ,67.7, ,78, ,9, ,28, ,33.8, ,2.9, ,69.4, ,68.4, 
91,9/2/2022,245,0.27, ,0, ,578, ,6.5, ,95.7, ,46.7, ,73.1,Y,67, ,9, ,23,Y,33.6,Y,6.1, ,147.5, ,68.1, 
91,9/3/2022,246,0.22, ,0, ,562, ,7.7, ,86.2, ,45.8, ,66.2, ,70, ,14, ,35, ,37.8, ,4.7, ,113.9, ,67.3, 
91,9/4/2022,247,0.22, ,0, ,561, ,8.4, ,90.1, ,36.1, ,64.8, ,85, ,15, ,40, ,40.2, ,4.2, ,101.5, ,66.8, 
91,9/5/2022,248,0.21, ,0, ,550, ,9.0, ,94.4, ,40.7, ,67.8, ,82, ,16, ,39, ,41.8, ,3.4, ,80.7, ,66.8, 
91,9/6/2022,249,0.19, ,0, ,457, ,9.8, ,99.5,Y,46.4, ,72.0,Y,77, ,15, ,37,Y,44.0,Y,3.1, ,74.3, ,67.3, 
91,9/7/2022,250,0.13, ,0, ,265, ,9.8, ,91.9, ,50.5,Y,72.0,Y,74, ,16, ,37,Y,44.0,Y,5.2, ,124.1, ,66.7, 
91,9/8/2022,251,0.20, ,0.00, ,513, ,7.7, ,87.8, ,47.6, ,66.7, ,75, ,14, ,35, ,37.9, ,4.5, ,107.0, ,66.4, 
91,9/9/2022,252,0.19, ,0, ,540, ,5.1, ,89.5, ,41.1, ,65.7, ,51, ,11, ,24, ,27.8, ,3.3, ,80.0, ,66.2, 
91,9/10/2022,253,0.19, ,0, ,497, ,6.7, ,92.4, ,40.3, ,67.1, ,63, ,14, ,29, ,34.1, ,3.3, ,78.2, ,65.9, 
91,9/11/2022,254,0.14, ,0, ,323, ,8.6, ,84.0, ,45.2, ,66.3, ,74, ,21, ,39, ,40.7, ,3.6, ,86.1, ,65.8, 
91,9/12/2022,255,0.16, ,0.01, ,433, ,12.2, ,82.0, ,51.0,Y,66.6, ,84, ,34, ,55, ,49.9, ,4.5, ,108.3, ,66.2, 
91,9/13/2022,256,0.18, ,0, ,507, ,10.1, ,80.5, ,41.6, ,61.2, ,95, ,26, ,55, ,44.8, ,4.2, ,101.3, ,66.2, 
91,9/14/2022,257,0.15, ,0.01, ,448, ,8.5, ,75.5, ,37.8, ,56.6, ,95, ,24, ,54, ,40.4, ,3.4, ,80.9, ,65.6, 
91,9/15/2022,258,0.16, ,0, ,514, ,8.6, ,74.4, ,34.4, ,55.5, ,94, ,27, ,57, ,40.6, ,4.0, ,96.9, ,65.2, 
91,9/16/2022,259,0.16, ,0, ,503, ,8.3, ,74.4, ,34.4, ,55.2, ,97, ,25, ,56, ,39.8, ,4.2, ,101.8, ,64.6, 
91,9/17/2022,260,0.11, ,0, ,325, ,8.3, ,70.4, ,32.2, ,51.6, ,94, ,37, ,63, ,39.6, ,4.8, ,115.1, ,63.5, 
91,9/18/2022,261,0.09, ,0, ,248, ,8.0, ,68.2, ,43.7, ,53.9, ,84, ,32, ,56, ,38.7, ,5.3, ,126.7, ,62.4, 
91,9/19/2022,262,0.13, ,0.04, ,418, ,9.0, ,67.6, ,39.2, ,53.7, ,94, ,37, ,64, ,41.7, ,4.7, ,113.3, ,61.5, 
91,9/20/2022,263,0.06, ,0.04, ,267, ,10.5, ,64.1, ,43.8, ,51.8, ,96, ,46, ,80, ,45.8, ,3.7, ,88.8, ,60.6, 
91,9/21/2022,264,0.07, ,0.02, ,290, ,9.5, ,61.2, ,35.3, ,48.3, ,98, ,61, ,83, ,43.3, ,3.2, ,76.9, ,59.8, 
91,9/22/2022,265,0.13, ,0, ,477, ,9.9, ,68.7, ,39.4, ,53.4, ,96, ,39, ,71, ,44.3, ,3.1, ,75.1, ,60.0, 
91,9/23/2022,266,0.14, ,0, ,495, ,8.3, ,77.1, ,32.8, ,53.7, ,99, ,18, ,59, ,39.6, ,2.6, ,62.2, ,60.4, 
91,9/24/2022,267,0.14, ,0, ,492, ,8.1, ,81.8, ,33.4, ,56.6, ,93, ,19, ,51, ,39.0, ,2.3, ,54.9, ,60.5, 
91,9/25/2022,268,0.15, ,0, ,482, ,7.4, ,85.1, ,34.6, ,59.5, ,92, ,15, ,43, ,36.9, ,3.0, ,71.0, ,60.7, 
91,9/26/2022,269,0.17, ,0, ,468, ,8.1, ,86.7, ,39.1, ,62.1, ,87, ,17, ,42, ,39.0, ,3.5, ,85.1, ,61.0, 
91,9/27/2022,270,0.18, ,0, ,466, ,6.9, ,83.9, ,37.6, ,62.2, ,85, ,14, ,36, ,35.0, ,5.0, ,120.2, ,60.8, 
91,9/28/2022,271,0.13, ,0, ,319, ,8.1, ,75.3, ,44.6, ,58.9, ,78, ,23, ,48, ,39.1, ,5.5, ,130.9, ,60.1, 
91,9/29/2022,272,0.13, ,0,R,240, ,8.5, ,68.5, ,40.2, ,55.1, ,93, ,37, ,58, ,40.5, ,5.2, ,124.2, ,60.1, 
91,9/30/2022,273,0.13, ,0, ,460, ,7.7, ,74.3, ,30.3, ,53.1, ,96, ,27, ,56, ,37.9, ,3.1, ,74.5, ,59.0, 
