257,9/1/2022,244,0.25, ,0.00, ,587, ,7.4, ,110.9,Y,75.1, ,93.6, ,29, ,6, ,14, ,36.9, ,2.0, ,47.5, ,92.6,Y
257,9/2/2022,245,0.25, ,0, ,611, ,7.8, ,112.2,Y,72.5, ,95.7,Y,34, ,6, ,14,Y,38.1,Y,2.3, ,56.1, ,91.9,Y
257,9/3/2022,246,0.25, ,0, ,598, ,10.6, ,109.7, ,76.0, ,94.0, ,36, ,9, ,19, ,46.1, ,2.1, ,49.7, ,92.2,Y
257,9/4/2022,247,0.24, ,0, ,590, ,11.6, ,107.6, ,71.7, ,92.3, ,44, ,13, ,22, ,48.4, ,2.0, ,49.0, ,92.1,Y
257,9/5/2022,248,0.24, ,0, ,574, ,10.2, ,109.2, ,77.1, ,93.7,Y,41, ,8, ,19,Y,44.9,Y,2.3, ,54.4, ,92.1,Y
257,9/6/2022,249,0.24, ,0, ,593, ,7.9, ,111.5,Y,69.9, ,93.2,Y,34, ,7, ,15,Y,38.3,Y,2.0, ,47.8, ,91.4,Y
257,9/7/2022,250,0.25, ,0, ,574, ,10.2, ,109.5,Y,74.6, ,94.1,Y,35, ,10, ,19,Y,45.1,Y,2.2, ,53.7, ,91.4,Y
257,9/8/2022,251,0.22, ,0, ,479, ,10.4, ,103.5, ,72.8, ,88.7, ,43, ,12, ,22, ,45.6, ,2.3, ,55.1, ,91.2,Y
257,9/9/2022,252,0.17, ,0.12, ,356, ,13.1, ,95.8, ,71.0, ,84.1, ,50, ,24, ,33, ,51.8, ,2.8, ,67.3, ,89.8,Y
257,9/10/2022,253,0.19, ,0, ,482, ,18.3, ,91.3, ,70.6, ,79.5, ,78, ,32, ,53, ,60.9, ,3.6, ,85.8, ,88.7,Y
257,9/11/2022,254,0.18, ,0.01, ,507, ,17.9, ,92.9, ,68.1, ,78.9, ,80, ,29, ,53, ,60.3, ,2.4, ,58.4, ,88.2,Y
257,9/12/2022,255,0.17, ,0.12, ,469, ,17.6, ,89.7, ,66.3, ,75.8, ,81, ,33, ,58, ,59.9, ,2.7, ,64.6, ,87.7,Y
257,9/13/2022,256,0.20, ,0.03, ,530, ,14.1, ,91.3, ,68.3, ,78.2, ,86, ,21, ,43, ,53.8, ,2.7, ,64.1, ,86.9,Y
257,9/14/2022,257,0.23, ,0, ,580,R,7.2, ,87.9, ,66.1, ,76.9, ,42, ,14, ,23, ,35.9, ,3.8, ,91.4, ,85.4, 
257,9/15/2022,258,0.20, ,0, ,577,R,6.9, ,88.1, ,56.4, ,73.5, ,47, ,11, ,24, ,35.0, ,3.0, ,71.1, ,84.2, 
257,9/16/2022,259,0.20, ,0, ,568, ,7.4, ,91.0, ,54.8, ,75.5, ,53, ,10, ,25, ,36.7, ,2.2, ,53.5, ,83.9, 
257,9/17/2022,260,0.22, ,0, ,566, ,7.6, ,90.3, ,62.9, ,75.9, ,45, ,11, ,25, ,37.3, ,3.8, ,92.3, ,83.7, 
257,9/18/2022,261,0.22, ,0, ,562, ,8.6, ,84.0, ,59.6, ,72.2, ,54, ,14, ,32, ,40.5, ,4.9, ,118.3, ,83.0, 
257,9/19/2022,262,0.20, ,0, ,565,R,6.9, ,86.4, ,57.5, ,73.3, ,41, ,13, ,25, ,35.1, ,3.1, ,74.4, ,82.2, 
257,9/20/2022,263,0.20, ,0, ,551, ,8.5, ,84.1, ,54.8, ,71.9, ,47, ,22, ,32, ,40.3, ,3.2, ,76.9, ,81.9, 
257,9/21/2022,264,0.20, ,0, ,562,R,7.3, ,85.0, ,61.6, ,72.5, ,51, ,11, ,27, ,36.3, ,3.9, ,93.5, ,81.6, 
257,9/22/2022,265,0.17, ,0, ,566,R,5.9, ,88.1, ,51.3, ,69.7, ,54, ,10, ,24, ,31.0, ,1.9, ,44.8, ,81.3, 
257,9/23/2022,266,0.17, ,0, ,549,R,4.9, ,91.9, ,47.7, ,72.4, ,38, ,9, ,18, ,26.8, ,1.5, ,36.0, ,80.7, 
257,9/24/2022,267,0.18, ,0, ,525, ,8.2, ,97.7, ,59.5, ,79.1, ,46, ,12, ,24, ,39.4, ,1.5, ,35.8, ,81.2, 
257,9/25/2022,268,0.19, ,0, ,512, ,9.9, ,99.2, ,62.9, ,83.7, ,53, ,15, ,25, ,44.3, ,1.8, ,43.2, ,82.4, 
257,9/26/2022,269,0.19, ,0, ,520, ,6.7, ,100.2, ,64.8, ,83.6, ,42, ,7, ,17, ,34.2, ,2.1, ,49.4, ,83.2,Y
257,9/27/2022,270,0.18, ,0, ,520, ,5.7, ,99.9, ,58.7, ,80.7, ,32, ,7, ,16, ,30.1, ,1.6, ,38.0, ,82.9, 
257,9/28/2022,271,0.19, ,0.07,H,510, ,7.1, ,99.1, ,61.4, ,81.6, ,41, ,9, ,19, ,35.9, ,1.9, ,46.8, ,82.7,Y
257,9/29/2022,272,0.21, ,0, ,519,R,6.4, ,96.9, ,63.1, ,82.6, ,38, ,7, ,17, ,33.2, ,3.4, ,81.9, ,81.6, 
257,9/30/2022,273,0.18, ,0.08,H,516,R,6.9, ,93.4, ,58.6, ,78.2, ,40, ,10, ,21, ,35.0, ,2.3, ,55.4, ,81.2, 
