151,9/1/2022,244,0.26, ,0, ,536, ,23.7, ,108.7, ,78.7, ,93.8, ,73, ,27, ,44, ,68.4, ,5.1, ,123.4, ,86.2, 
151,9/2/2022,245,0.25, ,0.00, ,523, ,27.3, ,106.7, ,75.0, ,92.0, ,76, ,32, ,53, ,72.5, ,6.1, ,145.7, ,86.9, 
151,9/3/2022,246,0.21,R,0, ,528, ,28.6, ,106.4, ,78.8, ,92.2, ,93, ,34, ,56, ,73.9, ,2.0, ,48.6, ,86.3, 
151,9/4/2022,247,0.19,R,0, ,484, ,26.6, ,108.6, ,81.4, ,93.8, ,79, ,26, ,49, ,71.8, ,1.3, ,30.9, ,86.9, 
151,9/5/2022,248,0.22,R,0, ,534, ,22.0, ,111.3, ,76.7, ,93.6, ,68, ,20, ,41, ,66.3, ,1.2, ,28.2, ,86.8, 
151,9/6/2022,249,0.25,R,0, ,521, ,21.2, ,111.8, ,79.0, ,95.8,Y,61, ,17, ,37,Y,65.2,Y,3.6, ,85.4, ,87.0, 
151,9/7/2022,250,0.23, ,0, ,509, ,26.9, ,107.1, ,80.9, ,92.9, ,83, ,29, ,51, ,72.1, ,4.5, ,107.3, ,88.2, 
151,9/8/2022,251,0.10,R,0, ,226, ,24.7, ,100.0, ,80.7, ,88.7, ,75, ,38, ,53, ,69.6, ,2.9, ,70.3, ,87.0, 
151,9/9/2022,252,0.11,R,0, ,223, ,25.8, ,94.9, ,77.8, ,83.8, ,79, ,49, ,65, ,70.9, ,5.9, ,142.0, ,85.5, 
151,9/10/2022,253,0.14,R,0, ,348, ,25.2, ,94.6, ,74.4, ,82.6, ,86, ,45, ,66, ,70.2, ,3.1, ,75.4, ,84.8, 
151,9/11/2022,254,0.18,R,0, ,456, ,24.4, ,99.2, ,72.5, ,85.9, ,90, ,35, ,58, ,69.2, ,2.9, ,69.9, ,85.3, 
151,9/12/2022,255,0.17,R,0, ,414, ,23.5, ,97.3, ,74.3, ,85.7, ,87, ,34, ,56, ,68.1, ,3.0, ,73.1, ,85.7, 
151,9/13/2022,256,0.17, ,0, ,333, ,21.4, ,96.9, ,72.5, ,84.7, ,79, ,34, ,53, ,65.5, ,5.7, ,135.7, ,85.1, 
151,9/14/2022,257,0.26, ,0, ,509, ,20.4, ,98.6, ,73.4, ,86.5, ,76, ,28, ,47, ,64.1, ,7.1, ,171.1, ,85.7, 
151,9/15/2022,258,0.24, ,0, ,507, ,15.7, ,99.4, ,70.8, ,83.8, ,78, ,20, ,40, ,56.7, ,4.7, ,113.7, ,85.6, 
151,9/16/2022,259,0.23,R,0, ,504, ,12.8, ,99.2, ,64.7, ,82.2, ,71, ,17, ,34, ,51.1, ,3.6, ,87.5, ,84.4, 
151,9/17/2022,260,0.26, ,0, ,504, ,16.4, ,100.0, ,69.6, ,84.0, ,78, ,18, ,41, ,57.8, ,5.8, ,140.3, ,84.4, 
151,9/18/2022,261,0.25,R,0, ,503, ,14.6, ,101.6, ,66.0, ,83.8, ,75, ,15, ,37, ,54.7, ,4.8, ,115.0, ,84.0, 
151,9/19/2022,262,0.22,R,0, ,487, ,14.9, ,102.7, ,66.8, ,84.1, ,74, ,14, ,37, ,55.2, ,3.3, ,78.5, ,83.8, 
151,9/20/2022,263,0.23, ,0, ,479, ,17.4, ,103.4, ,68.8, ,87.1, ,59, ,17, ,40, ,59.5, ,4.4, ,105.5, ,84.2, 
151,9/21/2022,264,0.13, ,0, ,248, ,27.3,Y,96.6, ,78.1,Y,86.9, ,81, ,46, ,63,Y,72.5,Y,6.2, ,149.4, ,85.4, 
151,9/22/2022,265,0.17,R,0, ,471, ,26.7,Y,100.2, ,75.3, ,87.0, ,85, ,39, ,61,Y,71.8,Y,1.6, ,38.7, ,85.7, 
151,9/23/2022,266,0.19, ,0, ,469, ,22.4, ,101.2, ,76.9, ,87.8, ,78, ,28, ,50, ,66.8, ,2.5, ,60.2, ,83.9, 
151,9/24/2022,267,0.17,R,0, ,468, ,25.5,Y,104.0, ,77.0,Y,89.6, ,85, ,27, ,54,Y,70.6,Y,1.0, ,25.1, ,84.3, 
151,9/25/2022,268,0.18,R,0, ,492, ,18.9, ,103.7, ,71.7, ,87.4, ,79, ,22, ,43, ,62.0, ,1.1, ,26.4, ,83.5, 
151,9/26/2022,269,0.18,R,0, ,493, ,15.2, ,104.8, ,62.8, ,84.9, ,67, ,17, ,37, ,55.8, ,1.2, ,28.9, ,80.9, 
151,9/27/2022,270,0.18,R,0, ,447, ,20.8, ,106.1, ,73.8, ,89.0, ,68, ,25, ,45, ,64.6, ,1.2, ,28.5, ,81.3, 
151,9/28/2022,271,0.18,R,0, ,433, ,22.1, ,103.7, ,75.3, ,89.0, ,69, ,29, ,47, ,66.3, ,2.3, ,55.6, ,81.6, 
151,9/29/2022,272,0.18,R,0, ,437, ,24.7,Y,101.3, ,77.0,Y,86.8, ,79, ,33, ,57,Y,69.6,Y,3.1, ,73.2, ,81.9, 
151,9/30/2022,273,0.20,R,0, ,443, ,22.6, ,98.7, ,77.0,Y,87.2, ,73, ,31, ,51, ,66.9, ,4.4, ,106.1, ,81.4, 
