116,9/1/2022,244,--,N,0.00, ,583, ,14.5, ,71.7, ,48.9, ,59.1, ,97, ,67, ,85, ,54.5, ,6.3, ,150.4, ,71.3, 
116,9/2/2022,245,--,N,0, ,553, ,14.8, ,71.0, ,52.6, ,59.7, ,99, ,64, ,85, ,55.1, ,6.5, ,156.8, ,71.8, 
116,9/3/2022,246,--,N,0, ,578, ,14.8, ,73.4, ,52.3, ,62.6, ,98, ,59, ,76, ,55.1, ,6.0, ,143.8, ,71.9, 
116,9/4/2022,247,--,N,0, ,574, ,15.0, ,79.4, ,51.9, ,64.9, ,96, ,50, ,71, ,55.4, ,5.1, ,121.6, ,72.6, 
116,9/5/2022,248,--,N,0, ,565, ,15.2, ,94.1,R,54.7, ,67.9,Y,89, ,35, ,65,Y,55.7,Y,5.5, ,131.0, ,73.7,Y
116,9/6/2022,249,--,N,0, ,559, ,15.9, ,91.3,R,58.2, ,67.6,Y,88, ,36, ,69,Y,57.1,Y,6.5, ,156.4, ,74.2,Y
116,9/7/2022,250,--,N,0, ,552, ,16.9, ,84.7,Y,56.0, ,67.9,Y,91, ,47, ,73,Y,58.8,Y,5.0, ,119.2, ,74.2,Y
116,9/8/2022,251,--,N,0, ,543, ,16.6, ,83.3,Y,56.4, ,66.4,Y,95, ,53, ,75,Y,58.3,Y,5.6, ,133.4, ,75.0,Y
116,9/9/2022,252,--,N,0, ,532, ,15.7, ,73.9, ,55.0, ,62.5, ,95, ,62, ,81, ,56.6, ,5.3, ,127.1, ,74.5,Y
116,9/10/2022,253,--,N,0, ,330, ,18.3, ,76.3, ,58.8, ,66.0,Y,96,H,70,H,84,Y,61.0,Y,5.4, ,128.7, ,74.1,Y
116,9/11/2022,254,--,N,0, ,525, ,17.9, ,79.8, ,60.1, ,68.9,Y,90, ,57, ,74,Y,60.3,Y,5.9, ,141.3, ,75.1,Y
116,9/12/2022,255,--,N,0, ,522, ,16.3, ,71.3, ,57.8, ,63.2, ,97, ,68, ,83, ,57.8, ,8.3,Y,198.9,Y,74.8,Y
116,9/13/2022,256,--,N,0, ,504, ,15.2, ,69.8, ,54.5, ,62.0, ,94, ,63, ,80, ,55.7, ,7.6,Y,182.8,Y,73.4,Y
116,9/14/2022,257,--,N,0.00, ,534, ,15.6, ,73.8, ,51.5, ,62.1, ,97, ,61, ,82, ,56.5, ,6.0, ,144.9, ,72.4, 
116,9/15/2022,258,--,N,0.00, ,490, ,15.2, ,70.5, ,53.4, ,60.5, ,98, ,64, ,84, ,55.8, ,6.7, ,161.2, ,72.1, 
116,9/16/2022,259,--,N,0.00, ,520, ,14.2, ,68.9, ,51.0, ,59.4, ,97, ,65, ,82, ,53.9, ,6.9, ,166.0, ,71.2, 
116,9/17/2022,260,--,N,0, ,428, ,14.0, ,68.9, ,53.7, ,60.6, ,92, ,65, ,78, ,53.6, ,8.2,Y,196.6,Y,70.5, 
116,9/18/2022,261,--,N,0.16, ,206, ,15.6, ,68.2, ,57.4, ,61.9, ,91, ,68, ,82, ,56.5, ,12.5,R,300.3,R,69.1, 
116,9/19/2022,262,--,N,0.09, ,388, ,17.7, ,69.4, ,58.5, ,62.8, ,96, ,80, ,91, ,60.0, ,7.7,Y,185.6,Y,68.4, 
116,9/20/2022,263,--,N,0.00, ,505, ,15.9, ,74.3, ,54.7, ,62.9, ,98, ,56, ,81, ,57.1, ,7.4, ,177.4, ,69.4, 
116,9/21/2022,264,--,N,0, ,452, ,14.9, ,73.1, ,54.2, ,61.6, ,93, ,57, ,80, ,55.3, ,6.6, ,158.5, ,69.2, 
116,9/22/2022,265,--,N,0, ,515, ,14.4, ,74.4, ,47.5, ,61.2, ,98, ,57, ,78, ,54.3, ,5.6, ,133.3, ,69.0, 
116,9/23/2022,266,--,N,0.00, ,520, ,14.6, ,80.0, ,49.6, ,62.5, ,95, ,46, ,76, ,54.6, ,5.2, ,124.2, ,69.4, 
116,9/24/2022,267,--,N,0.00, ,463, ,15.0, ,68.6, ,48.5, ,59.0, ,98, ,72, ,88, ,55.4, ,6.8, ,162.6, ,69.6, 
116,9/25/2022,268,--,N,0, ,250, ,15.5, ,65.9, ,57.6, ,60.2, ,94, ,77, ,87, ,56.4, ,5.1, ,121.7, ,69.8, 
116,9/26/2022,269,--,N,0, ,187, ,15.3, ,64.1, ,57.1, ,59.0, ,97, ,80, ,90, ,55.9, ,5.1, ,122.9, ,69.3, 
116,9/27/2022,270,--,N,0, ,443, ,15.0, ,71.7, ,54.8, ,60.3, ,96, ,67, ,84, ,55.4, ,5.1, ,121.6, ,69.3, 
116,9/28/2022,271,--,N,0, ,633,R,16.0, ,73.2, ,56.6, ,64.4, ,98, ,61, ,78, ,57.2, ,7.4, ,178.7, ,70.1, 
116,9/29/2022,272,--,N,0.00, ,438, ,15.6, ,72.8, ,52.9, ,60.8, ,99, ,68, ,86, ,56.4, ,5.1, ,122.4, ,70.1, 
116,9/30/2022,273,--,N,0, ,431, ,14.9, ,68.3, ,48.5, ,58.8, ,98, ,71, ,88, ,55.3, ,6.3, ,151.3, ,69.7, 
