216,9/1/2022,244,0.28, ,0, ,560, ,15.0, ,101.7, ,73.7,Y,89.2,Y,66,H,23,H,32,Y,55.4,Y,4.9,Y,118.1,Y,87.0,Y
216,9/2/2022,245,0.25, ,0, ,554, ,17.3, ,102.5, ,70.8, ,86.4, ,67, ,26, ,40, ,59.3, ,3.9, ,93.1, ,87.6,Y
216,9/3/2022,246,0.24, ,0, ,499, ,18.0, ,105.2, ,73.7,Y,88.6,Y,66, ,26, ,39,Y,60.6,Y,3.3, ,79.5, ,88.2,Y
216,9/4/2022,247,0.25, ,0, ,531, ,17.9, ,110.0,Y,76.6,Y,90.6,Y,65, ,19, ,36,Y,60.3,Y,4.1, ,99.5, ,88.9,Y
216,9/5/2022,248,0.25, ,0, ,549, ,19.7, ,105.2, ,73.2, ,89.0,Y,75, ,24, ,42,Y,63.1,Y,3.5, ,83.6, ,89.6,Y
216,9/6/2022,249,0.24, ,0, ,540, ,20.1, ,102.0, ,69.7, ,85.9, ,82, ,24, ,47, ,63.6, ,3.9, ,94.0, ,89.9,Y
216,9/7/2022,250,0.25, ,0, ,530, ,17.0, ,103.3, ,72.4, ,87.4,Y,65, ,21, ,38,Y,58.9,Y,3.7, ,89.6, ,89.7,Y
216,9/8/2022,251,0.15, ,0, ,326, ,17.2, ,99.8, ,73.5,Y,84.8, ,54, ,27, ,42, ,59.3, ,3.0, ,71.9, ,89.4,Y
216,9/9/2022,252,0.16, ,0.11, ,299, ,18.2, ,98.0, ,69.3, ,83.3, ,97, ,30, ,47, ,60.8, ,4.4, ,104.8, ,88.3,Y
216,9/10/2022,253,0.07, ,0.04, ,241, ,23.4,Y,81.4, ,67.7, ,74.4, ,98, ,62, ,81,Y,68.1,Y,2.6, ,62.3, ,86.6, 
216,9/11/2022,254,0.18, ,0, ,468, ,22.5,Y,89.9, ,71.6, ,78.8, ,82, ,44, ,67,Y,66.9,Y,3.4, ,82.5, ,85.1, 
216,9/12/2022,255,0.16, ,0, ,422, ,21.1,Y,89.3, ,67.5, ,76.2, ,88, ,50, ,68,Y,65.0,Y,3.1, ,73.9, ,85.4, 
216,9/13/2022,256,0.19, ,0, ,521, ,18.7, ,85.0, ,64.9, ,74.1, ,88, ,48, ,65, ,61.5, ,3.8, ,90.4, ,84.8, 
216,9/14/2022,257,0.16, ,0, ,449, ,17.6, ,82.2, ,61.6, ,69.9, ,86, ,47, ,70, ,59.9, ,3.7, ,88.8, ,83.9, 
216,9/15/2022,258,0.17, ,0, ,509, ,15.8, ,83.0, ,58.3, ,68.6, ,84, ,41, ,66, ,56.9, ,3.5, ,84.8, ,82.7, 
216,9/16/2022,259,0.19, ,0, ,552, ,16.0, ,83.2, ,56.2, ,69.1, ,85, ,41, ,66, ,57.3, ,3.4, ,82.3, ,82.0, 
216,9/17/2022,260,0.10, ,0, ,323, ,16.5, ,78.5, ,57.6, ,66.4, ,89, ,52, ,74, ,58.1, ,3.3, ,79.2, ,81.2, 
216,9/18/2022,261,0.18, ,0, ,517, ,15.9, ,76.3, ,58.2, ,67.6, ,86, ,50, ,69, ,57.0, ,5.2,R,125.7,R,80.2, 
216,9/19/2022,262,0.19, ,0, ,552, ,13.6, ,81.4, ,55.2, ,67.2, ,85, ,28, ,60, ,52.8, ,3.5, ,84.5, ,79.8, 
216,9/20/2022,263,0.19, ,0, ,526, ,14.2, ,84.6, ,55.9, ,69.1, ,80, ,37, ,58, ,53.9, ,3.6, ,87.3, ,79.7, 
216,9/21/2022,264,0.19, ,0, ,559,R,11.7, ,84.4, ,53.6, ,67.9, ,86, ,22, ,50, ,48.8, ,2.9, ,69.2, ,79.7, 
216,9/22/2022,265,0.20, ,0, ,561,R,9.6, ,89.9, ,55.2, ,71.8, ,69, ,18, ,36, ,43.6, ,3.5, ,84.8, ,79.4, 
216,9/23/2022,266,0.23, ,0, ,532, ,9.6, ,92.4, ,58.7, ,75.8, ,46, ,19, ,31, ,43.4, ,4.5, ,109.0, ,79.7, 
216,9/24/2022,267,0.22, ,0, ,515, ,10.7, ,93.7, ,63.8, ,78.2, ,54, ,16, ,33, ,46.4, ,3.4, ,81.6, ,80.5, 
216,9/25/2022,268,0.21, ,0, ,519, ,12.0, ,97.7, ,64.1, ,79.1, ,59, ,21, ,35, ,49.5, ,3.1, ,74.3, ,81.4, 
216,9/26/2022,269,0.20, ,0, ,518, ,13.1, ,99.8, ,64.7, ,81.0, ,70, ,21, ,36, ,51.8, ,2.8, ,67.0, ,82.1, 
216,9/27/2022,270,0.22, ,0, ,510, ,13.5, ,100.8, ,66.0, ,81.9, ,68, ,18, ,36, ,52.5, ,3.2, ,77.6, ,83.0,Y
216,9/28/2022,271,0.22, ,0, ,506, ,14.1, ,98.0, ,66.2, ,80.2, ,75, ,23, ,40, ,53.7, ,3.9, ,93.4, ,83.4,Y
216,9/29/2022,272,0.19, ,0, ,506, ,15.5, ,91.5, ,61.9, ,75.1, ,87, ,31, ,52, ,56.4, ,3.5, ,83.5, ,83.2,Y
216,9/30/2022,273,0.16, ,0, ,489, ,17.4, ,81.9, ,59.6, ,68.9, ,89, ,49, ,72, ,59.5, ,3.9, ,93.9, ,82.5, 
