173,2/1/2022,32,0.05, ,0, ,216, ,11.7, ,65.3, ,48.9, ,54.8, ,88, ,68, ,80, ,48.6, ,2.6, ,62.3, ,56.8, 
173,2/2/2022,33,0.10, ,0, ,395,R,7.2, ,65.6, ,45.6, ,54.2, ,88, ,18, ,50, ,36.1, ,2.8, ,67.0, ,56.0, 
173,2/3/2022,34,0.10, ,0, ,396, ,6.0, ,63.6, ,44.3, ,52.5, ,71, ,24, ,44, ,31.6, ,3.3, ,79.5, ,54.6, 
173,2/4/2022,35,0.11, ,0, ,404,R,5.7, ,65.0, ,44.4, ,55.2, ,55, ,22, ,39, ,30.4, ,4.1, ,98.3, ,54.1, 
173,2/5/2022,36,0.10, ,0, ,420,R,6.0, ,63.9, ,47.8, ,55.8, ,66, ,21, ,39, ,31.4, ,3.6, ,85.8, ,53.9, 
173,2/6/2022,37,0.11, ,0, ,419,R,5.6, ,67.7, ,47.4, ,58.0, ,58, ,20, ,34, ,29.7, ,3.8, ,92.2, ,53.8, 
173,2/7/2022,38,0.13, ,0, ,426,R,5.6, ,70.1, ,54.3, ,62.4, ,59, ,18, ,29, ,29.8, ,4.5, ,108.3, ,54.5, 
173,2/8/2022,39,0.13, ,0, ,425,R,5.9, ,69.9, ,51.4, ,61.1, ,51, ,21, ,32, ,31.3, ,3.9, ,93.0, ,54.7, 
173,2/9/2022,40,0.15, ,0.01, ,432,R,7.3, ,78.6,Y,53.3, ,65.4,Y,55, ,23, ,34,Y,36.3,Y,4.5, ,107.9, ,55.3, 
173,2/10/2022,41,0.16, ,0, ,429,R,7.6, ,80.8,R,57.5, ,67.7,Y,45, ,21, ,33,Y,37.4,Y,4.5, ,106.9, ,56.3, 
173,2/11/2022,42,0.14, ,0, ,436,R,7.7, ,76.9,Y,55.3, ,64.9, ,66, ,27, ,37, ,37.8, ,3.5, ,83.1, ,56.8, 
173,2/12/2022,43,0.15,R,0, ,442,R,7.2, ,78.5,Y,58.2, ,68.3,Y,43, ,20, ,31,Y,36.2,Y,3.2, ,76.1, ,57.2, 
173,2/13/2022,44,0.16, ,0, ,460,R,5.6, ,75.5,Y,57.9, ,67.1,Y,37, ,17, ,25,Y,29.9,Y,4.5, ,107.8, ,57.2, 
173,2/14/2022,45,0.11, ,0, ,400, ,9.7, ,65.0, ,53.3, ,58.6, ,91, ,21, ,58, ,43.8, ,3.2, ,77.3, ,57.0, 
173,2/15/2022,46,0.07, ,0.03, ,201, ,10.7, ,57.5, ,51.4, ,54.2, ,91, ,61, ,75, ,46.3, ,8.3,Y,199.8,Y,57.5, 
173,2/16/2022,47,0.11, ,0, ,430, ,9.7, ,59.9, ,44.1, ,52.4, ,84, ,57, ,72, ,43.8, ,4.7, ,113.3, ,56.4, 
173,2/17/2022,48,0.12, ,0, ,461,R,10.0, ,66.0, ,47.3, ,54.8, ,85, ,42, ,68, ,44.4, ,4.2, ,100.3, ,56.6, 
173,2/18/2022,49,0.13, ,0, ,470,R,8.3, ,62.0, ,48.5, ,55.6, ,89, ,29, ,55, ,39.6, ,4.1, ,97.7, ,55.9, 
173,2/19/2022,50,0.11, ,0, ,466,R,10.8, ,61.3, ,48.4, ,55.3, ,91, ,43, ,72, ,46.5, ,3.1, ,74.4, ,56.2, 
173,2/20/2022,51,0.10, ,0.01, ,391, ,11.5, ,59.2, ,47.9, ,53.7, ,94, ,68, ,82, ,48.2, ,3.8, ,92.1, ,57.1, 
173,2/21/2022,52,0.08, ,0.00, ,250, ,10.2, ,59.9, ,52.6, ,54.8, ,75, ,62, ,69, ,45.0, ,6.6, ,159.3, ,57.5, 
173,2/22/2022,53,0.08, ,0.56, ,261, ,10.1, ,57.3, ,49.0, ,52.7, ,91, ,65, ,74, ,44.7, ,8.9,Y,214.4,Y,56.6, 
173,2/23/2022,54,0.12, ,0.13, ,396, ,7.4, ,52.3, ,44.2, ,49.7, ,76, ,48, ,61, ,36.9, ,10.4,R,248.5,R,55.0, 
173,2/24/2022,55,0.13, ,0, ,490,R,6.4, ,56.4, ,39.2, ,49.0, ,74, ,39, ,54, ,33.1, ,5.9, ,140.8, ,54.1, 
173,2/25/2022,56,0.12, ,0, ,486,R,7.2, ,56.6, ,40.5, ,49.9, ,77, ,40, ,59, ,36.2, ,4.5, ,108.3, ,53.7, 
173,2/26/2022,57,0.13, ,0, ,509,R,8.4, ,61.6, ,42.2, ,53.0, ,78, ,31, ,61, ,39.9, ,4.5, ,108.8, ,54.2, 
173,2/27/2022,58,0.13, ,0, ,435, ,7.1, ,63.4, ,45.6, ,55.4, ,70, ,29, ,47, ,35.8, ,4.4, ,106.0, ,54.7, 
173,2/28/2022,59,0.15, ,0, ,515,R,6.2, ,67.4, ,49.7, ,60.2, ,57, ,23, ,35, ,32.3, ,3.3, ,79.2, ,55.4, 
