237,2/1/2022,32,0.06, ,0, ,246, ,9.6, ,59.2, ,41.8, ,49.7, ,95, ,57, ,80, ,43.6, ,3.8, ,90.7, ,54.0, 
237,2/2/2022,33,0.11, ,0.00,H,401,R,4.9, ,61.9, ,36.4, ,48.0, ,99, ,11, ,43, ,26.7, ,5.3, ,127.8, ,53.9, 
237,2/3/2022,34,0.12, ,0, ,406,R,2.8, ,64.0, ,34.5, ,49.1, ,34, ,15, ,24, ,13.5, ,4.6, ,110.7, ,53.0, 
237,2/4/2022,35,0.18, ,0.01,H,413,R,2.5, ,64.3, ,42.4, ,53.4, ,28, ,11, ,18, ,10.9, ,8.7,R,207.9,R,52.8, 
237,2/5/2022,36,0.14, ,0, ,392, ,2.9, ,70.7, ,38.8, ,53.6, ,31, ,10, ,21, ,14.2, ,5.5, ,132.7, ,52.5, 
237,2/6/2022,37,0.15, ,0, ,421,R,3.0, ,77.4, ,40.2, ,59.1, ,31, ,9, ,18, ,15.3, ,5.3, ,127.7, ,52.6, 
237,2/7/2022,38,0.17, ,0, ,423,R,2.8, ,75.3, ,44.2, ,60.7, ,25, ,9, ,15, ,13.2, ,6.2, ,147.8, ,53.1, 
237,2/8/2022,39,0.15, ,0, ,414,R,3.4, ,79.4, ,44.3, ,62.0, ,29, ,10, ,18, ,18.3, ,5.0, ,120.4, ,53.3, 
237,2/9/2022,40,0.18, ,0, ,435,R,3.0, ,82.9, ,49.9, ,65.9, ,24, ,6, ,14, ,15.2, ,5.9, ,141.9, ,53.7, 
237,2/10/2022,41,0.19,R,0, ,430,R,3.8, ,82.9, ,49.2, ,66.9, ,24, ,11, ,17, ,20.6, ,6.5, ,155.2, ,54.0, 
237,2/11/2022,42,0.17,R,0.00,H,429,R,5.0, ,84.6, ,47.7, ,66.0, ,34, ,12, ,23, ,27.0, ,5.0, ,118.8, ,54.5, 
237,2/12/2022,43,0.21,R,0, ,443,R,3.1, ,83.4, ,54.9, ,70.4, ,20, ,8, ,12, ,15.6, ,6.5, ,155.3, ,55.0, 
237,2/13/2022,44,0.17,R,0, ,452,R,3.0, ,83.7, ,50.8, ,66.9, ,30, ,6, ,13, ,15.3, ,4.3, ,103.7, ,55.1, 
237,2/14/2022,45,0.18,R,0, ,454,R,4.7, ,79.2, ,45.2, ,61.3, ,91, ,11, ,25, ,25.6, ,4.6, ,110.8, ,55.2, 
237,2/15/2022,46,0.05, ,0.28, ,212, ,9.6, ,54.4, ,38.8, ,47.5, ,93, ,70, ,86, ,43.4, ,6.9, ,165.7, ,55.3, 
237,2/16/2022,47,0.11,R,0, ,441,R,8.2, ,59.4, ,35.1, ,46.3, ,95, ,49, ,76, ,39.3, ,5.0, ,118.9, ,54.5, 
237,2/17/2022,48,0.15,R,0.00, ,467,R,5.5, ,67.3, ,36.6, ,51.9, ,96, ,13, ,42, ,29.5, ,5.1, ,123.1, ,54.3, 
237,2/18/2022,49,0.14, ,0, ,458,R,4.1, ,73.1, ,36.1, ,54.5, ,49, ,11, ,28, ,22.5, ,4.3, ,102.1, ,54.0, 
237,2/19/2022,50,0.15, ,0, ,462,R,5.0, ,75.6, ,43.3, ,58.1, ,47, ,16, ,30, ,27.2, ,4.8, ,114.2, ,54.1, 
237,2/20/2022,51,0.14, ,0, ,466,R,7.3, ,67.9, ,40.7, ,53.5, ,88, ,27, ,52, ,36.3, ,5.9, ,140.6, ,54.3, 
237,2/21/2022,52,0.07, ,0, ,253, ,9.4, ,58.1, ,45.8, ,49.8, ,86, ,60, ,77, ,42.8, ,7.6, ,183.2, ,54.9, 
237,2/22/2022,53,0.05, ,0.23, ,223, ,9.0, ,54.2, ,40.6, ,46.5, ,94, ,61, ,84, ,41.9, ,7.6, ,183.6, ,54.5, 
237,2/23/2022,54,0.06, ,0.20, ,251, ,6.8, ,50.1, ,35.3, ,40.5, ,93, ,50, ,80, ,34.8, ,5.2, ,124.8, ,53.8, 
237,2/24/2022,55,0.11, ,0.00, ,491,R,4.7, ,57.1, ,29.8,Y,42.9, ,85, ,19, ,50, ,25.6, ,4.1, ,97.7, ,52.9, 
237,2/25/2022,56,0.12, ,0, ,487,R,4.7, ,63.2, ,33.6, ,46.8, ,63, ,21, ,43, ,25.7, ,4.3, ,103.7, ,52.6, 
237,2/26/2022,57,0.16, ,0, ,485,R,3.7, ,67.5, ,36.4, ,52.6, ,60, ,13, ,27, ,19.6, ,5.6, ,134.9, ,52.6, 
237,2/27/2022,58,0.16, ,0, ,501,R,3.0, ,74.1, ,36.0, ,56.0, ,38, ,9, ,20, ,15.2, ,5.0, ,120.1, ,52.6, 
237,2/28/2022,59,0.18, ,0, ,501,R,3.3, ,80.9, ,42.3, ,61.9, ,28, ,8, ,17, ,17.1, ,5.3, ,126.9, ,53.1, 
