126,2/1/2022,32,0.08, ,0, ,343, ,6.2, ,61.3, ,32.3, ,44.4, ,99, ,26, ,62, ,32.3, ,2.8, ,67.6, ,49.9, 
126,2/2/2022,33,0.09, ,0, ,355,R,4.2,Y,63.7, ,31.7, ,45.9, ,68, ,18, ,39,Y,22.7,Y,3.2, ,77.1, ,49.5, 
126,2/3/2022,34,0.08, ,0, ,339, ,5.6, ,66.1, ,30.0, ,45.6, ,77, ,28, ,54, ,29.7, ,2.3, ,54.9, ,49.5, 
126,2/4/2022,35,0.09, ,0, ,352, ,6.1, ,67.6, ,32.2, ,47.4, ,86, ,25, ,54, ,31.8, ,2.4, ,57.8, ,50.0, 
126,2/5/2022,36,0.07, ,0, ,304, ,7.1, ,66.9, ,33.5, ,46.8, ,86, ,38, ,65, ,35.6, ,2.0, ,48.5, ,50.2, 
126,2/6/2022,37,0.09, ,0, ,368,R,7.4, ,71.2, ,32.2, ,48.6, ,90, ,33, ,64, ,36.9, ,2.1, ,49.6, ,50.6, 
126,2/7/2022,38,0.09, ,0, ,368, ,7.4, ,72.6, ,32.8, ,49.7, ,85, ,31, ,61, ,36.7, ,2.1, ,51.0, ,51.4, 
126,2/8/2022,39,0.09, ,0, ,371, ,7.9, ,74.2, ,35.8, ,51.9, ,89, ,30, ,60, ,38.6, ,2.1, ,50.2, ,52.1, 
126,2/9/2022,40,0.09, ,0, ,322, ,8.3, ,76.3, ,38.3, ,53.1, ,83, ,31, ,60, ,39.6, ,2.3, ,55.1, ,52.8, 
126,2/10/2022,41,0.10, ,0, ,379, ,8.7, ,82.1,Y,38.5, ,56.0, ,83, ,29, ,56, ,40.8, ,2.0, ,47.9, ,53.3, 
126,2/11/2022,42,0.11, ,0, ,381, ,9.1, ,80.9,Y,39.3, ,57.2, ,84, ,27, ,57, ,42.2, ,2.2, ,54.0, ,54.7, 
126,2/12/2022,43,0.11, ,0, ,367, ,10.1, ,81.4,Y,41.3, ,58.5, ,86, ,32, ,60, ,44.7, ,2.2, ,51.7, ,55.7, 
126,2/13/2022,44,0.11, ,0, ,390, ,9.4, ,82.8,Y,40.4, ,57.4, ,86, ,20, ,59, ,43.0, ,2.1, ,50.5, ,56.4, 
126,2/14/2022,45,0.06, ,0, ,267, ,10.1, ,60.0, ,37.1, ,48.4, ,99, ,64, ,87, ,44.7, ,2.6, ,63.5, ,55.5, 
126,2/15/2022,46,0.11, ,0, ,400,R,6.9, ,60.3, ,39.7, ,49.4, ,88, ,30, ,58, ,35.1, ,4.5, ,108.7, ,54.6, 
126,2/16/2022,47,0.10, ,0, ,406,R,7.1, ,67.9, ,34.5, ,50.0, ,83, ,32, ,58, ,35.9, ,2.7, ,65.5, ,53.7, 
126,2/17/2022,48,0.11, ,0, ,420,R,6.6, ,68.3, ,35.5, ,50.6, ,81, ,24, ,53, ,34.0, ,2.9, ,70.4, ,54.1, 
126,2/18/2022,49,0.09, ,0, ,403, ,8.2, ,71.3, ,42.5, ,58.6, ,84, ,32, ,49, ,39.4, ,2.5, ,60.6, ,54.6, 
126,2/19/2022,50,0.11, ,0, ,418,R,8.2, ,75.5, ,35.0, ,51.6, ,87, ,28, ,62, ,39.3, ,2.5, ,60.8, ,54.6, 
126,2/20/2022,51,0.08, ,0, ,316, ,8.6, ,61.5, ,36.1, ,47.8, ,86, ,58, ,75, ,40.5, ,2.9, ,69.1, ,54.3, 
126,2/21/2022,52,0.10, ,0, ,430,R,7.4, ,59.2, ,35.5, ,48.5, ,91, ,39, ,64, ,36.8, ,3.2, ,75.8, ,54.1, 
126,2/22/2022,53,0.07, ,0.10, ,285, ,7.4, ,52.9, ,34.0, ,44.9, ,89, ,49, ,73, ,36.6, ,4.4, ,106.7, ,53.6, 
126,2/23/2022,54,0.11, ,0, ,455,R,5.1,Y,56.1, ,30.8, ,41.8, ,93, ,26, ,56,Y,27.4,Y,3.5, ,84.1, ,51.3, 
126,2/24/2022,55,0.11, ,0, ,458,R,5.0,Y,60.2, ,26.6,Y,42.1, ,87, ,18, ,55,Y,26.9,Y,2.9, ,70.3, ,50.7, 
126,2/25/2022,56,0.11, ,0, ,460,R,5.0,Y,64.2, ,27.7, ,43.6, ,88, ,21, ,52,Y,27.2,Y,2.2, ,53.8, ,51.0, 
126,2/26/2022,57,0.09, ,0, ,332, ,5.6, ,66.0, ,28.4, ,46.4, ,81, ,26, ,52, ,29.6, ,2.3, ,55.9, ,50.9, 
126,2/27/2022,58,0.13, ,0, ,452,R,6.7, ,73.0, ,34.8, ,52.8, ,81, ,25, ,50, ,34.4, ,2.5, ,60.9, ,52.4, 
126,2/28/2022,59,0.13, ,0, ,461,R,7.6, ,79.1,Y,35.8, ,56.0, ,84, ,26, ,50, ,37.6, ,2.5, ,60.5, ,54.2, 
