220,2/1/2022,32,0.10, ,0, ,343, ,4.0, ,60.4, ,35.2, ,49.9, ,51, ,16, ,33, ,21.8, ,4.0, ,97.0, ,47.3, 
220,2/2/2022,33,0.10, ,0, ,369, ,2.5, ,51.6, ,23.7, ,39.5, ,81, ,15, ,30, ,11.1, ,5.1, ,121.9, ,46.3, 
220,2/3/2022,34,0.09, ,0, ,356, ,2.4, ,55.9, ,24.2, ,39.7, ,49, ,17, ,29, ,10.4, ,3.0, ,71.8, ,45.3, 
220,2/4/2022,35,0.10, ,0, ,371, ,2.7, ,56.7, ,26.8, ,41.7, ,50, ,17, ,30, ,12.3, ,4.2, ,101.3, ,45.0, 
220,2/5/2022,36,0.10, ,0, ,379, ,2.9, ,62.6, ,22.8, ,41.9, ,61, ,14, ,32, ,13.9, ,3.2, ,75.9, ,44.7, 
220,2/6/2022,37,0.11, ,0, ,380, ,2.9, ,67.4, ,26.7, ,48.5, ,58, ,11, ,25, ,13.9, ,3.6, ,87.3, ,45.2, 
220,2/7/2022,38,0.11, ,0, ,383, ,3.1, ,67.7, ,32.2, ,48.7, ,44, ,11, ,26, ,15.6, ,3.1, ,73.5, ,46.3, 
220,2/8/2022,39,0.11, ,0.00,H,380, ,3.5, ,71.6, ,29.6, ,50.1, ,57, ,13, ,28, ,18.6, ,2.9, ,69.6, ,46.6, 
220,2/9/2022,40,0.12, ,0, ,392, ,3.6, ,73.6, ,33.3, ,52.1, ,54, ,11, ,27, ,19.0, ,3.0, ,71.8, ,47.5, 
220,2/10/2022,41,0.13, ,0, ,394, ,5.0, ,75.0, ,39.4, ,57.6, ,47, ,18, ,31, ,27.0, ,3.9, ,93.3, ,48.7, 
220,2/11/2022,42,0.12, ,0, ,399, ,5.2, ,77.8, ,36.6, ,56.0, ,64, ,16, ,34, ,27.9, ,2.4, ,57.9, ,49.5, 
220,2/12/2022,43,0.11, ,0, ,409, ,4.0, ,76.4, ,34.1, ,54.4, ,57, ,9, ,28, ,21.7, ,2.4, ,58.1, ,50.3, 
220,2/13/2022,44,0.11, ,0, ,415, ,3.7, ,75.6, ,33.4, ,53.1, ,55, ,11, ,27, ,19.8, ,1.9, ,46.8, ,50.7, 
220,2/14/2022,45,0.15, ,0, ,406, ,4.4, ,76.6, ,36.4, ,58.4, ,47, ,14, ,26, ,24.0, ,4.3, ,104.4, ,51.0, 
220,2/15/2022,46,0.04, ,0.09, ,153, ,6.9, ,56.3, ,36.5, ,45.9, ,90, ,39, ,66, ,35.1, ,6.3, ,151.1, ,51.2, 
220,2/16/2022,47,0.11, ,0, ,419, ,5.7, ,63.8, ,34.2, ,48.4, ,81, ,24, ,49, ,30.2, ,4.1, ,97.6, ,49.1, 
220,2/17/2022,48,0.13, ,0, ,438,R,3.7, ,61.2, ,34.3, ,48.5, ,82, ,17, ,32, ,20.0, ,5.2, ,123.7, ,49.1, 
220,2/18/2022,49,0.12, ,0, ,435, ,3.9, ,67.4, ,27.2, ,46.9, ,67, ,17, ,36, ,21.1, ,3.1, ,73.6, ,48.2, 
220,2/19/2022,50,0.12, ,0, ,424, ,4.2, ,72.2, ,31.1, ,51.0, ,62, ,16, ,33, ,22.7, ,2.2, ,53.7, ,48.8, 
220,2/20/2022,51,0.15, ,0, ,417, ,5.1, ,74.1, ,35.8, ,55.6, ,58, ,16, ,34, ,27.8, ,5.0, ,120.6, ,50.0, 
220,2/21/2022,52,0.12, ,0, ,438, ,7.4, ,56.5, ,43.2, ,49.2, ,74, ,51, ,62, ,36.6, ,9.2,Y,219.9,Y,51.0, 
220,2/22/2022,53,0.09, ,0, ,321, ,6.2, ,53.5, ,37.9, ,44.7, ,76, ,40, ,62, ,32.4, ,7.9,Y,188.8,Y,50.2, 
220,2/23/2022,54,0.09, ,0, ,422, ,4.5, ,45.3, ,27.7, ,37.3, ,78, ,46, ,60, ,24.7, ,5.9, ,142.2, ,48.8, 
220,2/24/2022,55,0.10, ,0, ,465,R,3.2, ,53.2, ,20.0,Y,37.5, ,77, ,18, ,42, ,16.7, ,2.4, ,57.7, ,47.4, 
220,2/25/2022,56,0.11, ,0, ,463, ,3.0, ,56.4, ,23.9, ,39.7, ,63, ,17, ,36, ,15.1, ,2.8, ,66.8, ,47.4, 
220,2/26/2022,57,0.13, ,0, ,431, ,2.4, ,59.1, ,23.4, ,41.6, ,59, ,11, ,27, ,10.2, ,3.6, ,86.0, ,47.1, 
220,2/27/2022,58,0.12, ,0, ,433, ,2.2, ,65.0, ,24.6, ,45.1, ,47, ,8, ,22, ,8.4, ,3.1, ,74.0, ,47.0, 
220,2/28/2022,59,0.14, ,0, ,482,R,3.3, ,74.0, ,28.2, ,51.0, ,48, ,11, ,25, ,16.9, ,2.9, ,69.3, ,47.9, 
