247,2/1/2022,32,0.19, ,0, ,343,R,5.1, ,60.1, ,45.6, ,52.1, ,100, ,27, ,38, ,27.4, ,16.2,R,389.0,R,47.9, 
247,2/2/2022,33,0.18, ,0, ,339,R,5.1, ,60.7, ,41.1, ,51.4, ,72, ,27, ,40, ,27.6, ,14.3,Y,342.8,Y,47.9, 
247,2/3/2022,34,0.08, ,0, ,287, ,7.4, ,66.1, ,--,S,45.8, ,100, ,32, ,71, ,36.8, ,3.7, ,89.1, ,47.4, 
247,2/4/2022,35,0.07, ,0, ,323, ,8.6, ,65.8, ,28.4, ,45.5, ,100, ,41, ,83, ,40.6, ,2.8, ,67.9, ,47.0, 
247,2/5/2022,36,0.08, ,0, ,303, ,8.4, ,67.0, ,32.0, ,46.6, ,100, ,35, ,78, ,40.1, ,2.9, ,69.4, ,47.2, 
247,2/6/2022,37,0.08, ,0.00, ,343, ,8.3, ,71.1, ,--,S,45.9, ,100, ,28, ,79, ,39.8, ,2.4, ,58.3, ,47.1, 
247,2/7/2022,38,0.08, ,0, ,342, ,9.8, ,71.1, ,32.8, ,48.8, ,100, ,44, ,83, ,43.9, ,2.6, ,62.2, ,47.2, 
247,2/8/2022,39,0.09, ,0.00, ,348, ,9.6, ,73.4, ,32.1, ,50.0, ,100, ,39, ,78, ,43.5, ,2.4, ,57.4, ,47.4, 
247,2/9/2022,40,0.08, ,0.00, ,306, ,9.6, ,76.2,Y,32.5, ,50.9, ,100, ,31, ,76, ,43.5, ,2.6, ,63.5, ,47.7, 
247,2/10/2022,41,0.09, ,0, ,355, ,10.5, ,74.6,Y,36.0, ,52.6, ,100, ,34, ,77, ,45.7, ,2.9, ,69.0, ,48.1, 
247,2/11/2022,42,0.10, ,0, ,362, ,11.8, ,80.0,Y,39.5, ,55.8, ,100, ,34, ,77, ,48.9, ,2.7, ,65.3, ,48.8, 
247,2/12/2022,43,0.09, ,0.00, ,352, ,11.7, ,76.2,Y,37.4, ,53.7, ,100, ,42, ,83, ,48.7, ,2.5, ,60.3, ,49.2, 
247,2/13/2022,44,0.10, ,0, ,365, ,11.8, ,78.0,Y,40.1, ,56.4, ,100, ,35, ,76, ,48.8, ,3.0, ,70.9, ,49.6, 
247,2/14/2022,45,0.09, ,0, ,344, ,12.7, ,65.3, ,48.0, ,54.4, ,100, ,58, ,88, ,50.8, ,12.0, ,288.4, ,50.1, 
247,2/15/2022,46,0.16, ,0, ,382, ,7.5, ,62.8, ,45.2, ,53.4, ,92, ,29, ,54, ,37.0, ,13.9,Y,333.7,Y,50.1, 
247,2/16/2022,47,0.16, ,0, ,386, ,6.9, ,72.5, ,45.7, ,58.6, ,60, ,29, ,41, ,35.1, ,9.0, ,215.3, ,50.1, 
247,2/17/2022,48,0.11, ,0, ,392, ,8.1, ,70.5, ,38.2, ,53.3, ,100, ,30, ,58, ,39.0, ,4.9, ,118.5, ,50.4, 
247,2/18/2022,49,0.10, ,0, ,384, ,9.4, ,72.0, ,33.6, ,49.9, ,100, ,35, ,76, ,42.8, ,2.5, ,60.9, ,49.9, 
247,2/19/2022,50,0.10, ,0, ,390, ,10.3, ,73.9, ,33.5, ,52.5, ,100, ,36, ,76, ,45.4, ,3.5, ,84.8, ,49.8, 
247,2/20/2022,51,0.08, ,0, ,275, ,11.0, ,66.2, ,39.4, ,53.2, ,100, ,48, ,80, ,47.1, ,7.4, ,178.4, ,50.3, 
247,2/21/2022,52,0.13, ,0, ,408, ,8.2, ,60.1, ,44.5, ,51.1, ,88, ,34, ,64, ,39.3, ,12.8,Y,307.4,Y,50.3, 
247,2/22/2022,53,0.10, ,0, ,344, ,7.6, ,55.5, ,40.0, ,46.8, ,98, ,41, ,70, ,37.4, ,11.2, ,268.1, ,50.0, 
247,2/23/2022,54,0.14, ,0, ,429,R,5.6, ,57.2, ,37.1, ,46.7, ,99, ,22, ,52, ,29.9, ,9.9, ,237.7, ,49.4, 
247,2/24/2022,55,0.10, ,0, ,426,R,6.3, ,61.3, ,29.6,Y,47.1, ,96, ,25, ,57, ,32.8, ,5.0, ,119.7, ,48.9, 
247,2/25/2022,56,0.11, ,0, ,431,R,7.4, ,65.1, ,36.9, ,48.8, ,100, ,23, ,63, ,36.8, ,4.9, ,117.8, ,49.0, 
247,2/26/2022,57,0.07, ,0, ,282, ,8.3, ,61.4, ,24.4,Y,46.4, ,100, ,40, ,77, ,39.7, ,2.8, ,66.7, ,48.7, 
247,2/27/2022,58,0.12, ,0, ,424, ,9.1, ,70.6, ,36.4, ,54.0, ,100, ,31, ,64, ,42.0, ,4.1, ,98.6, ,49.4, 
247,2/28/2022,59,0.13, ,0, ,431, ,9.5, ,74.1, ,--,S,55.7, ,100, ,33, ,63, ,43.2, ,4.7, ,112.4, ,49.9, 
