182,7/1/2022,182,0.28, ,0, ,746,R,12.4, ,95.6, ,61.7, ,78.5, ,62, ,19, ,37, ,50.3, ,3.2, ,77.7, ,83.9, 
182,7/2/2022,183,0.28, ,0, ,753,R,11.1, ,93.2, ,61.9, ,77.7, ,54, ,20, ,34, ,47.3, ,3.7, ,88.1, ,83.3, 
182,7/3/2022,184,0.26, ,0, ,746,R,11.6, ,85.6,Y,57.1, ,71.2, ,67, ,26, ,44, ,48.4, ,3.8, ,90.1, ,81.9, 
182,7/4/2022,185,0.25, ,0, ,738, ,12.1, ,86.9, ,56.7, ,72.3, ,72, ,25, ,44, ,49.5, ,3.0, ,72.1, ,81.3, 
182,7/5/2022,186,0.27, ,0, ,709, ,16.3, ,91.0, ,63.2, ,77.1, ,77, ,32, ,51, ,57.8, ,3.8, ,90.8, ,82.5, 
182,7/6/2022,187,0.26, ,0, ,722, ,17.3, ,89.0, ,64.3, ,76.3, ,74, ,40, ,56, ,59.4, ,4.0, ,95.5, ,82.7, 
182,7/7/2022,188,0.26, ,0, ,728, ,17.0, ,91.5, ,62.7, ,77.2, ,74, ,36, ,53, ,58.9, ,3.7, ,88.9, ,83.2, 
182,7/8/2022,189,0.27, ,0, ,731, ,16.1, ,95.7, ,64.1, ,80.1, ,75, ,30, ,46, ,57.4, ,3.1, ,74.6, ,84.2, 
182,7/9/2022,190,0.27, ,0, ,736, ,15.7, ,94.2, ,65.8, ,80.0, ,69, ,29, ,45, ,56.6, ,3.4, ,80.7, ,84.1, 
182,7/10/2022,191,0.27, ,0, ,745,R,15.5, ,96.0, ,63.8, ,80.0, ,75, ,23, ,44, ,56.3, ,2.8, ,66.4, ,84.1, 
182,7/11/2022,192,0.29, ,0, ,734, ,15.9, ,100.6, ,67.0, ,84.3, ,71, ,22, ,40, ,57.0, ,2.9, ,69.0, ,84.8, 
182,7/12/2022,193,0.30, ,0, ,719, ,14.1, ,100.9, ,68.1, ,84.1, ,67, ,23, ,35, ,53.7, ,3.5, ,83.5, ,86.1, 
182,7/13/2022,194,0.28, ,0, ,732, ,16.1, ,96.8, ,65.1, ,81.2, ,69, ,27, ,44, ,57.3, ,3.0, ,71.8, ,85.5, 
182,7/14/2022,195,0.28, ,0, ,699, ,17.9, ,99.1, ,65.9, ,82.8, ,75, ,28, ,47, ,60.4, ,2.9, ,70.2, ,85.6, 
182,7/15/2022,196,0.28, ,0, ,704, ,16.6, ,99.7, ,69.0, ,84.4, ,68, ,24, ,41, ,58.2, ,2.8, ,67.3, ,86.8, 
182,7/16/2022,197,0.28, ,0, ,704, ,18.0, ,101.6, ,69.0, ,86.0, ,70, ,24, ,42, ,60.5, ,2.7, ,63.9, ,87.0, 
182,7/17/2022,198,0.29, ,0, ,677, ,16.7, ,107.4, ,70.8, ,89.0, ,72, ,19, ,36, ,58.3, ,3.0, ,73.0, ,87.5, 
182,7/18/2022,199,0.28, ,0, ,585, ,13.4, ,102.5, ,71.7, ,87.3, ,57, ,17, ,30, ,52.4, ,3.9, ,93.6, ,86.7, 
182,7/19/2022,200,0.30, ,0, ,710, ,13.2, ,102.3, ,71.1, ,86.6, ,50, ,18, ,30, ,51.9, ,3.1, ,75.2, ,87.5, 
182,7/20/2022,201,0.28, ,0, ,719, ,13.6, ,102.7, ,67.2, ,85.9, ,66, ,16, ,32, ,52.8, ,2.9, ,68.8, ,87.2, 
182,7/21/2022,202,0.28, ,0, ,722, ,13.5, ,100.9, ,66.8, ,84.4, ,64, ,15, ,33, ,52.5, ,2.7, ,65.4, ,87.1, 
182,7/22/2022,203,0.29, ,0, ,723, ,12.2, ,99.1, ,62.9, ,82.2, ,65, ,15, ,32, ,49.7, ,3.3, ,78.4, ,86.7, 
182,7/23/2022,204,0.27, ,0, ,719, ,12.2, ,100.0, ,61.6, ,81.7, ,69, ,14, ,33, ,49.7, ,2.5, ,59.9, ,85.7, 
182,7/24/2022,205,0.28, ,0, ,719, ,13.1, ,99.7, ,63.1, ,82.3, ,67, ,22, ,35, ,51.7, ,2.8, ,67.3, ,85.5, 
182,7/25/2022,206,0.29, ,0, ,707, ,12.6, ,100.1, ,65.2, ,83.4, ,57, ,19, ,32, ,50.7, ,3.2, ,76.6, ,85.6, 
182,7/26/2022,207,0.29, ,0, ,695, ,11.9, ,100.0, ,66.5, ,83.9, ,47, ,19, ,30, ,49.0, ,3.5, ,83.3, ,86.9, 
182,7/27/2022,208,0.28, ,0, ,681, ,13.5, ,98.3, ,66.2, ,83.3, ,60, ,19, ,35, ,52.5, ,3.0, ,71.6, ,86.1, 
182,7/28/2022,209,0.28, ,0, ,677, ,15.4, ,102.3, ,70.6, ,85.5, ,59, ,18, ,37, ,56.2, ,2.9, ,68.9, ,87.2, 
182,7/29/2022,210,0.27, ,0, ,652, ,16.7, ,103.0, ,71.1, ,86.9, ,65, ,21, ,38, ,58.4, ,2.7, ,64.3, ,88.3, 
182,7/30/2022,211,0.28, ,0, ,632, ,16.6, ,99.4, ,72.6, ,86.7, ,59, ,23, ,38, ,58.2, ,3.7, ,89.0, ,88.3,Y
182,7/31/2022,212,0.19, ,0, ,427, ,17.6, ,99.3, ,74.9,Y,85.6, ,63, ,27, ,42, ,59.9, ,2.8, ,66.4, ,87.4, 
