263,7/1/2022,182,0.08,R,0.00, ,320, ,14.5, ,63.7, ,54.1, ,56.9, ,99, ,82, ,92, ,54.5, ,4.1, ,97.8, ,61.5,Y
263,7/2/2022,183,0.05,R,0.01, ,241, ,14.6, ,60.7, ,54.1, ,56.6, ,100, ,85, ,93, ,54.7, ,3.8,Y,90.1,Y,61.2,Y
263,7/3/2022,184,0.06, ,0, ,259, ,14.3, ,62.5, ,46.5, ,56.9, ,99, ,80, ,91, ,54.2, ,2.8,Y,67.0,Y,61.2,Y
263,7/4/2022,185,0.08, ,0.04, ,299, ,16.1, ,69.0, ,43.4,Y,58.4, ,100, ,85, ,96, ,57.4, ,2.4,Y,56.4,Y,60.4,Y
263,7/5/2022,186,0.06,R,0.39, ,248, ,18.5,Y,67.0, ,59.6,Y,62.0, ,100, ,88, ,98,Y,61.3,Y,3.2,Y,77.4,Y,61.5,Y
263,7/6/2022,187,0.05, ,0.05, ,229, ,17.1, ,63.1, ,58.1, ,60.1, ,100, ,89, ,97, ,59.1, ,3.3,Y,78.9,Y,62.0,Y
263,7/7/2022,188,0.14, ,0.02, ,506, ,16.1, ,64.8, ,56.4, ,59.7, ,100, ,83, ,92, ,57.5, ,4.4, ,105.0, ,62.1,Y
263,7/8/2022,189,0.17, ,0, ,602, ,15.9, ,66.8, ,52.8, ,58.6, ,100, ,83, ,95, ,57.1, ,3.4,Y,81.1,Y,62.5,Y
263,7/9/2022,190,0.12, ,0, ,437, ,16.5, ,67.0, ,52.8, ,59.8, ,100, ,80, ,94, ,58.1, ,3.8,Y,90.5,Y,62.6,Y
263,7/10/2022,191,0.19, ,0, ,628, ,17.0, ,74.7,Y,50.8, ,62.7, ,100, ,68, ,87, ,58.9, ,3.2,Y,77.2,Y,62.9,Y
263,7/11/2022,192,0.22,R,0, ,701, ,16.9, ,78.1,Y,47.7, ,63.2, ,100, ,66, ,85, ,58.7, ,2.7,Y,65.9,Y,63.1, 
263,7/12/2022,193,0.19,R,0, ,672, ,16.4, ,67.3, ,50.5, ,59.8, ,100, ,82, ,93, ,57.9, ,3.8,Y,90.9,Y,63.3, 
263,7/13/2022,194,0.10, ,0.01, ,400, ,15.3, ,65.3, ,52.2, ,58.0, ,100, ,77, ,93, ,56.0, ,4.4, ,106.1, ,63.2,Y
263,7/14/2022,195,0.06, ,0, ,280, ,14.7, ,62.3, ,53.9, ,57.0, ,98, ,82, ,93, ,54.8, ,3.3,Y,78.1,Y,62.3,Y
263,7/15/2022,196,0.16, ,0, ,574, ,15.8, ,65.1, ,55.6, ,59.5, ,98, ,81, ,91, ,56.9, ,3.6,Y,86.3,Y,62.4,Y
263,7/16/2022,197,0.16, ,0, ,571, ,16.2, ,68.2, ,55.4, ,60.4, ,100, ,77, ,91, ,57.6, ,3.8,Y,91.0,Y,63.0,Y
263,7/17/2022,198,0.15, ,0, ,540, ,15.6, ,67.5, ,49.8, ,58.9, ,100, ,75, ,92, ,56.5, ,4.1, ,98.7, ,63.1,Y
263,7/18/2022,199,0.20, ,0, ,709, ,14.6, ,71.5, ,43.5,R,57.9, ,100, ,71, ,89, ,54.7, ,2.9,Y,70.0,Y,62.3,Y
263,7/19/2022,200,0.12, ,0.00, ,458, ,14.1, ,65.2, ,44.4,R,54.8, ,100, ,83, ,96, ,53.7, ,3.2,Y,77.1,Y,61.7,Y
263,7/20/2022,201,0.11, ,0, ,432, ,14.9, ,63.6, ,53.3, ,56.4, ,100, ,84, ,96, ,55.2, ,3.6,Y,85.8,Y,61.8,Y
263,7/21/2022,202,0.13, ,0.01, ,468, ,14.9, ,65.9, ,52.5, ,57.3, ,100, ,79, ,93, ,55.3, ,3.8,Y,91.1,Y,61.9,Y
263,7/22/2022,203,0.14, ,0.00, ,503, ,15.1, ,67.1, ,51.4, ,58.3, ,100, ,75, ,91, ,55.6, ,4.2, ,100.5, ,62.2,Y
263,7/23/2022,204,0.17, ,0, ,615, ,15.3, ,68.9, ,48.8, ,58.7, ,100, ,75, ,91, ,56.1, ,4.1, ,98.5, ,62.8,Y
263,7/24/2022,205,0.16, ,0.00, ,582, ,14.6, ,66.1, ,43.4,R,56.1, ,100, ,80, ,95, ,54.6, ,3.5,Y,83.1,Y,62.4,Y
263,7/25/2022,206,0.15, ,0, ,540, ,14.8, ,68.3, ,52.2, ,56.6, ,100, ,77, ,95, ,55.1, ,3.3,Y,79.6,Y,62.8,Y
263,7/26/2022,207,0.15, ,0.01, ,539, ,14.7, ,64.3, ,52.2, ,56.4, ,100, ,80, ,94, ,54.8, ,3.0,Y,71.5,Y,62.9,Y
263,7/27/2022,208,0.15,R,0.00, ,539, ,15.0, ,65.1, ,52.1, ,57.2, ,100, ,81, ,94, ,55.5, ,2.9,Y,70.5,Y,63.0,Y
263,7/28/2022,209,0.14, ,0, ,506, ,15.7, ,67.8, ,53.9, ,58.3, ,100, ,83, ,95, ,56.8, ,3.8,Y,90.5,Y,63.3,Y
263,7/29/2022,210,0.14, ,0, ,515, ,16.4, ,67.5, ,56.1, ,59.7, ,100, ,82, ,94, ,58.0, ,3.2,Y,75.6,Y,63.7, 
263,7/30/2022,211,0.11, ,0, ,401, ,16.8, ,68.5, ,56.8, ,60.6, ,100, ,83, ,93, ,58.6, ,3.7,Y,88.9,Y,63.9, 
263,7/31/2022,212,0.11, ,0, ,395, ,17.3, ,68.4, ,57.1, ,61.7, ,99, ,83, ,92, ,59.4, ,3.6,Y,86.8,Y,64.2, 
