35,7/1/2022,182,0.28, ,0, ,786,R,8.1, ,97.8, ,50.8, ,76.6, ,59, ,12, ,26, ,39.0, ,2.2, ,52.1, ,68.5, 
35,7/2/2022,183,0.31,R,0, ,773,R,8.1, ,93.0, ,51.8, ,76.2, ,53, ,12, ,26, ,38.9, ,4.0, ,95.6, ,68.7, 
35,7/3/2022,184,0.28,R,0, ,777,R,7.7, ,90.8, ,42.1, ,71.7, ,66, ,15, ,29, ,37.8, ,2.2, ,52.7, ,68.4, 
35,7/4/2022,185,0.29, ,0, ,767, ,8.3, ,89.8, ,46.2, ,74.2, ,66, ,17, ,29, ,39.6, ,3.4, ,80.5, ,68.3, 
35,7/5/2022,186,0.30, ,0, ,768,R,9.9, ,91.1, ,50.1, ,75.8, ,73, ,18, ,32, ,44.3, ,4.1, ,97.6, ,68.9, 
35,7/6/2022,187,0.32, ,0, ,763, ,9.9, ,91.2, ,53.1, ,77.5, ,73, ,18, ,31, ,44.2, ,4.9, ,117.0, ,69.7, 
35,7/7/2022,188,0.32, ,0, ,771,R,8.2, ,94.2, ,52.4, ,78.2, ,66, ,13, ,25, ,39.4, ,4.8, ,115.6, ,70.2, 
35,7/8/2022,189,0.32, ,0, ,760, ,8.6, ,96.3, ,47.8, ,79.1, ,67, ,14, ,25, ,40.5, ,4.7, ,111.9, ,70.4, 
35,7/9/2022,190,0.31, ,0, ,776,R,8.3, ,97.3, ,54.8, ,81.0, ,66, ,12, ,23, ,39.8, ,3.5, ,82.9, ,71.0, 
35,7/10/2022,191,0.31, ,0, ,772,R,7.3, ,98.6, ,52.6, ,80.3, ,61, ,9, ,21, ,36.3, ,3.5, ,83.3, ,71.2, 
35,7/11/2022,192,0.29, ,0, ,760, ,7.9, ,100.4, ,54.6, ,81.6, ,47, ,11, ,21, ,38.5, ,2.6, ,62.7, ,71.3, 
35,7/12/2022,193,0.32, ,0, ,728, ,9.3, ,101.6, ,55.5, ,82.4, ,64, ,13, ,25, ,42.7, ,3.8, ,90.6, ,71.7, 
35,7/13/2022,194,0.32, ,0, ,743, ,9.2, ,101.5, ,55.8, ,80.7, ,66, ,11, ,26, ,42.3, ,4.1, ,99.3, ,72.6, 
35,7/14/2022,195,0.26,R,0.09,H,654, ,11.5, ,100.7, ,52.7, ,78.7, ,67, ,19, ,34, ,48.3, ,3.3, ,79.3, ,70.3, 
35,7/15/2022,196,0.24, ,0, ,597, ,15.5, ,98.3, ,60.3, ,79.3, ,79, ,26, ,46, ,56.4, ,3.0, ,72.4, ,71.1, 
35,7/16/2022,197,0.27, ,0, ,629, ,14.9, ,101.0, ,58.1, ,79.1, ,78, ,23, ,44, ,55.2, ,3.1, ,75.2, ,71.5, 
35,7/17/2022,198,0.23, ,0, ,542, ,14.2, ,99.4, ,57.1, ,79.1, ,78, ,21, ,42, ,53.9, ,2.4, ,57.5, ,71.5, 
35,7/18/2022,199,0.22, ,0, ,517, ,14.4, ,95.3, ,58.3, ,77.6, ,72, ,24, ,44, ,54.2, ,3.0, ,71.9, ,71.4, 
35,7/19/2022,200,0.26, ,0, ,638, ,13.5, ,97.8, ,60.3, ,80.4, ,70, ,23, ,38, ,52.6, ,2.6, ,62.3, ,71.3, 
35,7/20/2022,201,0.24,R,0, ,607, ,14.7, ,99.3, ,59.8, ,80.3, ,72, ,23, ,42, ,54.9, ,1.8, ,43.4, ,71.5, 
35,7/21/2022,202,0.27,R,0, ,680, ,13.5, ,100.7, ,57.1, ,80.5, ,72, ,18, ,38, ,52.5, ,1.8, ,43.4, ,71.9, 
35,7/22/2022,203,0.28, ,0, ,741, ,10.9, ,101.9, ,56.4, ,81.8, ,71, ,12, ,29, ,46.8, ,2.0, ,47.9, ,72.2, 
35,7/23/2022,204,0.29,R,0, ,715, ,9.8, ,99.4, ,52.1, ,80.3, ,71, ,14, ,28, ,43.9, ,2.9, ,68.9, ,72.1, 
35,7/24/2022,205,0.29,R,0, ,685, ,9.9, ,101.2, ,53.4, ,79.6, ,63, ,16, ,29, ,44.2, ,2.6, ,63.6, ,72.0, 
35,7/25/2022,206,0.29, ,0, ,698, ,11.6, ,98.0, ,55.6, ,81.2, ,63, ,20, ,32, ,48.5, ,3.6, ,85.8, ,71.9, 
35,7/26/2022,207,0.16,R,0, ,398, ,16.9,Y,95.0, ,66.6,Y,78.1, ,74, ,31, ,51,Y,58.7,Y,2.1, ,50.4, ,72.6, 
35,7/27/2022,208,0.27, ,0, ,617, ,15.0, ,100.1, ,60.0, ,79.3, ,79, ,20, ,44, ,55.5, ,3.5, ,83.4, ,72.6, 
35,7/28/2022,209,0.26, ,0, ,652, ,14.2, ,102.2, ,57.6, ,81.6, ,81, ,18, ,39, ,54.0, ,2.2, ,53.7, ,72.8, 
35,7/29/2022,210,0.25,R,0, ,603, ,13.3, ,101.7, ,57.2, ,82.5, ,67, ,17, ,35, ,52.2, ,2.4, ,58.4, ,73.3, 
35,7/30/2022,211,0.28, ,0, ,636, ,14.4, ,99.8, ,67.8,Y,84.2, ,60, ,21, ,36, ,54.3, ,4.0, ,97.0, ,74.0, 
35,7/31/2022,212,0.15,R,0.12, ,381, ,18.4,Y,94.4, ,64.5,Y,73.9, ,96, ,35, ,65,Y,61.2,Y,2.3, ,56.4, ,74.0, 
