178,7/1/2022,182,0.21, ,0.13, ,698, ,12.3, ,69.3, ,51.8, ,57.0, ,93, ,49, ,77, ,50.0, ,8.6,Y,207.0,Y,66.8, 
178,7/2/2022,183,0.09, ,0.13, ,320, ,12.7, ,60.5, ,52.0, ,54.9, ,93, ,77, ,87, ,51.0, ,9.0,Y,214.8,Y,65.1,Y
178,7/3/2022,184,0.11, ,0.11, ,402, ,12.2, ,62.8, ,53.3, ,56.2, ,89, ,65, ,79, ,49.9, ,5.0, ,119.2, ,64.5,Y
178,7/4/2022,185,0.16, ,0.09, ,495, ,15.4, ,72.6, ,55.2, ,63.0, ,92, ,63, ,78, ,56.2, ,4.9, ,118.5, ,65.9,Y
178,7/5/2022,186,0.19, ,0, ,600, ,16.7,Y,71.7, ,61.0,Y,65.5, ,90, ,65, ,78,Y,58.4,Y,5.3, ,126.4, ,68.5, 
178,7/6/2022,187,0.12, ,0.11, ,396, ,14.3, ,67.6, ,58.0, ,62.3, ,85, ,64, ,74, ,54.1, ,4.7, ,113.9, ,68.1, 
178,7/7/2022,188,0.22, ,0.12, ,697, ,14.1, ,74.5, ,54.8, ,62.8, ,91, ,52, ,72, ,53.6, ,5.5, ,133.0, ,68.4, 
178,7/8/2022,189,0.25, ,0.13, ,742, ,14.1, ,77.6, ,53.9, ,63.8, ,92, ,44, ,70, ,53.7, ,5.8, ,138.4, ,69.1, 
178,7/9/2022,190,0.22, ,0.12, ,705, ,14.5, ,76.2, ,54.7, ,62.5, ,93, ,52, ,75, ,54.5, ,6.0, ,144.7, ,69.5, 
178,7/10/2022,191,0.28, ,0.09, ,742,R,13.7, ,92.9, ,55.9, ,72.9, ,93, ,21, ,50, ,52.9, ,4.9, ,118.7, ,70.4, 
178,7/11/2022,192,0.28, ,0.08, ,732, ,13.2, ,89.5, ,56.9, ,72.7, ,85, ,26, ,48, ,51.9, ,4.2, ,101.6, ,71.4, 
178,7/12/2022,193,0.22, ,0.12, ,703, ,14.8, ,75.1, ,56.4, ,63.1, ,91, ,53, ,75, ,55.0, ,4.8, ,114.7, ,71.3, 
178,7/13/2022,194,0.22, ,0.10, ,688, ,14.4, ,76.3, ,56.0, ,63.5, ,88, ,54, ,72, ,54.3, ,4.9, ,117.4, ,71.4, 
178,7/14/2022,195,0.24, ,0.12, ,711, ,14.0, ,78.2, ,55.1, ,63.6, ,91, ,46, ,70, ,53.5, ,6.9, ,164.6, ,70.4, 
178,7/15/2022,196,0.23, ,0.12, ,709, ,13.5, ,74.9, ,54.2, ,61.7, ,89, ,50, ,72, ,52.5, ,7.2, ,172.0, ,69.7, 
178,7/16/2022,197,0.27, ,0.09,H,723, ,13.5, ,91.3, ,51.9, ,69.1, ,93, ,23, ,55, ,52.5, ,5.6, ,134.2, ,69.7, 
178,7/17/2022,198,0.27, ,0.16, ,720, ,13.7, ,83.5, ,56.0, ,68.6, ,86, ,35, ,57, ,53.0, ,6.4, ,154.4, ,70.4, 
178,7/18/2022,199,0.27, ,0.06, ,719, ,11.7, ,88.2, ,59.8, ,71.2, ,76, ,16, ,45, ,48.6, ,5.7, ,135.7, ,70.8, 
178,7/19/2022,200,0.26, ,0.09, ,737,R,12.1, ,83.4, ,53.8, ,66.4, ,87, ,21, ,54, ,49.5, ,5.9, ,140.7, ,70.5, 
178,7/20/2022,201,0.24, ,0.07, ,709, ,12.7, ,84.1, ,52.8, ,63.5, ,92, ,29, ,64, ,50.9, ,7.1, ,170.6, ,69.9, 
178,7/21/2022,202,0.24, ,0.20, ,709, ,12.9, ,80.1, ,51.7, ,62.4, ,93, ,39, ,67, ,51.2, ,7.0, ,168.5, ,69.4, 
178,7/22/2022,203,0.25, ,0.15, ,723, ,12.7, ,83.7, ,54.0, ,63.7, ,90, ,30, ,63, ,50.8, ,7.3, ,174.9, ,69.0, 
178,7/23/2022,204,0.23, ,0.20, ,703, ,12.3, ,78.4, ,51.3, ,62.3, ,93, ,37, ,64, ,49.9, ,6.9, ,165.3, ,68.7, 
178,7/24/2022,205,0.24, ,0.12, ,709, ,13.1, ,81.1, ,52.8, ,63.1, ,93, ,38, ,67, ,51.7, ,6.0, ,144.5, ,69.0, 
178,7/25/2022,206,0.21, ,0.08, ,677, ,13.5, ,72.6, ,52.8, ,60.4, ,92, ,54, ,76, ,52.6, ,5.4, ,129.9, ,69.5, 
178,7/26/2022,207,0.22, ,0.12, ,698, ,13.9, ,74.8, ,56.1, ,62.4, ,91, ,49, ,72, ,53.4, ,4.9, ,118.2, ,69.9, 
178,7/27/2022,208,0.22, ,0.07, ,675, ,13.5, ,78.3, ,55.5, ,63.7, ,90, ,40, ,67, ,52.6, ,4.8, ,115.7, ,70.1, 
178,7/28/2022,209,0.18, ,0.13, ,578, ,14.3, ,74.6, ,54.2, ,60.0, ,94, ,57, ,81, ,54.2, ,8.1,Y,195.3,Y,68.6, 
178,7/29/2022,210,0.18, ,0.12, ,576, ,15.0, ,72.3, ,56.3, ,60.9, ,93, ,61, ,82, ,55.4, ,9.1,R,217.3,R,67.9, 
178,7/30/2022,211,0.19, ,0.13, ,592, ,15.1, ,70.9, ,57.3, ,61.4, ,91, ,65, ,81, ,55.7, ,8.3,Y,198.1,Y,67.9, 
178,7/31/2022,212,0.11, ,0.08, ,365, ,15.2, ,71.6, ,57.9, ,63.1, ,91, ,60, ,77, ,55.8, ,5.8, ,140.0, ,67.6, 
