254,7/1/2022,182,0.20,R,0.10, ,670, ,13.8, ,65.8, ,53.7, ,58.0, ,95, ,68, ,84, ,53.2, ,5.3, ,127.2, ,68.5, 
254,7/2/2022,183,0.05,R,0.16, ,242, ,13.9, ,60.8, ,54.0, ,57.0, ,95, ,80, ,88, ,53.4, ,1.0,Y,25.1,Y,67.6,Y
254,7/3/2022,184,0.12,R,0.13, ,415, ,13.6, ,64.8, ,54.7, ,58.2, ,93, ,67, ,82, ,52.8, ,4.2, ,99.8, ,66.8,Y
254,7/4/2022,185,0.17, ,0.11, ,503, ,17.1, ,74.2, ,56.6, ,64.8, ,95, ,66, ,82, ,59.1, ,5.4, ,129.8, ,67.4,Y
254,7/5/2022,186,0.20, ,0.10, ,598, ,18.6,Y,73.7, ,62.4,Y,67.1, ,95, ,66, ,82,Y,61.5,Y,6.0, ,144.2, ,68.9, 
254,7/6/2022,187,0.20, ,0.13, ,604, ,16.5, ,72.0, ,59.4, ,64.9, ,93, ,67, ,79, ,58.1, ,7.3,R,175.3,R,69.3, 
254,7/7/2022,188,0.19, ,0.14, ,606, ,15.4, ,71.2, ,55.9, ,61.9, ,94, ,63, ,81, ,56.1, ,6.0, ,143.0, ,69.2, 
254,7/8/2022,189,0.22, ,0.12, ,721, ,15.5, ,70.7, ,54.1, ,62.0, ,96, ,65, ,82, ,56.4, ,5.5, ,132.3, ,68.8, 
254,7/9/2022,190,0.18,R,0.13, ,605, ,15.7, ,70.4, ,55.7, ,61.6, ,96, ,66, ,84, ,56.7, ,5.1, ,121.8, ,69.2, 
254,7/10/2022,191,0.24, ,0.09, ,705, ,16.9, ,84.5, ,57.2, ,67.6, ,96, ,46, ,73, ,58.7, ,4.7, ,112.4, ,69.7, 
254,7/11/2022,192,0.24, ,0.10, ,723, ,16.6, ,76.9, ,54.2, ,65.0, ,96, ,58, ,79, ,58.3, ,6.3,Y,151.6,Y,69.8, 
254,7/12/2022,193,0.21, ,0.07, ,629, ,16.5, ,71.5, ,57.7, ,63.5, ,97, ,68, ,83, ,58.1, ,7.4,R,177.1,R,70.1, 
254,7/13/2022,194,0.22, ,0.14, ,668, ,16.0, ,71.3, ,56.4, ,63.4, ,93, ,66, ,80, ,57.3, ,7.0,Y,166.9,Y,70.1, 
254,7/14/2022,195,0.21, ,0.11, ,683, ,15.1, ,70.2, ,54.9, ,61.9, ,95, ,64, ,80, ,55.7, ,5.7, ,136.6, ,70.0, 
254,7/15/2022,196,0.21, ,0.09, ,695, ,14.8, ,69.7, ,55.2, ,60.7, ,94, ,66, ,82, ,55.1, ,5.5, ,133.1, ,69.7, 
254,7/16/2022,197,0.23,R,0.07, ,679, ,15.5, ,78.0, ,54.9, ,63.6, ,96, ,52, ,77, ,56.3, ,4.5, ,107.6, ,69.9, 
254,7/17/2022,198,0.22, ,0.12, ,701, ,15.3, ,71.3, ,52.2, ,62.8, ,96, ,62, ,78, ,56.0, ,5.2, ,125.5, ,69.6, 
254,7/18/2022,199,0.24, ,0.09, ,699, ,15.2, ,77.0, ,55.4, ,64.5, ,94, ,53, ,74, ,55.8, ,6.0,Y,144.7,Y,69.8, 
254,7/19/2022,200,0.20, ,0.12, ,667, ,14.7, ,69.4, ,53.6, ,59.7, ,97, ,64, ,84, ,54.8, ,6.6,Y,159.6,Y,69.4,Y
254,7/20/2022,201,0.20, ,0.11, ,668, ,14.6, ,70.4, ,54.2, ,59.6, ,96, ,63, ,83, ,54.6, ,6.3,Y,152.0,Y,69.5,Y
254,7/21/2022,202,0.19, ,0.11, ,653, ,14.3, ,68.6, ,53.1, ,59.2, ,96, ,65, ,83, ,54.1, ,5.1, ,123.5, ,69.5,Y
254,7/22/2022,203,0.21, ,0.14, ,704, ,14.5, ,72.7, ,52.8, ,60.9, ,97, ,58, ,80, ,54.6, ,5.2, ,124.4, ,69.1,Y
254,7/23/2022,204,0.20, ,0.10, ,663, ,14.1, ,69.6, ,53.0, ,58.9, ,97, ,63, ,83, ,53.7, ,6.8,R,162.7,R,69.1,Y
254,7/24/2022,205,0.20, ,0.09, ,656, ,14.8, ,72.7, ,53.4, ,60.1, ,97, ,63, ,83, ,55.1, ,7.1,R,170.8,R,69.1,Y
254,7/25/2022,206,0.18, ,0.15, ,574, ,15.1, ,68.7, ,55.2, ,60.4, ,96, ,67, ,84, ,55.6, ,7.4,R,178.7,R,69.1,Y
254,7/26/2022,207,0.21, ,0.11, ,647, ,15.9, ,70.3, ,58.0, ,62.4, ,95, ,67, ,83, ,57.0, ,7.8,R,186.9,R,69.5,Y
254,7/27/2022,208,0.19, ,0.08,H,612, ,15.6, ,70.3, ,55.8, ,61.6, ,97, ,65, ,83, ,56.6, ,6.9,R,166.7,R,69.6,Y
254,7/28/2022,209,0.13, ,0.15,H,449, ,15.5, ,67.6, ,55.7, ,59.8, ,96, ,74, ,88, ,56.3, ,6.3,Y,151.7,Y,69.1,Y
254,7/29/2022,210,0.17, ,0.09, ,560, ,16.3, ,69.2, ,58.0, ,61.9, ,96, ,73, ,86, ,57.8, ,6.6,R,157.4,R,69.2,Y
254,7/30/2022,211,0.16, ,0.14, ,521, ,16.8, ,69.2, ,59.2, ,62.7, ,96, ,74, ,86, ,58.5, ,6.6,R,158.9,R,69.4,Y
254,7/31/2022,212,0.11, ,0.10, ,361, ,16.8, ,69.2, ,58.7, ,63.1, ,96, ,76, ,85, ,58.6, ,6.2,Y,147.7,Y,69.2,Y
