250,11/1/2021,305,0.02, ,0.01, ,96, ,15.5, ,62.6, ,54.8, ,57.8, ,99, ,84, ,95, ,56.3, ,6.7, ,161.4, ,60.2, 
250,11/2/2021,306,0.08, ,0, ,312, ,14.1, ,72.6, ,49.8, ,58.3, ,99, ,57, ,85, ,53.7, ,3.4, ,81.9, ,60.2, 
250,11/3/2021,307,0.08, ,0, ,318, ,13.5, ,72.9, ,46.9, ,59.2, ,99, ,54, ,79, ,52.6, ,3.6, ,85.2, ,59.9, 
250,11/4/2021,308,0.10, ,0, ,304, ,13.5, ,73.7, ,48.3, ,61.3, ,99, ,46, ,73, ,52.6, ,6.8, ,162.7, ,60.5, 
250,11/5/2021,309,0.04, ,0, ,186, ,12.6, ,63.6, ,43.8, ,53.4, ,100, ,70, ,90, ,50.6, ,2.7, ,65.5, ,59.6, 
250,11/6/2021,310,0.01, ,0.01, ,89, ,12.9, ,59.4, ,46.3, ,52.0, ,99, ,86, ,97, ,51.3, ,4.0, ,97.1, ,59.2, 
250,11/7/2021,311,0.09, ,0, ,326,R,8.3, ,64.8, ,38.7, ,49.6, ,95, ,37, ,68, ,39.7, ,4.5, ,107.5, ,58.2, 
250,11/8/2021,312,0.06, ,0.49, ,254, ,9.2, ,62.0, ,36.7, ,50.1, ,99, ,47, ,75, ,42.5, ,2.8, ,66.1, ,57.0, 
250,11/9/2021,313,0.05, ,0.23, ,210, ,14.3, ,60.1, ,49.6, ,55.2, ,99, ,89, ,96, ,54.1, ,11.0,Y,265.0,Y,57.1, 
250,11/10/2021,314,0.07, ,0, ,281, ,13.5, ,67.9, ,48.6, ,56.8, ,99, ,62, ,86, ,52.6, ,4.2, ,100.2, ,57.9, 
250,11/11/2021,315,0.08, ,0, ,297, ,13.7, ,77.3, ,47.4, ,59.2, ,99, ,52, ,80, ,52.9, ,3.3, ,79.1, ,58.0, 
250,11/12/2021,316,0.03, ,0.01, ,157, ,14.0, ,62.7, ,47.3, ,53.5, ,99, ,97, ,100, ,53.5, ,2.7, ,64.0, ,58.0, 
250,11/13/2021,317,0.05, ,0.01, ,221, ,14.0, ,67.7, ,49.1, ,54.8, ,100, ,69, ,95, ,53.6, ,2.5, ,59.5, ,58.7, 
250,11/14/2021,318,0.01, ,0.00, ,76, ,13.8, ,55.5, ,50.9, ,53.2, ,99, ,99, ,99, ,53.1, ,2.3, ,56.2, ,58.8, 
250,11/15/2021,319,0, ,0.01, ,41, ,13.3, ,53.1, ,51.3, ,52.3, ,100, ,99, ,100, ,52.2, ,3.0, ,71.4, ,58.9, 
250,11/16/2021,320,0.08, ,0, ,261, ,11.6, ,69.7, ,46.1, ,56.5, ,99, ,39, ,75, ,48.5, ,5.3, ,127.9, ,58.8, 
250,11/17/2021,321,0.06, ,0, ,266, ,9.9, ,65.2, ,39.7, ,49.3, ,100, ,54, ,83, ,44.3, ,3.0, ,73.1, ,57.5, 
250,11/18/2021,322,0.01, ,0, ,88, ,11.9, ,56.2, ,40.2, ,49.1, ,100, ,99, ,100, ,49.2, ,2.4, ,57.0, ,56.5, 
250,11/19/2021,323,0.01, ,0.00, ,88, ,13.5, ,58.6, ,45.5, ,53.2, ,99, ,85, ,98, ,52.6, ,4.1, ,98.9, ,57.0, 
250,11/20/2021,324,0.13, ,0, ,284, ,8.4, ,68.1, ,43.2, ,56.2, ,99, ,36, ,55, ,40.1, ,9.8, ,234.8, ,56.5, 
250,11/21/2021,325,0.09, ,0, ,282, ,7.8, ,76.6, ,40.4, ,55.2, ,99, ,33, ,53, ,38.3, ,5.4, ,129.5, ,56.0, 
250,11/22/2021,326,0.06, ,0, ,279, ,8.6, ,69.3, ,34.8, ,48.4, ,99, ,39, ,74, ,40.6, ,2.5, ,59.9, ,54.9, 
250,11/23/2021,327,0.08, ,0, ,56, ,7.4, ,65.7, ,42.8, ,52.8, ,99, ,41, ,54, ,36.7, ,7.8, ,187.0, ,54.5, 
250,11/24/2021,328,0.13, ,0, ,272, ,6.0, ,66.2, ,39.2, ,53.1, ,66, ,29, ,44, ,31.6, ,9.9, ,238.2, ,53.9, 
250,11/25/2021,329,0.06, ,0, ,256, ,8.4, ,66.2, ,32.4, ,47.0, ,99, ,44, ,77, ,40.1, ,2.4, ,57.3, ,53.1, 
250,11/26/2021,330,0.06,R,0, ,239, ,9.6, ,70.3, ,36.0, ,51.5, ,100, ,36, ,74, ,43.4, ,1.8, ,42.1, ,53.2, 
250,11/27/2021,331,0.06, ,0, ,242, ,10.7, ,70.7, ,40.3, ,52.3, ,99, ,47, ,80, ,46.3, ,2.3, ,54.4, ,53.6, 
250,11/28/2021,332,0.06, ,0, ,241, ,11.6, ,73.2,Y,41.6, ,53.1, ,100, ,50, ,84, ,48.5, ,2.7, ,63.6, ,53.8, 
250,11/29/2021,333,0.06, ,0, ,250, ,11.7, ,78.0,Y,39.7, ,52.5, ,100, ,47, ,87, ,48.7, ,2.7, ,64.7, ,53.9, 
250,11/30/2021,334,0.06, ,0.00, ,251, ,10.8, ,77.9,Y,36.9, ,51.3, ,100, ,46, ,84, ,46.7, ,2.8, ,67.6, ,53.8, 
