253,11/1/2021,305,0.03, ,0.35, ,127, ,16.8, ,63.4, ,58.0,Y,60.4, ,99, ,87, ,94, ,58.6, ,3.6, ,87.2, ,60.3, 
253,11/2/2021,306,0.07, ,0.02, ,262, ,17.1, ,69.4, ,52.1, ,61.1, ,100, ,78, ,93, ,59.1, ,2.1, ,50.9, ,61.3, 
253,11/3/2021,307,0.09, ,0.00, ,336, ,14.8, ,72.6, ,47.9, ,58.1, ,99, ,70, ,89, ,55.0, ,2.4, ,57.4, ,60.1, 
253,11/4/2021,308,0.08, ,0.15, ,277, ,15.2, ,67.4, ,45.8, ,58.6, ,98, ,75, ,91, ,55.9, ,4.1, ,99.3, ,60.0, 
253,11/5/2021,309,0.08, ,0.00, ,291, ,12.2, ,65.5, ,45.0, ,53.8, ,99, ,62, ,86, ,49.8, ,3.5, ,83.2, ,57.8, 
253,11/6/2021,310,0.08, ,0.00, ,302, ,13.1, ,67.2, ,47.2, ,56.0, ,97, ,70, ,85, ,51.6, ,4.2, ,101.8, ,57.5, 
253,11/7/2021,311,0.09, ,0, ,334, ,9.7, ,63.0, ,38.4, ,51.5, ,94, ,47, ,75, ,43.7, ,4.7, ,112.7, ,56.1, 
253,11/8/2021,312,0.07, ,0.30, ,246, ,9.4, ,67.5, ,38.3, ,53.1, ,94, ,38, ,68, ,42.8, ,3.3, ,79.3, ,54.5, 
253,11/9/2021,313,0.02, ,0.23, ,118, ,15.6, ,64.5, ,52.8, ,58.2, ,97, ,87, ,94, ,56.5, ,3.0, ,72.2, ,56.5, 
253,11/10/2021,314,0.08, ,0, ,303, ,13.7, ,66.7, ,46.7, ,55.6, ,98, ,73, ,91, ,52.9, ,3.1, ,75.2, ,57.3, 
253,11/11/2021,315,0.09, ,0.00, ,317, ,12.8, ,76.3, ,44.1, ,55.3, ,98, ,55, ,86, ,51.1, ,2.9, ,70.7, ,56.0, 
253,11/12/2021,316,0.09, ,0.01, ,316, ,13.2, ,74.7, ,42.6, ,54.5, ,98, ,64, ,91, ,51.8, ,3.2, ,76.8, ,55.1, 
253,11/13/2021,317,0.09, ,0.00, ,318, ,12.7, ,84.0,Y,44.0, ,56.0, ,99, ,33, ,83, ,51.0, ,2.7, ,65.2, ,54.8, 
253,11/14/2021,318,0.08, ,0.01, ,307, ,12.5, ,76.9, ,44.2, ,56.2, ,98, ,50, ,81, ,50.4, ,2.1, ,50.0, ,54.6, 
253,11/15/2021,319,0.05, ,0, ,185, ,13.0, ,67.8, ,43.9, ,55.5, ,97, ,65, ,87, ,51.6, ,2.7, ,65.0, ,54.7, 
253,11/16/2021,320,0.05, ,0.00, ,209, ,14.4, ,67.7, ,43.6, ,55.9, ,98, ,74, ,94, ,54.2, ,4.3, ,103.8, ,56.4, 
253,11/17/2021,321,0.07, ,0.00, ,299, ,10.7, ,66.4, ,40.1, ,51.4, ,98, ,60, ,83, ,46.4, ,2.4, ,56.4, ,54.5, 
253,11/18/2021,322,0.02, ,0.01, ,117, ,12.1, ,60.3, ,41.2, ,50.8, ,97, ,86, ,95, ,49.5, ,2.0, ,48.3, ,53.4, 
253,11/19/2021,323,0.02, ,0.00, ,111, ,14.4, ,63.3, ,50.0, ,55.9, ,97, ,83, ,94, ,54.3, ,2.6, ,62.4, ,55.2, 
253,11/20/2021,324,0.08, ,0, ,304, ,12.0, ,70.6, ,39.6, ,55.9, ,96, ,46, ,78, ,49.3, ,3.5, ,83.8, ,55.8, 
253,11/21/2021,325,0.08, ,0.00, ,301, ,10.4, ,76.0, ,37.5, ,55.5, ,97, ,43, ,69, ,45.5, ,2.5, ,60.2, ,53.3, 
253,11/22/2021,326,0.08, ,0, ,304, ,9.0, ,76.3, ,39.5, ,53.9, ,88, ,28, ,63, ,41.8, ,2.4, ,57.1, ,52.5, 
253,11/23/2021,327,0.06, ,0, ,234, ,10.2, ,62.8, ,37.5, ,49.0, ,95, ,67, ,87, ,45.2, ,3.9, ,94.4, ,51.4, 
253,11/24/2021,328,0.08, ,0.00, ,298, ,7.1, ,71.0, ,32.4, ,47.9, ,97, ,22, ,62, ,35.6, ,3.0, ,73.2, ,50.1,Y
253,11/25/2021,329,0.07, ,0, ,285, ,8.8, ,69.7, ,34.2, ,49.0, ,90, ,44, ,74, ,41.1, ,2.4, ,57.3, ,49.0,Y
253,11/26/2021,330,0.07, ,0, ,289, ,9.6, ,73.0, ,38.6, ,52.2, ,93, ,47, ,72, ,43.6, ,3.0, ,72.1, ,49.6,Y
253,11/27/2021,331,0.07,R,0, ,275, ,10.1, ,79.7,Y,39.6, ,52.9, ,94, ,37, ,74, ,44.8, ,2.4, ,57.1, ,50.0, 
253,11/28/2021,332,0.07, ,0, ,272, ,11.1, ,73.1, ,42.3, ,53.1, ,96, ,48, ,80, ,47.2, ,2.2, ,52.8, ,50.5, 
253,11/29/2021,333,0.07, ,0, ,272, ,11.6, ,69.9, ,40.3, ,51.5, ,97, ,61, ,89, ,48.4, ,2.7, ,64.5, ,50.5, 
253,11/30/2021,334,0.06, ,0.00, ,276, ,10.9, ,70.4, ,37.2, ,49.8, ,98, ,62, ,89, ,46.9, ,2.3, ,54.1, ,50.8, 
