236,11/1/2021,305,0.00, ,0.19, ,51, ,9.1, ,49.3, ,36.8, ,44.4, ,100, ,80, ,92, ,42.2, ,3.1, ,75.6, ,46.9, 
236,11/2/2021,306,0.05, ,0.00, ,185, ,7.9, ,57.8, ,30.9, ,44.7, ,100, ,47, ,78, ,38.3, ,3.4, ,81.7, ,47.4, 
236,11/3/2021,307,0.07, ,0, ,214, ,7.3, ,66.7, ,27.5, ,44.7, ,100, ,31, ,73, ,36.4, ,6.2, ,147.6, ,46.2, 
236,11/4/2021,308,0.04, ,0.02, ,69, ,7.7, ,55.2, ,31.4, ,46.6, ,97, ,54, ,71, ,37.6, ,9.0,Y,216.1,Y,47.3, 
236,11/5/2021,309,0.01, ,0.22, ,64, ,7.2, ,44.2, ,29.2, ,37.5, ,100, ,80, ,95, ,36.0, ,2.8, ,67.3, ,44.4, 
236,11/6/2021,310,0.03, ,0.01, ,140, ,6.1, ,46.3, ,28.4, ,37.6, ,98, ,60, ,79, ,31.9, ,5.5, ,132.5, ,43.7, 
236,11/7/2021,311,0.05, ,0, ,265, ,4.6, ,50.3, ,20.9, ,31.7, ,100, ,41, ,77, ,25.2, ,2.1, ,50.6, ,41.6, 
236,11/8/2021,312,0.05, ,0.01, ,146, ,4.5, ,44.6, ,18.4, ,34.4, ,100, ,28, ,66, ,24.4, ,5.6, ,134.0, ,40.1, 
236,11/9/2021,313,0.06, ,0.02, ,194, ,6.4, ,54.3, ,28.0, ,42.5, ,100, ,42, ,69, ,33.0, ,6.5, ,155.5, ,41.8, 
236,11/10/2021,314,0.02, ,0, ,101, ,7.9, ,50.4, ,31.0, ,39.9, ,100, ,77, ,95, ,38.5, ,2.3, ,54.3, ,42.8, 
236,11/11/2021,315,0.06, ,0, ,235, ,8.7,Y,70.2, ,31.6, ,46.9, ,100, ,16, ,80,Y,41.0,Y,2.1, ,51.6, ,45.4, 
236,11/12/2021,316,0.06, ,0, ,231, ,5.0, ,70.8, ,25.8, ,42.2, ,100, ,1, ,55, ,27.0, ,1.9, ,44.4, ,44.9, 
236,11/13/2021,317,0.06, ,0, ,223, ,2.4,H,70.8, ,29.6, ,43.2, ,100,H,1,H,25, ,9.7, ,1.9, ,44.8, ,45.0, 
236,11/14/2021,318,0.06, ,0, ,220, ,0.1,Y,70.5, ,27.2, ,42.8, ,2,H,0,H,1,Y,-58.2,Y,2.3, ,56.2, ,44.8, 
236,11/15/2021,319,0.07, ,0.01, ,108, ,0.1,Y,62.7, ,28.1, ,42.8, ,1,H,0,H,1,Y,-61.0,Y,4.5, ,108.1, ,44.2, 
236,11/16/2021,320,0.06, ,0, ,235, ,0.1,Y,52.1, ,19.7, ,34.8, ,2,H,0,H,1,Y,-61.0,Y,3.0, ,72.6, ,43.5, 
236,11/17/2021,321,0.05, ,0, ,205, ,0.4,Y,49.6, ,13.1, ,28.7, ,75,H,1,H,7,Y,-28.2,Y,1.8, ,44.2, ,40.2, 
236,11/18/2021,322,0.06, ,0, ,71, ,2.6, ,51.8, ,25.1, ,38.5, ,100, ,1, ,32, ,11.5, ,5.1, ,122.5, ,39.4, 
236,11/19/2021,323,0.08, ,0, ,244, ,3.0, ,56.2, ,19.8, ,39.5, ,100, ,1, ,36, ,14.8, ,5.2, ,125.6, ,41.7, 
236,11/20/2021,324,0.05,R,0, ,225, ,1.9, ,56.2, ,13.0, ,29.2, ,100, ,0, ,34, ,4.7, ,1.6, ,39.1, ,39.7, 
236,11/21/2021,325,0.05, ,0, ,218, ,2.2,H,56.2, ,11.8, ,28.9, ,100,H,0,H,41, ,8.1, ,1.9, ,44.8, ,37.6, 
236,11/22/2021,326,0.05, ,0, ,222, ,3.3,H,57.3, ,11.7, ,30.4, ,98,H,1,H,58, ,17.6, ,1.9, ,46.2, ,36.5, 
236,11/23/2021,327,0.05, ,0, ,208, ,4.6, ,44.0, ,15.0, ,33.1, ,100, ,35, ,71, ,24.8, ,6.1, ,145.6, ,36.6, 
236,11/24/2021,328,0.04, ,0, ,205, ,1.8, ,49.7, ,9.6, ,26.0, ,100, ,0, ,37, ,3.2, ,1.8, ,42.5, ,35.8, 
236,11/25/2021,329,0.04, ,0, ,173, ,3.3, ,52.9, ,14.4, ,30.5, ,100, ,1, ,58, ,17.4, ,2.0, ,47.2, ,35.0, 
236,11/26/2021,330,0.04, ,0, ,167, ,4.3, ,61.1, ,21.1, ,37.8, ,100, ,5, ,55, ,23.2, ,2.4, ,58.6, ,35.3, 
236,11/27/2021,331,0.05, ,0, ,187, ,4.9, ,67.0,Y,27.7, ,40.8, ,100, ,1, ,56, ,26.5, ,2.1, ,51.3, ,37.6, 
236,11/28/2021,332,0.05,H,0, ,196, ,0.1,Y,70.5,Y,23.5, ,38.4, ,2,H,0,H,1,Y,-58.2,Y,1.9, ,46.6, ,38.7, 
236,11/29/2021,333,0.05, ,0, ,197, ,0.0,R,62.6,Y,16.4, ,33.5, ,1,H,0,H,--,R,--,I,2.3, ,54.0, ,38.1, 
236,11/30/2021,334,0.05, ,0.00, ,199, ,3.1,H,66.6,Y,--,S,35.1, ,95,H,0,H,45, ,15.9, ,1.9, ,46.7, ,37.2, 
