192,11/1/2021,305,0.07, ,0, ,247, ,7.9, ,59.5, ,32.2, ,48.3, ,87, ,52, ,68, ,38.4, ,5.2, ,123.6, ,49.1, 
192,11/2/2021,306,0.10, ,0.07, ,387, ,6.9, ,64.7, ,32.0, ,45.8, ,98, ,39, ,66, ,35.2, ,2.7, ,64.2, ,48.7, 
192,11/3/2021,307,0.10, ,0.00, ,387, ,6.8, ,69.2, ,31.4, ,46.5, ,98, ,27, ,63, ,34.6, ,2.4, ,58.7, ,48.2, 
192,11/4/2021,308,0.10, ,0, ,384, ,7.5, ,75.8, ,32.0, ,48.6, ,91, ,29, ,64, ,37.0, ,2.3, ,54.5, ,47.9, 
192,11/5/2021,309,0.12,R,0, ,393, ,6.6, ,71.9, ,29.3, ,51.1, ,96, ,27, ,52, ,34.0, ,3.3, ,79.2, ,47.8, 
192,11/6/2021,310,0.12, ,0, ,388, ,7.1, ,66.1, ,39.1, ,53.0, ,77, ,35, ,52, ,35.9, ,5.6, ,133.5, ,48.0, 
192,11/7/2021,311,0.10,R,0, ,383, ,6.3, ,64.8, ,30.2, ,48.5, ,91, ,24, ,54, ,32.8, ,4.5, ,108.8, ,47.9, 
192,11/8/2021,312,0.10, ,0, ,377, ,6.6, ,60.9, ,38.1, ,49.0, ,76, ,40, ,55, ,33.7, ,4.6, ,111.4, ,47.9, 
192,11/9/2021,313,0.11, ,0.04, ,349, ,6.3, ,61.8, ,36.2, ,50.1, ,100, ,20, ,51, ,32.9, ,4.7, ,113.4, ,47.9, 
192,11/10/2021,314,0.09, ,0.01, ,367, ,7.6, ,65.4, ,32.0, ,44.8, ,100, ,43, ,75, ,37.5, ,3.0, ,71.9, ,47.8, 
192,11/11/2021,315,0.11, ,0, ,366, ,6.9, ,65.8, ,30.5, ,50.8, ,99, ,35, ,54, ,34.9, ,5.1, ,121.7, ,47.2, 
192,11/12/2021,316,0.11, ,0, ,368, ,7.3, ,67.0, ,34.0, ,52.8, ,100, ,32, ,54, ,36.6, ,5.1, ,122.7, ,47.7, 
192,11/13/2021,317,0.08, ,0, ,367, ,12.0,R,69.5, ,28.3, ,45.6, ,100, ,100, ,--,R,--,I,2.4, ,58.3, ,47.2, 
192,11/14/2021,318,0.08, ,0.09, ,366, ,12.3,R,72.9, ,26.8, ,45.3, ,100, ,100, ,--,R,--,I,2.1, ,50.5, ,46.5, 
192,11/15/2021,319,0.08,R,0, ,361, ,13.0,R,71.8, ,29.4, ,47.8, ,100, ,100, ,--,R,--,I,3.0, ,72.7, ,46.1, 
192,11/16/2021,320,0.07, ,0, ,203, ,4.0, ,64.2, ,35.6, ,45.8, ,100, ,26, ,38, ,21.5, ,2.6, ,62.7, ,46.6, 
192,11/17/2021,321,0.08, ,0, ,320, ,3.4, ,64.1, ,28.7, ,43.3, ,48, ,20, ,36, ,18.1, ,2.0, ,48.2, ,46.1, 
192,11/18/2021,322,0.10,R,0, ,298, ,3.1, ,61.8, ,28.4, ,46.6, ,48, ,18, ,29, ,16.2, ,3.7, ,89.9, ,45.5, 
192,11/19/2021,323,0.10, ,0, ,296, ,3.0, ,61.6, ,35.6, ,49.6, ,42, ,18, ,25, ,15.3, ,4.2, ,100.6, ,45.6, 
192,11/20/2021,324,0.09,R,0, ,336, ,2.9, ,58.8, ,29.0, ,42.6, ,44, ,20, ,32, ,14.6, ,2.8, ,67.2, ,45.3, 
192,11/21/2021,325,0.10, ,0, ,351, ,2.4, ,55.6, ,25.6, ,42.9, ,43, ,16, ,26, ,10.2, ,4.7, ,112.5, ,44.7, 
192,11/22/2021,326,0.08, ,0, ,335, ,2.3, ,58.6, ,21.2, ,39.7, ,41, ,14, ,28, ,9.0, ,2.2, ,52.3, ,43.5, 
192,11/23/2021,327,0.10, ,0, ,326, ,2.7, ,57.3, ,29.7, ,45.8, ,43, ,16, ,25, ,12.3, ,4.3, ,103.5, ,43.8, 
192,11/24/2021,328,0.10, ,0, ,341, ,1.8, ,50.2, ,22.8, ,38.1, ,48, ,14, ,23, ,4.0, ,6.3, ,151.3, ,43.2, 
192,11/25/2021,329,0.11, ,0, ,344,R,1.2,Y,47.7, ,23.7, ,39.2, ,23, ,12, ,15,Y,-4.8,Y,8.4, ,201.8, ,42.1, 
192,11/26/2021,330,0.08, ,0, ,331, ,1.3, ,58.6, ,18.3, ,36.8, ,31, ,9, ,18, ,-2.8, ,3.5, ,83.7, ,41.0, 
192,11/27/2021,331,0.07, ,0, ,327, ,1.6, ,63.1, ,23.9, ,39.9, ,31, ,8, ,19, ,1.6, ,2.1, ,50.3, ,40.5, 
192,11/28/2021,332,0.07, ,0, ,324, ,2.0, ,64.4, ,27.3, ,41.3, ,43, ,10, ,23, ,6.4, ,2.1, ,50.0, ,40.7, 
192,11/29/2021,333,0.07,R,0, ,327, ,2.5, ,67.7, ,27.3, ,42.3, ,44, ,12, ,27, ,11.2, ,1.9, ,46.3, ,41.0, 
192,11/30/2021,334,0.09, ,0, ,326, ,2.4, ,65.7, ,26.4, ,43.2, ,41, ,13, ,25, ,10.0, ,3.4, ,81.4, ,40.9, 
