140,11/1/2021,305,0.01, ,0.11, ,89, ,17.5,Y,66.5, ,54.7, ,60.7, ,100, ,88, ,96,Y,59.7,Y,3.2, ,76.7, ,63.0, 
140,11/2/2021,306,0.06, ,0.02, ,222, ,17.7,Y,72.8, ,52.4, ,63.5, ,100, ,66, ,88,Y,60.0,Y,2.3, ,55.2, ,64.0, 
140,11/3/2021,307,0.09, ,0, ,329, ,15.1, ,78.1, ,49.3, ,61.4, ,100, ,50, ,81, ,55.6, ,1.6, ,37.8, ,63.3, 
140,11/4/2021,308,0.09, ,0.02, ,304, ,16.0, ,70.4, ,54.7, ,62.5, ,100, ,57, ,83, ,57.3, ,4.4, ,104.8, ,64.1, 
140,11/5/2021,309,0.08, ,0, ,281, ,13.9, ,67.4, ,51.2, ,59.5, ,100, ,53, ,80, ,53.4, ,5.6, ,133.3, ,62.8, 
140,11/6/2021,310,0.04, ,0, ,148, ,14.0, ,65.0, ,53.9, ,58.7, ,98, ,64, ,83, ,53.5, ,5.2, ,124.8, ,61.9, 
140,11/7/2021,311,0.09, ,0, ,335,R,9.3, ,66.4, ,43.4, ,54.9, ,89, ,34, ,63, ,42.7, ,4.1, ,98.3, ,60.7, 
140,11/8/2021,312,0.07,R,0.30, ,272, ,10.9, ,65.2, ,38.6, ,54.8, ,100, ,44, ,74, ,46.8, ,3.3, ,78.5, ,59.2, 
140,11/9/2021,313,0.04, ,0.36, ,139, ,14.8, ,65.4, ,52.1, ,57.8, ,100, ,78, ,90, ,55.1, ,10.0,Y,238.9,Y,59.1, 
140,11/10/2021,314,0.05, ,0.00, ,231, ,15.7,Y,70.4, ,50.3, ,59.1, ,100, ,66, ,92,Y,56.7,Y,2.7, ,65.2, ,60.3, 
140,11/11/2021,315,0.08, ,0, ,310, ,14.4, ,71.1, ,46.4, ,57.7, ,100, ,61, ,88, ,54.2, ,2.2, ,52.1, ,60.4, 
140,11/12/2021,316,0.02, ,0.02, ,149, ,14.3, ,64.3, ,46.9, ,54.0, ,100, ,92, ,100, ,54.1, ,1.8, ,43.2, ,59.6, 
140,11/13/2021,317,0.03, ,0.01, ,176, ,14.6, ,65.5, ,51.6, ,55.2, ,100, ,85, ,98, ,54.7, ,2.4, ,58.3, ,60.5, 
140,11/14/2021,318,0.00, ,0.00, ,59, ,14.6, ,57.8, ,52.9, ,54.7, ,100, ,100, ,100, ,54.7, ,2.3, ,56.2, ,60.4, 
140,11/15/2021,319,0.00, ,0, ,58, ,14.2, ,56.9, ,51.1, ,54.0, ,100, ,100, ,100, ,54.0, ,3.0, ,71.2, ,60.0, 
140,11/16/2021,320,0.04, ,0, ,180, ,14.0, ,68.8, ,45.6, ,55.3, ,100, ,63, ,94, ,53.5, ,3.4, ,82.4, ,59.8, 
140,11/17/2021,321,0.04, ,0.02, ,212, ,12.3, ,68.5, ,42.2, ,51.1, ,100, ,72, ,96, ,49.9, ,1.6, ,37.8, ,58.9, 
140,11/18/2021,322,0.02, ,0.01, ,128, ,12.8, ,59.3, ,40.5, ,50.9, ,100, ,95, ,100, ,51.1, ,1.9, ,44.8, ,57.7, 
140,11/19/2021,323,0.02, ,0, ,130, ,14.4, ,63.6, ,45.0, ,55.4, ,100, ,87, ,96, ,54.4, ,3.6, ,86.1, ,58.6, 
140,11/20/2021,324,0.08, ,0, ,298, ,10.5, ,69.6, ,45.5, ,56.8, ,98, ,41, ,67, ,45.8, ,3.9, ,93.0, ,59.3, 
140,11/21/2021,325,0.07, ,0, ,290, ,10.7, ,70.3, ,37.5, ,51.7, ,100, ,41, ,82, ,46.4, ,2.3, ,54.3, ,57.7, 
140,11/22/2021,326,0.06, ,0.01, ,275, ,11.1, ,68.3, ,38.6, ,50.2, ,100, ,61, ,90, ,47.4, ,2.0, ,47.1, ,56.6, 
140,11/23/2021,327,0.05, ,0.01, ,221, ,10.2, ,64.0, ,36.8, ,50.6, ,100, ,44, ,81, ,45.1, ,3.9, ,93.3, ,56.1, 
140,11/24/2021,328,0.11, ,0, ,291,R,6.7, ,67.7, ,39.8, ,54.1, ,100, ,28, ,47, ,34.3, ,7.2, ,174.0, ,55.3, 
140,11/25/2021,329,0.06, ,0, ,259, ,10.1, ,66.3, ,32.3, ,48.4, ,100, ,58, ,87, ,44.8, ,2.5, ,60.3, ,54.3, 
140,11/26/2021,330,0.06, ,0, ,270, ,10.0, ,70.7, ,39.0, ,51.0, ,100, ,36, ,79, ,44.7, ,2.1, ,50.1, ,54.8, 
140,11/27/2021,331,0.06, ,0, ,255, ,10.7, ,68.8, ,36.7, ,51.6, ,100, ,48, ,82, ,46.4, ,2.0, ,47.2, ,55.0, 
140,11/28/2021,332,0.06, ,0.00, ,258, ,11.5, ,70.1, ,42.5, ,52.7, ,100, ,52, ,85, ,48.2, ,2.4, ,58.0, ,55.2, 
140,11/29/2021,333,0.05, ,0.00, ,230, ,11.5, ,71.3, ,38.5, ,50.8, ,100, ,57, ,91, ,48.2, ,2.1, ,49.2, ,55.1, 
140,11/30/2021,334,0.05, ,0.01, ,241, ,11.5, ,70.2, ,38.1, ,50.3, ,100, ,62, ,92, ,48.2, ,2.0, ,48.0, ,55.1, 
