223,5/1/2022,121,0.20, ,0, ,644, ,14.8, ,75.7, ,55.2, ,64.4, ,92, ,54, ,72, ,55.1, ,2.8, ,67.4, ,68.2, 
223,5/2/2022,122,0.17, ,0, ,559, ,14.7, ,75.3, ,57.3, ,63.7, ,92, ,57, ,73, ,54.8, ,2.7, ,64.2, ,68.7, 
223,5/3/2022,123,0.19, ,0, ,616, ,14.6, ,74.5, ,57.0, ,64.4, ,86, ,58, ,71, ,54.6, ,2.7, ,63.9, ,69.0, 
223,5/4/2022,124,0.21, ,0, ,661, ,15.7, ,82.8, ,53.6, ,66.7, ,100, ,44, ,70, ,56.7, ,2.1,Y,50.4,Y,68.8, 
223,5/5/2022,125,0.22, ,0, ,663, ,15.6, ,80.6, ,55.9, ,67.3, ,100, ,38, ,68, ,56.4, ,2.5,Y,59.5,Y,69.4, 
223,5/6/2022,126,0.22, ,0, ,652, ,14.2, ,79.3, ,55.8, ,67.9, ,100, ,39, ,61, ,53.9, ,2.4,Y,58.6,Y,69.5, 
223,5/7/2022,127,0.20, ,0, ,633, ,15.5, ,77.2, ,59.0, ,66.1, ,94, ,52, ,71, ,56.4, ,2.9, ,69.6, ,70.0, 
223,5/8/2022,128,0.20, ,0, ,642, ,13.4, ,71.4, ,55.6, ,62.9, ,86, ,50, ,68, ,52.3, ,3.1, ,73.4, ,70.2, 
223,5/9/2022,129,0.21, ,0, ,655, ,8.8, ,71.1, ,48.7, ,60.3, ,95, ,32, ,49, ,41.3, ,2.4,Y,57.8,Y,68.3, 
223,5/10/2022,130,0.22, ,0, ,668, ,8.1, ,71.7, ,47.0, ,59.8, ,87, ,25, ,46, ,39.0, ,2.6,Y,62.0,Y,67.3, 
223,5/11/2022,131,0.25, ,0, ,693, ,5.4,Y,74.9, ,46.1, ,62.2, ,91, ,12, ,28,Y,29.2,Y,3.5, ,83.2, ,65.7, 
223,5/12/2022,132,0.26, ,0, ,688, ,6.0,Y,85.7, ,50.5, ,70.5, ,50, ,12, ,24,Y,31.6,Y,2.6,Y,62.0,Y,65.8, 
223,5/13/2022,133,0.27, ,0, ,677, ,7.4,Y,91.7, ,57.6, ,76.7,Y,56, ,15, ,24,Y,36.9,Y,2.1,R,50.9,R,67.7, 
223,5/14/2022,134,0.27, ,0, ,695, ,9.5, ,94.8, ,57.9, ,78.7,Y,53, ,13, ,28,Y,43.3,Y,2.0,R,48.9,R,69.5, 
223,5/15/2022,135,0.22, ,0, ,576, ,12.3, ,91.4, ,58.3, ,73.3, ,74, ,24, ,44, ,50.1, ,2.4,Y,56.7,Y,70.3, 
223,5/16/2022,136,0.21, ,0, ,659, ,16.1, ,77.1, ,57.0, ,66.4, ,92, ,56, ,72, ,57.3, ,3.0, ,71.2, ,70.3, 
223,5/17/2022,137,0.18, ,0, ,566, ,15.4, ,74.6, ,55.3, ,64.2, ,90, ,58, ,75, ,56.2, ,2.5,Y,60.2,Y,69.9, 
223,5/18/2022,138,0.17, ,0, ,533, ,16.4, ,77.6, ,56.1, ,65.4, ,98, ,54, ,77, ,58.0, ,2.6,Y,62.3,Y,69.5, 
223,5/19/2022,139,0.14, ,0, ,478, ,17.2, ,73.3, ,60.2, ,64.4, ,100, ,67, ,83, ,59.3, ,3.2, ,77.0, ,69.6, 
223,5/20/2022,140,0.08, ,0, ,300, ,16.0, ,72.4, ,57.9, ,63.1, ,100, ,62, ,81, ,57.2, ,3.0, ,71.6, ,69.4, 
223,5/21/2022,141,0.15, ,0, ,470, ,15.0, ,74.7, ,57.8, ,64.8, ,87, ,54, ,72, ,55.5, ,2.7,Y,64.7,Y,69.3, 
223,5/22/2022,142,0.21, ,0, ,676, ,14.8, ,75.1, ,53.6, ,63.9, ,98, ,50, ,73, ,55.1, ,2.7,Y,63.9,Y,69.4, 
223,5/23/2022,143,0.18, ,0, ,584, ,16.1, ,74.6, ,54.7, ,63.5, ,100, ,58, ,80, ,57.4, ,2.9, ,68.5, ,69.1, 
223,5/24/2022,144,0.22, ,0, ,675, ,17.1, ,79.7, ,60.8, ,68.2, ,95, ,53, ,72, ,59.0, ,2.7,Y,65.0,Y,70.6, 
223,5/25/2022,145,0.22, ,0, ,672, ,18.0, ,78.8, ,59.0, ,68.0, ,100, ,56, ,77, ,60.5, ,2.9, ,70.7, ,71.3, 
223,5/26/2022,146,0.21, ,0, ,649, ,17.4, ,78.5, ,59.3, ,67.1, ,100, ,55, ,77, ,59.6, ,2.8,Y,66.4,Y,71.6, 
223,5/27/2022,147,0.16, ,0, ,501, ,15.2, ,76.3, ,58.6, ,65.0, ,94, ,51, ,72, ,55.7, ,2.4,Y,57.9,Y,71.0, 
223,5/28/2022,148,0.08, ,0, ,291, ,15.1, ,72.2, ,57.5, ,63.3, ,94, ,60, ,76, ,55.5, ,2.6,Y,63.0,Y,69.9, 
223,5/29/2022,149,0.22, ,0, ,697, ,14.8, ,76.0, ,54.6, ,64.9, ,97, ,50, ,70, ,55.0, ,2.9, ,68.9, ,69.9, 
223,5/30/2022,150,0.23, ,0, ,697, ,14.8, ,76.9, ,56.7, ,65.5, ,100, ,45, ,69, ,55.1, ,3.0, ,70.8, ,70.4, 
223,5/31/2022,151,0.23, ,0, ,696, ,15.0, ,79.5, ,54.6, ,66.9, ,95, ,42, ,67, ,55.4, ,2.5,Y,60.8,Y,70.6, 
