214,5/1/2022,121,0.23, ,0, ,650, ,10.2, ,68.7, ,49.2, ,56.7, ,87, ,44, ,65, ,45.1, ,11.6,Y,277.2,Y,63.3, 
214,5/2/2022,122,0.22, ,0, ,647, ,10.1, ,66.0, ,45.0, ,54.4, ,89, ,50, ,70, ,44.7, ,11.9,Y,284.7,Y,63.5, 
214,5/3/2022,123,0.24, ,0, ,689, ,8.7,Y,77.1, ,41.2,Y,56.6, ,87, ,25, ,56,Y,41.0,Y,6.8, ,162.9, ,63.4, 
214,5/4/2022,124,0.23, ,0.00,H,678, ,10.4, ,79.8, ,43.4,Y,56.8, ,94, ,31, ,66, ,45.6, ,8.6, ,206.0, ,63.8, 
214,5/5/2022,125,0.20, ,0, ,542, ,10.6, ,74.9, ,47.5, ,56.2, ,96, ,40, ,69, ,46.2, ,8.9, ,212.5, ,63.6, 
214,5/6/2022,126,0.23, ,0, ,663, ,13.2, ,74.2, ,50.2, ,60.7, ,88, ,49, ,73, ,51.9, ,9.6, ,229.8, ,63.9, 
214,5/7/2022,127,0.21, ,0, ,595, ,11.1, ,65.9, ,48.1, ,56.9, ,91, ,52, ,70, ,47.2, ,10.5,Y,252.7,Y,64.7, 
214,5/8/2022,128,0.22, ,0, ,636, ,8.6,Y,63.7, ,44.3,Y,52.3, ,88, ,44, ,65,Y,40.8,Y,10.8,Y,260.2,Y,62.4, 
214,5/9/2022,129,0.22, ,0, ,691, ,7.5,R,63.1, ,40.8,R,51.2,Y,86,H,30,H,--,R,--,I,7.4, ,178.5, ,61.7, 
214,5/10/2022,130,0.21,R,0, ,673, ,7.8,Y,60.6, ,--,S,49.8,Y,82,H,40,H,64,Y,38.0,Y,7.5, ,179.3, ,61.5, 
214,5/11/2022,131,0.22, ,0, ,686, ,8.4,Y,63.9, ,--,S,51.5,H,87,H,42,H,64,Y,39.9,Y,9.1, ,219.1, ,61.8, 
214,5/12/2022,132,0.22, ,0, ,662, ,8.8,Y,65.4, ,39.3,R,53.7, ,87, ,41, ,62,Y,41.2,Y,9.1, ,218.5, ,62.4, 
214,5/13/2022,133,0.24, ,0, ,679, ,11.8, ,74.9, ,44.5,Y,59.5, ,89, ,46, ,68, ,49.0, ,9.0, ,214.8, ,63.5, 
214,5/14/2022,134,0.23, ,0, ,688, ,12.9, ,75.5, ,48.8, ,59.6, ,95, ,53, ,74, ,51.2, ,9.3, ,223.9, ,64.9, 
214,5/15/2022,135,0.21, ,0, ,652, ,12.6, ,66.9, ,50.0, ,57.1, ,96, ,63, ,79, ,50.7, ,10.8,Y,258.5,Y,65.8, 
214,5/16/2022,136,0.21, ,0, ,653, ,11.9, ,65.6, ,50.4, ,56.5, ,93, ,61, ,76, ,49.2, ,11.7,Y,281.0,Y,65.2, 
214,5/17/2022,137,0.22, ,0, ,674, ,10.8, ,64.0, ,49.3, ,54.9, ,89, ,57, ,74, ,46.6, ,13.1,R,313.2,R,64.1, 
214,5/18/2022,138,0.25, ,0, ,711, ,11.6, ,74.7, ,44.2,Y,60.0, ,92, ,40, ,66, ,48.5, ,9.3, ,222.6, ,64.9, 
214,5/19/2022,139,0.27, ,0, ,709, ,11.1, ,73.8, ,51.7, ,60.3, ,89, ,40, ,62, ,47.3, ,12.1,Y,291.4,Y,66.5, 
214,5/20/2022,140,0.27, ,0, ,725, ,8.6,Y,70.4, ,47.6, ,58.6, ,81, ,31, ,51,Y,40.6,Y,10.4,Y,250.1,Y,65.6, 
214,5/21/2022,141,0.23, ,0, ,713, ,10.7, ,73.2, ,44.0,Y,56.0, ,91, ,43, ,70, ,46.4, ,9.5, ,227.2, ,66.1, 
214,5/22/2022,142,0.22, ,0, ,675, ,10.9, ,67.4, ,44.4,Y,55.1, ,93, ,50, ,74, ,46.9, ,10.4, ,249.3, ,66.7, 
214,5/23/2022,143,0.25, ,0, ,710, ,11.2, ,73.3, ,48.1, ,57.8, ,91, ,44, ,69, ,47.5, ,11.2,Y,269.5,Y,67.1, 
214,5/24/2022,144,0.25,H,0, ,713, ,11.6, ,86.3,R,45.6, ,64.1,Y,91,H,35,H,57,Y,48.5,Y,6.3, ,151.2, ,68.6,Y
214,5/25/2022,145,0.24, ,0.01, ,683, ,12.7, ,74.2, ,51.1, ,59.3, ,93, ,49, ,73, ,50.9, ,9.3, ,223.5, ,68.7,Y
214,5/26/2022,146,0.15, ,0, ,458, ,12.9, ,66.1, ,51.6, ,56.8, ,94, ,65, ,82, ,51.4, ,9.7, ,232.7, ,67.1, 
214,5/27/2022,147,0.15, ,0, ,481, ,13.1, ,66.0, ,53.3, ,57.8, ,93, ,65, ,80, ,51.7, ,8.9, ,212.4, ,66.0, 
214,5/28/2022,148,0.22, ,0, ,661, ,12.9, ,72.7, ,51.2, ,59.3, ,96, ,50, ,75, ,51.3, ,9.6, ,230.1, ,66.5, 
214,5/29/2022,149,0.25, ,0, ,722, ,11.1, ,68.8, ,50.5, ,58.2, ,95, ,47, ,67, ,47.4, ,12.5,Y,299.9,Y,67.8, 
214,5/30/2022,150,0.24, ,0, ,728, ,10.4, ,67.0, ,49.0, ,55.6, ,86, ,53, ,69, ,45.6, ,13.6,R,326.3,R,67.1, 
214,5/31/2022,151,0.25, ,0, ,724, ,10.7, ,70.5, ,47.7, ,58.8, ,91, ,39, ,63, ,46.2, ,10.0, ,239.1, ,67.8, 
