136,5/1/2022,121,0.28, ,0, ,649, ,9.4, ,94.4, ,58.0, ,77.9, ,61, ,13, ,29, ,42.8, ,4.9, ,118.6, ,76.0,Y
136,5/2/2022,122,0.28, ,0, ,650, ,10.8, ,93.4, ,57.9, ,76.2, ,78, ,9, ,35, ,46.6, ,5.4, ,130.8, ,76.7,Y
136,5/3/2022,123,0.26, ,0, ,647, ,10.7, ,93.4, ,56.6, ,75.6, ,81, ,14, ,35, ,46.3, ,4.4, ,104.8, ,76.9,Y
136,5/4/2022,124,0.27, ,0, ,658, ,9.0, ,96.0, ,55.9, ,78.4, ,66, ,11, ,27, ,41.9, ,4.3, ,102.9, ,77.1,Y
136,5/5/2022,125,0.31, ,0, ,659, ,7.8, ,98.3, ,61.6, ,82.1, ,41, ,7, ,21, ,38.0, ,5.2, ,124.8, ,77.9,Y
136,5/6/2022,126,0.30, ,0, ,660, ,8.3, ,96.4, ,58.8, ,81.6, ,50, ,8, ,22, ,39.6, ,4.9, ,117.0, ,78.9,Y
136,5/7/2022,127,0.31, ,0, ,655, ,10.3, ,99.3, ,65.1, ,82.3, ,44, ,8, ,27, ,45.3, ,6.8, ,162.2, ,79.8,Y
136,5/8/2022,128,0.31, ,0, ,617, ,10.8, ,88.8, ,64.5, ,75.3, ,58, ,16, ,36, ,46.7, ,9.5,R,227.6,R,79.7,Y
136,5/9/2022,129,0.25, ,0, ,660, ,9.9, ,83.6, ,54.0, ,68.1, ,81, ,16, ,42, ,44.2, ,6.6, ,157.6, ,77.6, 
136,5/10/2022,130,0.29, ,0, ,690, ,6.3, ,85.0, ,56.5, ,71.3, ,53, ,11, ,24, ,32.7, ,6.6, ,158.2, ,74.2, 
136,5/11/2022,131,0.27, ,0, ,687, ,5.3, ,80.8, ,53.9, ,67.9, ,47, ,12, ,23, ,28.7, ,6.2, ,149.4, ,73.7, 
136,5/12/2022,132,0.26, ,0, ,691, ,5.9, ,87.8, ,49.8,Y,70.6, ,51, ,9, ,23, ,31.0, ,4.6, ,110.0, ,73.8, 
136,5/13/2022,133,0.28, ,0, ,688, ,7.0, ,98.8, ,54.3, ,79.1, ,41, ,7, ,21, ,35.5, ,3.9, ,93.8, ,74.6, 
136,5/14/2022,134,0.31, ,0, ,691, ,7.4, ,103.8, ,62.8, ,84.6, ,41, ,6, ,18, ,36.9, ,4.8, ,114.8, ,76.8, 
136,5/15/2022,135,0.34, ,0, ,664, ,7.0, ,104.6, ,67.3, ,88.5, ,31, ,6, ,15, ,35.5, ,6.0, ,143.2, ,78.8, 
136,5/16/2022,136,0.32, ,0, ,675, ,9.4, ,102.0, ,63.5, ,85.9, ,41, ,10, ,22, ,43.0, ,5.7, ,135.6, ,80.0, 
136,5/17/2022,137,0.30, ,0, ,685, ,11.8, ,99.0, ,65.8, ,82.8, ,53, ,12, ,31, ,48.8, ,5.4, ,129.2, ,80.9,Y
136,5/18/2022,138,0.30, ,0, ,667, ,12.8, ,95.9, ,65.2, ,81.4, ,61, ,17, ,35, ,51.1, ,5.1, ,121.8, ,79.5, 
136,5/19/2022,139,0.29, ,0, ,676, ,14.1, ,95.1, ,66.6, ,81.4, ,72, ,21, ,38, ,53.7, ,4.8, ,115.7, ,80.3, 
136,5/20/2022,140,0.29, ,0, ,656, ,13.9, ,91.5, ,62.0, ,76.3, ,71, ,26, ,45, ,53.3, ,6.2, ,148.9, ,81.0, 
136,5/21/2022,141,0.29, ,0, ,673, ,12.8, ,89.6, ,59.3, ,76.4, ,71, ,21, ,41, ,51.1, ,5.8, ,138.4, ,80.2, 
136,5/22/2022,142,0.29, ,0, ,668, ,13.6, ,93.6, ,60.4, ,78.8, ,70, ,24, ,40, ,52.7, ,5.3, ,128.1, ,80.7, 
136,5/23/2022,143,0.30, ,0, ,665, ,13.2, ,95.6, ,63.5, ,81.4, ,62, ,14, ,36, ,51.9, ,5.1, ,122.6, ,81.5, 
136,5/24/2022,144,0.31, ,0.02,H,688, ,13.7, ,97.5, ,65.0, ,82.9, ,60, ,18, ,36, ,53.0, ,5.2, ,125.6, ,81.9,Y
136,5/25/2022,145,0.33, ,0, ,691, ,14.1, ,99.5, ,64.4, ,85.1, ,73, ,18, ,34, ,53.6, ,6.0, ,144.9, ,79.9, 
136,5/26/2022,146,0.32, ,0.05,H,699, ,13.1, ,101.6, ,65.6, ,85.6, ,57, ,13, ,31, ,51.7, ,5.5, ,131.5, ,79.7, 
136,5/27/2022,147,0.30, ,0.03,H,675, ,12.9, ,100.2, ,67.4, ,83.2, ,57, ,15, ,33, ,51.4, ,5.3, ,126.5, ,78.7, 
136,5/28/2022,148,0.32, ,0, ,660, ,13.8, ,95.6, ,67.3, ,80.8, ,56, ,21, ,39, ,53.2, ,8.3,Y,198.3,Y,77.4, 
136,5/29/2022,149,0.33, ,0, ,662, ,12.8, ,94.8, ,67.7, ,80.1, ,56, ,19, ,36, ,51.1, ,9.0,R,216.2,R,76.5, 
136,5/30/2022,150,0.32, ,0, ,704, ,10.6, ,96.6, ,57.9, ,81.4, ,69, ,10, ,29, ,46.0, ,6.4, ,153.9, ,78.0, 
136,5/31/2022,151,0.29, ,0, ,710, ,11.3, ,98.0, ,63.3, ,81.8, ,57, ,11, ,30, ,47.7, ,4.2, ,100.2, ,79.1, 
