163,5/1/2022,121,0.20, ,0, ,602, ,8.9, ,78.5, ,40.4, ,59.0, ,92, ,27, ,52, ,41.5, ,3.6, ,85.3, ,--,S
163,5/2/2022,122,0.20, ,0, ,604, ,8.5, ,77.8, ,39.1, ,57.7, ,93, ,23, ,52, ,40.3, ,3.3, ,80.1, ,--,S
163,5/3/2022,123,0.21, ,0, ,606, ,7.2, ,80.6, ,38.7, ,59.3, ,90, ,18, ,41, ,36.0, ,3.1, ,74.6, ,--,S
163,5/4/2022,124,0.21, ,0, ,610, ,8.1, ,84.4, ,39.0, ,60.9, ,88, ,21, ,45, ,39.1, ,2.6, ,61.4, ,--,S
163,5/5/2022,125,0.21, ,0, ,589, ,8.8, ,80.6, ,39.3, ,60.1, ,89, ,21, ,49, ,41.1, ,2.6, ,62.7, ,--,S
163,5/6/2022,126,0.20, ,0, ,577, ,10.4, ,80.2, ,42.6, ,62.1, ,84, ,32, ,55, ,45.7, ,3.0, ,73.0, ,--,S
163,5/7/2022,127,0.20, ,0, ,589, ,9.9, ,76.0, ,48.0, ,60.5, ,92, ,28, ,55, ,44.3, ,4.8,Y,115.2,Y,--,S
163,5/8/2022,128,0.19, ,0, ,566, ,6.8, ,67.2, ,40.6, ,53.7, ,82, ,25, ,48, ,34.6, ,5.7,R,137.1,R,--,S
163,5/9/2022,129,0.17, ,0, ,576, ,6.6, ,61.8, ,39.2, ,49.6, ,82, ,29, ,54, ,33.8, ,4.4, ,106.4, ,--,S
163,5/10/2022,130,0.17, ,0, ,558, ,6.6,Y,62.2, ,36.8, ,50.0, ,86, ,37, ,53,Y,33.8,Y,4.1, ,99.3, ,--,S
163,5/11/2022,131,0.18, ,0, ,591, ,6.6,Y,65.2, ,32.0,Y,51.4, ,92, ,30, ,51,Y,33.8,Y,4.0, ,96.8, ,--,S
163,5/12/2022,132,0.20, ,0, ,556, ,6.6,Y,76.3, ,35.7, ,57.5, ,91, ,18, ,41,Y,33.8,Y,4.0, ,96.9, ,--,S
163,5/13/2022,133,0.23, ,0, ,582, ,8.6, ,84.9, ,47.8, ,66.3, ,70, ,21, ,39, ,40.7, ,4.5, ,107.4, ,--,S
163,5/14/2022,134,0.23, ,0, ,577, ,11.6, ,90.9, ,56.5,Y,72.3,Y,73, ,22, ,43,Y,48.5,Y,3.6, ,85.8, ,--,S
163,5/15/2022,135,0.20, ,0, ,533, ,11.3, ,86.0, ,52.8, ,69.0, ,77, ,26, ,47, ,47.7, ,3.2, ,75.8, ,--,S
163,5/16/2022,136,0.21, ,0, ,589, ,10.2, ,80.8, ,48.5, ,63.8, ,81, ,29, ,51, ,45.1, ,3.2, ,77.3, ,--,S
163,5/17/2022,137,0.21, ,0, ,595, ,8.9, ,82.4, ,41.4, ,63.1, ,94, ,15, ,45, ,41.4, ,3.3, ,78.5, ,--,S
163,5/18/2022,138,0.23, ,0, ,591, ,9.2, ,93.1, ,47.7, ,70.4,H,82,H,15,H,36, ,42.4, ,3.5, ,83.7, ,--,S
163,5/19/2022,139,0.25, ,0, ,590, ,10.1, ,93.9, ,52.9, ,72.9,Y,74, ,19, ,36,Y,44.8,Y,3.7, ,88.0, ,--,S
163,5/20/2022,140,0.20, ,0, ,599, ,9.1, ,74.8, ,45.2, ,59.8, ,85, ,25, ,52, ,42.2, ,3.3, ,79.7, ,--,S
163,5/21/2022,141,0.20, ,0.02, ,599, ,8.3, ,78.0, ,40.4, ,58.5, ,91, ,23, ,49, ,39.7, ,2.8, ,66.6, ,--,S
163,5/22/2022,142,0.21, ,0.03, ,590, ,8.2, ,83.0, ,39.0, ,62.2, ,93, ,16, ,43, ,39.4, ,2.7, ,64.4, ,--,S
163,5/23/2022,143,0.24, ,0.05, ,596, ,8.6, ,87.9, ,45.0, ,68.5, ,86, ,16, ,36, ,40.8, ,3.4, ,82.4, ,--,S
163,5/24/2022,144,0.24, ,0.03, ,596, ,9.8, ,95.0, ,47.9, ,71.5, ,81, ,17, ,37, ,44.1, ,2.7, ,64.2, ,--,S
163,5/25/2022,145,0.23, ,0.04, ,590, ,11.9, ,89.7, ,51.0, ,69.7, ,87, ,25, ,48, ,49.1, ,2.7, ,65.9, ,--,S
163,5/26/2022,146,0.18, ,0.03, ,569, ,13.2, ,75.2, ,50.4, ,59.7, ,92, ,49, ,75, ,51.8, ,3.6, ,86.7, ,--,S
163,5/27/2022,147,0.18, ,0, ,579, ,12.2, ,70.7, ,49.5, ,59.6, ,90, ,54, ,70, ,49.8, ,3.1, ,74.8, ,--,S
163,5/28/2022,148,0.19, ,0, ,616, ,11.2, ,73.4, ,44.5, ,58.0, ,94, ,42, ,68, ,47.6, ,2.8, ,67.1, ,--,S
163,5/29/2022,149,0.22, ,0, ,626, ,9.6, ,77.6, ,44.8, ,62.2, ,92, ,26, ,50, ,43.4, ,5.1,Y,121.6,Y,--,S
163,5/30/2022,150,0.22, ,0, ,627, ,8.3, ,76.6, ,42.9, ,60.6, ,84, ,25, ,46, ,39.6, ,3.5, ,84.1, ,--,S
163,5/31/2022,151,0.23, ,0, ,630, ,7.6, ,81.9, ,39.8, ,63.4, ,90, ,17, ,38, ,37.4, ,3.4, ,82.6, ,--,S
