189,9/1/2022,244,--,N,0, ,613, ,7.7, ,105.6, ,63.6, ,85.0, ,40, ,8, ,19, ,37.7, ,4.4, ,105.7, ,79.2, 
189,9/2/2022,245,--,N,0, ,618, ,7.8, ,108.0,Y,66.2, ,87.6,Y,38, ,8, ,17,Y,38.0,Y,5.9, ,142.2, ,79.4, 
189,9/3/2022,246,--,N,0, ,441, ,11.3, ,102.3, ,68.1, ,87.3,Y,50, ,14, ,26,Y,47.7,Y,6.0, ,143.7, ,80.0,Y
189,9/4/2022,247,--,N,0, ,594, ,10.8, ,105.1, ,64.2, ,83.9, ,53, ,12, ,27, ,46.5, ,4.6, ,109.8, ,80.0,Y
189,9/5/2022,248,--,N,0, ,527, ,10.1, ,105.7, ,66.3, ,84.5, ,54, ,10, ,25, ,44.7, ,5.4, ,130.4, ,80.1,Y
189,9/6/2022,249,--,N,0, ,561, ,8.0, ,106.3,Y,59.2, ,84.6, ,53, ,8, ,20, ,38.7, ,4.3, ,102.7, ,79.6,Y
189,9/7/2022,250,--,N,0, ,462, ,9.1, ,105.1,Y,64.9, ,85.9,Y,41, ,12, ,22,Y,42.2,Y,5.4, ,130.8, ,79.2,Y
189,9/8/2022,251,--,N,0, ,503, ,9.8, ,103.1, ,63.4, ,82.6, ,51, ,14, ,26, ,43.9, ,5.9, ,140.7, ,79.2,Y
189,9/9/2022,252,--,N,0, ,474, ,11.5, ,99.1, ,62.7, ,81.6, ,51, ,15, ,31, ,48.3, ,7.5, ,179.7, ,79.1,Y
189,9/10/2022,253,--,N,0.31, ,227, ,18.0,R,84.0, ,61.3, ,72.7, ,100, ,45, ,--,R,--,I,7.9, ,188.7, ,79.2,Y
189,9/11/2022,254,--,N,0, ,329, ,17.6,R,83.1, ,57.5, ,69.9, ,100, ,35, ,--,R,--,I,4.6, ,110.8, ,77.6, 
189,9/12/2022,255,--,N,0.01, ,338, ,16.3,R,84.0, ,58.4, ,70.7, ,90, ,37, ,--,R,--,I,5.2, ,124.9, ,76.4, 
189,9/13/2022,256,--,N,0.01, ,411, ,15.9,R,83.9, ,58.7, ,68.9, ,87, ,44, ,--,R,--,I,4.4, ,105.4, ,75.7, 
189,9/14/2022,257,--,N,0, ,563, ,9.7, ,86.1, ,55.0, ,70.2, ,90, ,14, ,38, ,43.6, ,8.0, ,191.6, ,74.5, 
189,9/15/2022,258,--,N,0, ,569, ,7.2, ,84.1, ,47.1, ,66.4, ,68, ,14, ,33, ,36.1, ,5.8, ,140.2, ,73.1, 
189,9/16/2022,259,--,N,0, ,548, ,7.5, ,87.7, ,47.8, ,69.1, ,73, ,15, ,31, ,37.1, ,5.6, ,134.3, ,72.2, 
189,9/17/2022,260,--,N,0, ,552, ,6.6, ,87.4, ,52.4, ,71.5, ,54, ,10, ,25, ,33.7, ,10.1, ,241.7, ,72.0, 
189,9/18/2022,261,--,N,0, ,551, ,6.8, ,82.8, ,59.1, ,70.1, ,50, ,16, ,27, ,34.8, ,16.9, ,406.6, ,71.9, 
189,9/19/2022,262,--,N,0, ,555, ,6.7, ,82.0, ,56.3, ,68.7, ,50, ,16, ,28, ,34.2, ,13.8, ,331.6, ,71.5, 
189,9/20/2022,263,--,N,0, ,544, ,7.5, ,81.7, ,55.7, ,69.3, ,50, ,22, ,31, ,37.3, ,13.5, ,323.7, ,71.1, 
189,9/21/2022,264,--,N,0, ,552, ,6.7, ,82.5, ,51.7, ,67.4, ,56, ,12, ,29, ,34.4, ,10.2, ,243.7, ,70.4, 
189,9/22/2022,265,--,N,0, ,548, ,6.1, ,82.5, ,46.0, ,63.5, ,58, ,13, ,30, ,31.9, ,3.6, ,87.2, ,69.4, 
189,9/23/2022,266,--,N,0, ,544,R,5.7, ,87.8, ,42.3, ,65.3, ,61, ,8, ,27, ,30.3, ,4.0, ,96.3, ,68.7, 
189,9/24/2022,267,--,N,0, ,516, ,7.9, ,91.3, ,48.0, ,68.9, ,60, ,13, ,33, ,38.3, ,3.3, ,79.8, ,68.7, 
189,9/25/2022,268,--,N,0, ,463, ,10.1, ,92.7, ,53.5, ,74.1, ,64, ,19, ,35, ,44.7, ,3.9, ,94.6, ,69.5, 
189,9/26/2022,269,--,N,0, ,422, ,9.7, ,92.8, ,60.3, ,75.5, ,67, ,15, ,32, ,43.6, ,3.6, ,87.4, ,70.8, 
189,9/27/2022,270,--,N,0, ,421, ,7.0, ,95.9, ,53.4, ,75.5, ,49, ,10, ,23, ,35.4, ,5.1, ,122.1, ,71.1, 
189,9/28/2022,271,--,N,0, ,503, ,7.1, ,95.9, ,51.6, ,74.2, ,60, ,11, ,24, ,35.6, ,5.8, ,139.0, ,71.2, 
189,9/29/2022,272,--,N,0, ,504, ,6.3, ,93.6, ,50.2, ,72.8, ,54, ,10, ,23, ,32.7, ,4.9, ,116.9, ,71.1, 
189,9/30/2022,273,--,N,0, ,503, ,6.5, ,90.5, ,48.7, ,69.1, ,57, ,10, ,27, ,33.6, ,4.6, ,109.3, ,70.8, 
