77,9/1/2022,244,0.23, ,0, ,607,R,13.4, ,100.3, ,47.8, ,72.0, ,88, ,21, ,50, ,52.4, ,3.1, ,73.8, ,71.9, 
77,9/2/2022,245,0.21, ,0, ,608,R,14.3, ,89.1, ,47.9, ,67.3, ,91, ,38, ,62, ,54.1, ,3.5, ,83.1, ,72.1, 
77,9/3/2022,246,0.23, ,0, ,583, ,12.4, ,97.9, ,51.6, ,72.4, ,86, ,14, ,46, ,50.2, ,3.2, ,76.7, ,72.1, 
77,9/4/2022,247,0.23, ,0, ,568, ,12.5, ,104.1,Y,52.4, ,76.4, ,83, ,16, ,40, ,50.5, ,2.8, ,67.4, ,72.7, 
77,9/5/2022,248,0.25,R,0, ,552, ,12.0, ,112.8,R,58.9, ,84.9,R,65, ,11, ,--,R,--,I,2.9, ,70.4, ,73.8, 
77,9/6/2022,249,0.23,R,0, ,549, ,13.9, ,115.0,R,65.1,R,84.6,R,61,H,13,H,--,R,--,I,3.2, ,77.1, ,75.1,Y
77,9/7/2022,250,0.23, ,0, ,546, ,13.7, ,104.9,Y,61.4,Y,78.9,Y,71, ,10, ,41,Y,53.0,Y,3.4, ,80.6, ,75.4,Y
77,9/8/2022,251,0.24, ,0, ,536, ,14.5, ,107.7,Y,58.7, ,80.6,Y,70, ,17, ,41,Y,54.4,Y,3.4, ,81.8, ,75.3,Y
77,9/9/2022,252,0.19, ,0, ,477, ,16.1, ,98.4, ,56.5, ,72.5, ,89, ,29, ,59, ,57.3, ,3.3, ,78.5, ,74.9,Y
77,9/10/2022,253,0.15, ,0, ,384, ,15.2, ,82.3, ,54.5, ,68.3, ,92, ,37, ,64, ,55.8, ,3.7, ,87.9, ,73.6, 
77,9/11/2022,254,0.17, ,0, ,431, ,14.1, ,89.7, ,62.3,Y,73.4, ,78, ,23, ,50, ,53.7, ,2.9, ,69.9, ,73.3, 
77,9/12/2022,255,0.17, ,0, ,453, ,15.3, ,84.5, ,54.5, ,69.7, ,85, ,40, ,62, ,56.0, ,3.9, ,94.8, ,73.7,Y
77,9/13/2022,256,0.18, ,0, ,547, ,13.2, ,78.9, ,48.9, ,62.3, ,93, ,44, ,69, ,52.0, ,4.9, ,116.6, ,72.6, 
77,9/14/2022,257,0.18, ,0, ,547, ,12.1, ,76.3, ,45.4, ,60.8, ,91, ,40, ,67, ,49.6, ,4.6, ,111.4, ,71.1, 
77,9/15/2022,258,0.16, ,0, ,506, ,12.6, ,78.2, ,46.9, ,61.0, ,96, ,44, ,69, ,50.6, ,3.3, ,78.1, ,70.2, 
77,9/16/2022,259,0.18, ,0, ,529, ,12.4, ,83.9, ,47.1, ,63.6, ,93, ,35, ,61, ,50.2, ,3.4, ,81.7, ,70.1, 
77,9/17/2022,260,0.14, ,0, ,409, ,12.0, ,76.2, ,45.9, ,60.3, ,90, ,39, ,67, ,49.3, ,4.5, ,108.7, ,69.8, 
77,9/18/2022,261,0.03, ,0.99, ,145, ,16.0, ,65.6,Y,56.7, ,60.4, ,94, ,85, ,89, ,57.2, ,3.6, ,86.3, ,68.9, 
77,9/19/2022,262,0.11, ,0.16, ,384, ,15.1, ,75.3, ,51.8, ,62.7, ,96, ,52, ,78, ,55.6, ,2.7, ,65.6, ,67.9, 
77,9/20/2022,263,0.10, ,0, ,327, ,13.8, ,73.7, ,50.1, ,62.2, ,96, ,51, ,72, ,53.1, ,2.7, ,65.6, ,68.2, 
77,9/21/2022,264,0.13, ,0, ,379, ,13.9, ,77.4, ,53.1, ,63.6, ,93, ,40, ,69, ,53.3, ,3.6, ,87.0, ,68.1, 
77,9/22/2022,265,0.17, ,0, ,519,R,13.1, ,84.8, ,49.3, ,64.9, ,94, ,30, ,62, ,51.7, ,3.0, ,71.0, ,68.0, 
77,9/23/2022,266,0.18, ,0, ,507, ,13.4, ,93.0, ,50.0, ,69.4, ,94, ,22, ,55, ,52.3, ,2.7, ,63.6, ,68.8, 
77,9/24/2022,267,0.18, ,0, ,521,R,12.3, ,94.8, ,51.5, ,71.2, ,92, ,14, ,47, ,50.0, ,2.7, ,64.3, ,69.6, 
77,9/25/2022,268,0.15, ,0, ,456, ,15.4, ,82.2, ,50.8, ,64.6, ,96, ,48, ,74, ,56.2, ,2.8, ,66.9, ,69.7, 
77,9/26/2022,269,0.14, ,0, ,445, ,14.2, ,82.2, ,48.7, ,61.8, ,96, ,47, ,76, ,54.0, ,2.8, ,67.6, ,69.4, 
77,9/27/2022,270,0.13, ,0, ,451, ,13.0, ,80.2, ,47.1, ,60.6, ,96, ,42, ,72, ,51.5, ,2.6, ,62.9, ,68.8, 
77,9/28/2022,271,0.15, ,0, ,488, ,13.8, ,84.2, ,46.7, ,64.0, ,95, ,37, ,68, ,53.1, ,2.6, ,63.5, ,68.5, 
77,9/29/2022,272,0.16, ,0, ,485, ,13.8, ,88.7, ,49.4, ,66.7, ,95, ,30, ,62, ,53.1, ,2.6, ,62.8, ,68.8, 
77,9/30/2022,273,0.17, ,0, ,488,R,11.9, ,92.6, ,48.4, ,67.9, ,92, ,21, ,51, ,49.1, ,2.8, ,67.3, ,69.1, 
