83,9/1/2022,244,0.21, ,0, ,589, ,12.6, ,92.3, ,40.9, ,62.7, ,98, ,21, ,65, ,50.7, ,3.5, ,83.4, ,68.8, 
83,9/2/2022,245,0.19, ,0.00, ,540, ,14.2, ,84.5, ,50.7, ,62.7, ,98, ,40, ,73, ,54.0, ,4.4, ,106.5, ,69.4, 
83,9/3/2022,246,0.22, ,0, ,583, ,13.5, ,93.9, ,45.1, ,67.2, ,96, ,22, ,59, ,52.6, ,3.6, ,87.5, ,69.2, 
83,9/4/2022,247,0.23, ,0.02, ,563, ,13.6, ,100.7,Y,46.9, ,72.0,Y,97, ,20, ,51,Y,52.7,Y,3.0, ,71.7, ,69.7, 
83,9/5/2022,248,0.24,R,0.02, ,543, ,13.9, ,109.0,Y,52.3, ,78.3,R,91, ,16, ,--,R,--,I,3.0, ,71.2, ,71.2, 
83,9/6/2022,249,0.24,R,0, ,545, ,13.7, ,112.9,R,57.7, ,77.4,R,79,H,19,H,--,R,--,I,3.6, ,86.7, ,72.2, 
83,9/7/2022,250,0.20, ,0.02, ,479, ,15.4, ,95.6, ,55.8, ,72.1,Y,90, ,26, ,57,Y,56.1,Y,3.3, ,78.5, ,71.9, 
83,9/8/2022,251,0.23,R,0, ,533, ,14.5, ,104.6,Y,53.3, ,74.9,Y,93, ,19, ,49,Y,54.4,Y,3.8, ,91.8, ,72.0, 
83,9/9/2022,252,0.18, ,0.02, ,477, ,13.9, ,91.9, ,45.8, ,64.8, ,97, ,27, ,66, ,53.3, ,3.6, ,85.2, ,70.7, 
83,9/10/2022,253,0.15, ,0, ,438, ,16.9, ,78.0, ,59.5,Y,65.7, ,92, ,55, ,78, ,58.7, ,4.3, ,102.7, ,71.2, 
83,9/11/2022,254,0.10, ,0.01, ,287, ,16.5, ,84.6, ,60.0,Y,67.5, ,92, ,45, ,72, ,58.1, ,3.6, ,87.1, ,71.4, 
83,9/12/2022,255,0.17, ,0, ,449, ,15.4, ,85.0, ,51.4, ,66.7, ,90, ,38, ,69, ,56.1, ,4.6, ,109.7, ,71.1, 
83,9/13/2022,256,0.18, ,0, ,529, ,13.0, ,77.4, ,43.3, ,60.2, ,98, ,48, ,73, ,51.5, ,4.5, ,107.4, ,69.2, 
83,9/14/2022,257,0.17, ,0.02, ,491, ,13.3, ,74.4, ,41.1, ,57.8, ,98, ,54, ,81, ,52.2, ,5.2, ,123.7, ,67.1, 
83,9/15/2022,258,0.15, ,0.00, ,459, ,13.0, ,76.8, ,41.9, ,58.7, ,98, ,50, ,77, ,51.5, ,4.0, ,95.0, ,67.1, 
83,9/16/2022,259,0.18, ,0.02, ,508, ,12.3, ,80.2, ,40.4, ,59.6, ,97, ,41, ,71, ,50.1, ,3.8, ,91.0, ,66.5, 
83,9/17/2022,260,0.14, ,0.02, ,420, ,12.4, ,77.8, ,39.5, ,57.8, ,96, ,42, ,76, ,50.2, ,4.6, ,109.4, ,65.6, 
83,9/18/2022,261,0.03, ,0.77, ,113, ,16.4, ,66.8, ,57.1, ,60.9, ,96, ,79, ,90, ,57.9, ,8.2,R,197.4,R,65.2, 
83,9/19/2022,262,0.14, ,0.02, ,424, ,15.6, ,73.9, ,51.2, ,62.8, ,98, ,57, ,80, ,56.5, ,4.5, ,108.9, ,65.9, 
83,9/20/2022,263,0.10, ,0.00, ,330, ,13.9, ,72.6, ,47.9, ,60.2, ,98, ,56, ,78, ,53.3, ,3.3, ,79.6, ,65.8, 
83,9/21/2022,264,0.15, ,0.07, ,458, ,14.8, ,75.5, ,48.4, ,62.5, ,97, ,50, ,77, ,55.1, ,4.3, ,103.3, ,66.7, 
83,9/22/2022,265,0.17, ,0, ,494, ,13.1, ,82.9, ,43.7, ,62.5, ,98, ,37, ,68, ,51.8, ,3.5, ,83.7, ,66.3, 
83,9/23/2022,266,0.18, ,0.02, ,491, ,14.0, ,89.9, ,45.9, ,65.3, ,98, ,34, ,66, ,53.6, ,3.8, ,90.4, ,66.4, 
83,9/24/2022,267,0.19, ,0, ,499, ,13.2, ,93.2, ,45.2, ,65.8, ,97, ,24, ,61, ,52.0, ,3.3, ,80.3, ,66.7, 
83,9/25/2022,268,0.13, ,0.00, ,435, ,14.0, ,74.8, ,45.8, ,58.9, ,97, ,57, ,82, ,53.5, ,3.7, ,87.9, ,66.5, 
83,9/26/2022,269,0.13, ,0.00, ,441, ,14.0, ,74.0, ,50.3, ,58.5, ,98, ,59, ,84, ,53.6, ,4.3, ,102.9, ,66.9, 
83,9/27/2022,270,0.12, ,0, ,390, ,13.4, ,76.4, ,46.1, ,58.7, ,96, ,53, ,79, ,52.3, ,3.7, ,88.2, ,66.8, 
83,9/28/2022,271,0.13, ,0.01, ,410, ,14.3, ,81.3, ,43.7, ,60.3, ,98, ,49, ,80, ,54.0, ,3.5, ,84.8, ,66.3, 
83,9/29/2022,272,0.17, ,0, ,466, ,13.3, ,85.2, ,43.5, ,63.3, ,98, ,36, ,67, ,52.2, ,3.4, ,82.0, ,66.5, 
83,9/30/2022,273,0.17, ,0.02, ,469, ,12.5, ,87.8, ,43.7, ,62.2, ,97, ,31, ,65, ,50.4, ,3.9, ,94.5, ,65.8, 
