256,9/1/2022,244,0.28, ,0, ,597, ,9.0, ,107.2, ,67.6, ,87.1, ,33, ,10, ,21, ,41.8, ,4.9, ,117.8, ,73.8, 
256,9/2/2022,245,0.31, ,0, ,564, ,10.0, ,106.5, ,68.3, ,87.9, ,37, ,13, ,22, ,44.5, ,6.5, ,155.2, ,73.8, 
256,9/3/2022,246,0.24, ,0.01, ,496, ,13.0, ,103.3, ,69.2, ,84.2, ,49, ,17, ,32, ,51.4, ,4.7, ,113.1, ,74.0, 
256,9/4/2022,247,0.25, ,0, ,540, ,15.7, ,101.1, ,64.7, ,83.2, ,67, ,26, ,41, ,56.7, ,5.1, ,122.4, ,74.1, 
256,9/5/2022,248,0.26, ,0, ,548, ,14.9, ,102.7, ,68.8, ,86.1, ,63, ,18, ,35, ,55.3, ,5.2, ,125.4, ,74.8, 
256,9/6/2022,249,0.26, ,0, ,573, ,14.3, ,103.3, ,64.5, ,84.8, ,61, ,19, ,35, ,54.0, ,5.2, ,123.8, ,74.6, 
256,9/7/2022,250,0.25, ,0, ,552, ,14.2, ,102.4, ,68.1, ,85.8, ,53, ,22, ,34, ,53.9, ,5.1, ,123.4, ,74.7, 
256,9/8/2022,251,0.19, ,0, ,453, ,14.6, ,97.3, ,68.3, ,82.1, ,59, ,25, ,39, ,54.7, ,4.1, ,99.4, ,74.3, 
256,9/9/2022,252,0.21, ,0, ,383, ,16.0, ,92.2, ,64.7, ,77.8, ,80, ,30, ,49, ,57.2, ,7.3, ,175.0, ,74.0, 
256,9/10/2022,253,0.07, ,0.12, ,244, ,21.8,R,82.3, ,68.6, ,73.0, ,95, ,51, ,--,R,--,I,3.4, ,82.7, ,72.8, 
256,9/11/2022,254,0.15, ,0.03, ,444, ,21.0,R,88.6, ,64.8, ,73.5, ,100, ,39, ,--,R,--,I,4.3, ,102.3, ,73.0, 
256,9/12/2022,255,0.13, ,0.91, ,395, ,20.7,R,83.7, ,63.2, ,71.5, ,96, ,51, ,--,R,--,I,4.4, ,106.1, ,73.3, 
256,9/13/2022,256,0.21, ,0, ,514, ,18.1,Y,82.6, ,62.5, ,72.2, ,94, ,47, ,67,Y,60.6,Y,7.8, ,187.6, ,72.8, 
256,9/14/2022,257,0.23, ,0, ,584, ,13.5, ,80.0, ,53.8, ,68.1, ,89, ,32, ,57, ,52.5, ,7.4, ,177.4, ,71.6, 
256,9/15/2022,258,0.21, ,0, ,582,R,12.3, ,80.5, ,53.1, ,67.5, ,79, ,30, ,54, ,50.0, ,7.3, ,174.1, ,70.5, 
256,9/16/2022,259,0.20, ,0, ,579,R,12.1, ,85.8, ,52.9, ,68.1, ,81, ,28, ,52, ,49.6, ,5.2, ,123.6, ,70.1, 
256,9/17/2022,260,0.22, ,0, ,584,R,12.2, ,79.5, ,50.3, ,65.8, ,86, ,31, ,56, ,49.7, ,7.4, ,176.7, ,69.0, 
256,9/18/2022,261,0.20,H,0,H,575,R,12.5,H,76.2, ,55.5, ,64.3,H,84,H,40,H,61, ,50.5, ,12.4,Y,298.1,Y,67.9,H
256,9/19/2022,262,0.19, ,0, ,575,R,12.1, ,80.2, ,51.4, ,65.8, ,83, ,32, ,56, ,49.5, ,7.6, ,181.5, ,67.3, 
256,9/20/2022,263,0.21, ,0, ,565,R,13.1, ,77.8, ,50.6, ,66.2, ,79, ,45, ,60, ,51.8, ,9.2, ,221.7, ,67.0, 
256,9/21/2022,264,0.20, ,0, ,583,R,10.4, ,76.5, ,49.6, ,64.1, ,75, ,30, ,51, ,45.5, ,7.1, ,169.9, ,66.8, 
256,9/22/2022,265,0.17, ,0, ,580,R,10.2, ,83.6, ,46.7, ,64.4, ,83, ,23, ,50, ,45.1, ,3.3, ,79.8, ,66.3, 
256,9/23/2022,266,0.17, ,0, ,555,R,11.2, ,90.1, ,43.9, ,67.3, ,79, ,24, ,49, ,47.6, ,2.9, ,68.9, ,66.3, 
256,9/24/2022,267,0.18, ,0, ,527, ,14.9, ,93.1, ,57.4, ,74.3, ,79, ,36, ,52, ,55.3, ,3.3, ,80.0, ,67.4, 
256,9/25/2022,268,0.18, ,0, ,522, ,15.4, ,95.0, ,59.5, ,76.2, ,69, ,35, ,50, ,56.1, ,3.1, ,74.7, ,68.7, 
256,9/26/2022,269,0.18, ,0, ,503, ,13.8, ,95.4, ,58.6, ,75.5, ,75, ,26, ,46, ,53.1, ,2.9, ,69.3, ,69.9, 
256,9/27/2022,270,0.18, ,0, ,521, ,11.7, ,95.7, ,55.0, ,73.7, ,69, ,17, ,41, ,48.6, ,3.0, ,72.5, ,69.7, 
256,9/28/2022,271,0.19, ,0, ,508, ,11.4, ,94.8, ,56.4, ,74.3, ,58, ,21, ,39, ,48.0, ,3.8, ,91.4, ,69.4, 
256,9/29/2022,272,0.22, ,0, ,530,R,10.6, ,90.2, ,53.5, ,71.9, ,70, ,19, ,40, ,46.1, ,5.5, ,132.2, ,68.7, 
256,9/30/2022,273,0.19, ,0, ,534,R,10.6, ,88.0, ,48.1, ,67.9, ,82, ,25, ,45, ,46.1, ,4.5, ,108.3, ,67.7, 
