226,9/1/2022,244,0.23, ,0, ,580, ,13.0, ,104.4, ,57.8, ,81.2, ,79, ,15, ,36, ,51.6, ,3.0, ,73.1, ,75.5, 
226,9/2/2022,245,0.24, ,0, ,590, ,11.7, ,103.9, ,60.6, ,82.6, ,62, ,11, ,31, ,48.7, ,3.2, ,76.0, ,76.4, 
226,9/3/2022,246,0.23, ,0, ,578, ,12.0, ,100.3, ,60.3, ,80.1, ,68, ,15, ,34, ,49.3, ,3.5, ,82.9, ,76.2, 
226,9/4/2022,247,0.23, ,0, ,566, ,12.2, ,104.2, ,60.4, ,82.4, ,70, ,12, ,32, ,49.8, ,3.0, ,71.1, ,76.2, 
226,9/5/2022,248,0.26,R,0, ,548, ,13.7, ,113.6,R,67.1, ,88.9,Y,72, ,10, ,30,Y,53.0,Y,4.0, ,95.9, ,76.7, 
226,9/6/2022,249,0.24,R,0, ,547, ,17.9, ,114.2,R,66.3, ,89.9,R,82, ,13, ,--,R,--,I,3.0, ,71.7, ,78.3, 
226,9/7/2022,250,0.25, ,0, ,533, ,15.6, ,108.6,Y,64.2, ,87.8,Y,80, ,14, ,35,Y,56.6,Y,3.7, ,88.0, ,78.5, 
226,9/8/2022,251,0.25, ,0, ,528, ,14.0, ,111.0,Y,67.0, ,89.0,Y,59, ,13, ,30,Y,53.5,Y,3.2, ,76.7, ,78.6,Y
226,9/9/2022,252,0.23, ,0, ,442, ,12.1, ,106.1, ,69.9,Y,86.3,Y,54, ,13, ,28,Y,49.6,Y,4.2, ,100.9, ,78.2, 
226,9/10/2022,253,0.21, ,0, ,393, ,11.4, ,91.6, ,66.8, ,78.1, ,57, ,17, ,35, ,48.1, ,6.0, ,142.9, ,76.0, 
226,9/11/2022,254,0.15, ,0, ,367, ,14.3, ,90.7, ,65.3, ,76.3, ,70, ,21, ,46, ,54.1, ,2.9, ,69.4, ,75.4, 
226,9/12/2022,255,0.17, ,0, ,421, ,15.6, ,93.7, ,64.0, ,76.8, ,84, ,25, ,50, ,56.6, ,3.5, ,85.0, ,75.9, 
226,9/13/2022,256,0.20, ,0, ,526, ,14.1, ,84.7, ,58.9, ,69.9, ,80, ,34, ,56, ,53.6, ,6.6, ,158.3, ,74.0, 
226,9/14/2022,257,0.17, ,0, ,521, ,15.3, ,80.8, ,51.9, ,65.7, ,94, ,37, ,71, ,55.9, ,4.4, ,106.1, ,71.9, 
226,9/15/2022,258,0.16, ,0, ,500, ,15.0, ,81.5, ,52.8, ,65.9, ,92, ,39, ,69, ,55.3, ,3.5, ,83.5, ,71.4, 
226,9/16/2022,259,0.17, ,0, ,498, ,13.9, ,84.0, ,52.2, ,68.3, ,86, ,36, ,59, ,53.3, ,3.7, ,87.9, ,71.5, 
226,9/17/2022,260,0.18, ,0, ,453, ,12.9, ,80.1, ,55.5, ,66.1, ,82, ,37, ,59, ,51.3, ,6.8, ,162.3, ,70.8, 
226,9/18/2022,261,0.08, ,0.87, ,242, ,15.4, ,74.2, ,60.4, ,63.8, ,94, ,62, ,76, ,56.1, ,7.4,Y,177.1,Y,69.0, 
226,9/19/2022,262,0.09, ,0.65, ,328, ,19.2,R,74.6, ,59.2, ,64.4, ,96, ,82, ,--,R,--,I,4.2, ,99.8, ,68.8, 
226,9/20/2022,263,0.11, ,0, ,406, ,19.0,Y,77.2, ,58.2, ,65.6, ,97, ,65, ,88,Y,62.0,Y,3.1, ,75.3, ,69.9, 
226,9/21/2022,264,0.10, ,0.00, ,343, ,17.7,Y,76.9, ,60.9, ,66.8, ,95, ,51, ,79,Y,60.0,Y,4.1, ,98.5, ,70.1, 
226,9/22/2022,265,0.17, ,0, ,474, ,15.1, ,81.7, ,59.3, ,68.6, ,86, ,36, ,63, ,55.6, ,4.7, ,112.2, ,69.8, 
226,9/23/2022,266,0.16, ,0, ,471, ,15.7, ,87.7, ,55.4, ,70.5, ,88, ,33, ,62, ,56.6, ,3.5, ,83.5, ,69.9, 
226,9/24/2022,267,0.17, ,0, ,477, ,14.6, ,96.4, ,57.3, ,74.5, ,84, ,17, ,50, ,54.7, ,2.7, ,65.5, ,70.5, 
226,9/25/2022,268,0.17, ,0, ,457, ,14.4, ,97.5, ,58.7, ,75.7, ,79, ,16, ,47, ,54.4, ,2.8, ,67.2, ,71.2, 
226,9/26/2022,269,0.16, ,0, ,456, ,18.2,Y,94.6, ,56.7, ,72.6, ,94, ,31, ,67,Y,60.9,Y,3.2, ,75.6, ,71.9, 
226,9/27/2022,270,0.15, ,0, ,463, ,17.2,Y,85.0, ,52.0, ,67.2, ,95, ,36, ,76,Y,59.3,Y,3.5, ,83.2, ,71.3, 
226,9/28/2022,271,0.15, ,0, ,455, ,16.5,Y,87.6, ,53.2, ,69.6, ,94, ,27, ,67,Y,58.1,Y,3.3, ,78.5, ,70.4, 
226,9/29/2022,272,0.15, ,0, ,449, ,15.8, ,87.1, ,56.0, ,70.0, ,93, ,30, ,63, ,56.9, ,3.3, ,80.1, ,70.3, 
226,9/30/2022,273,0.18, ,0, ,449, ,11.4, ,90.4, ,56.8, ,73.1, ,61, ,21, ,41, ,47.9, ,3.6, ,87.3, ,69.6, 
