212,9/1/2022,244,0.24, ,0, ,574, ,12.9, ,105.6, ,56.0, ,78.7, ,85, ,18, ,39, ,51.4, ,5.0, ,119.1, ,70.8, 
212,9/2/2022,245,0.31, ,0, ,583, ,12.2, ,101.0, ,60.2, ,77.7, ,67, ,12, ,38, ,49.9, ,10.5, ,251.9, ,72.1, 
212,9/3/2022,246,0.29, ,0, ,572, ,12.6, ,99.6, ,63.2, ,78.6, ,68, ,15, ,38, ,50.8, ,9.3, ,223.3, ,71.7, 
212,9/4/2022,247,0.23, ,0, ,561, ,12.7, ,109.7,Y,59.5, ,81.6, ,80, ,12, ,35, ,50.9, ,3.8, ,90.7, ,73.3, 
212,9/5/2022,248,0.25,R,0, ,539, ,13.7, ,116.5,R,61.3, ,87.5,R,72, ,14, ,--,R,--,I,3.8, ,91.4, ,75.9,Y
212,9/6/2022,249,0.28,R,0, ,544, ,14.2, ,112.8,Y,70.0,R,89.4,R,61,H,18,H,--,R,--,I,5.6, ,134.9, ,--,S
212,9/7/2022,250,0.33,R,0, ,536, ,11.7, ,105.7, ,70.7,R,87.0,Y,52,H,14,H,27,Y,48.6,Y,9.5, ,228.2, ,77.6,R
212,9/8/2022,251,0.26, ,0, ,527, ,14.5, ,113.9,Y,66.5,Y,87.5,R,66, ,16, ,--,R,--,I,5.0, ,121.0, ,--,S
212,9/9/2022,252,0.25, ,0, ,501, ,13.8, ,109.5,Y,65.1,Y,82.0,Y,66, ,17, ,37,Y,53.2,Y,6.8, ,164.3, ,--,S
212,9/10/2022,253,0.22, ,0, ,385, ,14.8, ,81.0, ,64.7, ,71.8, ,69, ,42, ,56, ,55.1, ,12.9, ,310.4, ,73.0,Y
212,9/11/2022,254,0.19, ,0, ,313, ,12.8, ,90.3, ,65.6,Y,75.2, ,75, ,19, ,43, ,51.1, ,8.1, ,194.6, ,71.8, 
212,9/12/2022,255,0.23, ,0, ,431, ,14.1, ,90.2, ,63.2, ,73.8, ,71, ,28, ,50, ,53.8, ,11.2, ,268.6, ,71.9, 
212,9/13/2022,256,0.23, ,0, ,528, ,14.0, ,78.8, ,59.0, ,66.6, ,83, ,41, ,63, ,53.5, ,15.5, ,372.7, ,68.9, 
212,9/14/2022,257,0.20, ,0, ,513, ,13.5, ,78.5, ,56.6, ,65.9, ,82, ,40, ,62, ,52.5, ,10.9, ,262.3, ,67.1, 
212,9/15/2022,258,0.18, ,0, ,503, ,13.9, ,77.7, ,55.6, ,64.8, ,93, ,41, ,66, ,53.3, ,8.5, ,204.7, ,67.4, 
212,9/16/2022,259,0.18, ,0, ,509, ,13.9, ,84.6, ,52.9, ,67.1, ,95, ,34, ,61, ,53.4, ,6.9, ,165.4, ,67.9, 
212,9/17/2022,260,0.20, ,0, ,477, ,13.1, ,77.1, ,56.2, ,64.1, ,83, ,40, ,64, ,51.7, ,11.7, ,280.5, ,66.8, 
212,9/18/2022,261,0.10, ,0.46, ,260, ,15.4, ,76.0, ,57.9, ,63.3, ,97, ,51, ,78, ,56.1, ,7.8, ,186.1, ,65.8, 
212,9/19/2022,262,0.09, ,1.31, ,315, ,17.5, ,79.8, ,57.0, ,64.0, ,100, ,49, ,86, ,59.8, ,2.8, ,67.8, ,66.3, 
212,9/20/2022,263,0.12, ,0, ,407, ,16.2, ,78.9, ,57.3, ,64.9, ,100, ,46, ,77, ,57.6, ,3.6, ,86.0, ,66.8, 
212,9/21/2022,264,0.12, ,0.30, ,334, ,14.6, ,79.1, ,56.5, ,65.3, ,94, ,39, ,69, ,54.8, ,6.0, ,143.0, ,66.2, 
212,9/22/2022,265,0.17, ,0, ,494, ,14.5, ,83.5, ,53.5, ,66.3, ,96, ,36, ,66, ,54.5, ,4.7, ,113.0, ,65.6, 
212,9/23/2022,266,0.17, ,0, ,486, ,15.0, ,89.2, ,53.5, ,70.2, ,90, ,32, ,60, ,55.4, ,4.0, ,95.6, ,66.4, 
212,9/24/2022,267,0.17, ,0, ,489, ,15.0, ,97.2, ,54.4, ,72.8, ,90, ,22, ,54, ,55.4, ,3.2, ,77.6, ,67.6, 
212,9/25/2022,268,0.19, ,0, ,471, ,15.1, ,91.9, ,58.0, ,71.1, ,90, ,28, ,58, ,55.6, ,8.2, ,197.7, ,68.4, 
212,9/26/2022,269,0.18, ,0, ,471, ,14.9, ,88.8, ,56.6, ,67.7, ,92, ,35, ,65, ,55.3, ,11.1, ,265.7, ,67.8, 
212,9/27/2022,270,0.19, ,0, ,485, ,13.0, ,81.3, ,52.7, ,64.3, ,91, ,34, ,63, ,51.6, ,12.9, ,310.5, ,65.6, 
212,9/28/2022,271,0.20, ,0, ,475, ,14.5, ,85.0, ,57.5, ,68.2, ,87, ,31, ,62, ,54.5, ,12.1, ,291.0, ,65.4, 
212,9/29/2022,272,0.15, ,0, ,459, ,15.5, ,89.1, ,57.2, ,69.1, ,95, ,31, ,64, ,56.4, ,5.5, ,132.5, ,66.7, 
212,9/30/2022,273,0.18, ,0, ,466, ,12.9, ,94.5, ,53.1, ,70.8, ,93, ,22, ,50, ,51.4, ,4.7, ,112.7, ,66.9, 
