178,9/1/2022,244,0.23, ,0.20, ,593, ,11.5, ,99.1, ,49.8, ,73.1, ,90, ,15, ,41, ,48.3, ,2.5, ,60.9, ,69.3, 
178,9/2/2022,245,0.22, ,0.12, ,604, ,13.5, ,88.6, ,54.5, ,67.8, ,87, ,23, ,58, ,52.5, ,5.8, ,139.6, ,69.5, 
178,9/3/2022,246,0.23, ,0.15,H,597, ,13.2, ,89.0, ,55.1, ,71.8, ,84, ,17, ,49, ,51.8, ,4.4, ,106.4, ,69.3, 
178,9/4/2022,247,0.23, ,0.13, ,585, ,11.6, ,100.9, ,53.7, ,76.2, ,84, ,13, ,38, ,48.6, ,2.5, ,59.0, ,70.2, 
178,9/5/2022,248,0.25, ,0.15, ,569, ,11.4, ,106.5,Y,58.7, ,82.0,Y,71, ,10, ,31,Y,48.1,Y,3.1, ,74.1, ,71.7, 
178,9/6/2022,249,0.25,R,0.17, ,563, ,12.7, ,105.8,Y,63.9,Y,82.5,R,68, ,16, ,--,R,--,I,3.1, ,75.2, ,72.9, 
178,9/7/2022,250,0.25,R,0.14, ,563, ,10.7, ,100.1, ,63.7,Y,79.3,Y,69, ,9, ,31,Y,46.4,Y,3.8, ,90.1, ,72.7, 
178,9/8/2022,251,0.24, ,0.15, ,557, ,11.4, ,105.3,Y,60.4, ,82.3,R,63,H,12,H,--,R,--,I,3.0, ,72.0, ,72.7, 
178,9/9/2022,252,0.23, ,0.16, ,548, ,12.3, ,98.7, ,59.1, ,76.2,Y,67, ,19, ,40,Y,50.1,Y,3.6, ,86.0, ,72.8, 
178,9/10/2022,253,0.12, ,0.18, ,319, ,15.2, ,75.0, ,59.8, ,67.7, ,76, ,53, ,66, ,55.9, ,4.0, ,97.1, ,71.1, 
178,9/11/2022,254,0.15, ,0.13, ,355, ,13.0, ,81.1, ,62.8,Y,70.4, ,81, ,19, ,51, ,51.6, ,3.7, ,88.3, ,70.8, 
178,9/12/2022,255,0.14, ,0.14, ,400, ,15.5, ,75.2, ,58.4, ,64.5, ,89, ,54, ,75, ,56.3, ,6.9,Y,164.7,Y,69.7, 
178,9/13/2022,256,0.14, ,0.10,H,451, ,14.3, ,68.0, ,57.8, ,61.2, ,89, ,64, ,78, ,54.2, ,6.2, ,149.9, ,68.6, 
178,9/14/2022,257,0.15, ,0.04,H,471, ,14.7, ,69.3, ,56.6, ,62.2, ,87, ,63, ,77, ,54.8, ,5.5, ,133.1, ,68.2, 
178,9/15/2022,258,0.11, ,0.02, ,392, ,13.9, ,67.1, ,54.6, ,59.9, ,93, ,65, ,79, ,53.4, ,4.0, ,96.2, ,67.4, 
178,9/16/2022,259,0.17, ,0.02,H,520, ,14.0, ,75.4, ,55.7, ,63.6, ,86, ,48, ,70, ,53.6, ,5.4, ,129.3, ,67.7, 
178,9/17/2022,260,0.13, ,0.02,H,417, ,13.1, ,67.6, ,56.1, ,59.9, ,85, ,60, ,75, ,51.8, ,6.3, ,150.1, ,67.0, 
178,9/18/2022,261,0.06, ,0.01, ,166, ,14.6, ,67.3, ,58.6, ,62.0, ,89, ,68, ,77, ,54.7, ,6.6,Y,159.6,Y,66.0, 
178,9/19/2022,262,0.14, ,0.02, ,439, ,14.1, ,73.1, ,51.8, ,61.7, ,95, ,53, ,75, ,53.8, ,3.3, ,80.2, ,66.1, 
178,9/20/2022,263,0.11, ,0.02, ,354, ,12.8, ,71.5, ,47.2, ,59.8, ,94, ,53, ,73, ,51.1, ,2.8, ,66.2, ,65.7, 
178,9/21/2022,264,0.12, ,0.01,H,377, ,13.3, ,71.4, ,51.0, ,61.3, ,89, ,48, ,72, ,52.1, ,3.5, ,84.3, ,65.9, 
178,9/22/2022,265,0.16, ,0.00, ,503, ,12.7, ,80.0, ,49.8, ,63.0, ,95, ,35, ,65, ,50.9, ,2.8, ,67.6, ,66.2, 
178,9/23/2022,266,0.18, ,0, ,511, ,11.9, ,86.6, ,48.5, ,66.3, ,93, ,25, ,54, ,49.2, ,2.5, ,61.1, ,66.7, 
178,9/24/2022,267,0.18, ,0.00,H,509, ,11.7, ,90.4, ,48.3, ,68.5, ,94, ,18, ,49, ,48.7, ,2.7, ,63.7, ,67.0, 
178,9/25/2022,268,0.16, ,0, ,485, ,14.6, ,81.1, ,51.6, ,64.1, ,93, ,45, ,72, ,54.7, ,4.6, ,111.2, ,67.0, 
178,9/26/2022,269,0.15, ,0.00, ,472, ,14.2, ,78.1, ,54.9, ,62.3, ,91, ,45, ,74, ,53.8, ,5.6, ,133.6, ,66.9, 
178,9/27/2022,270,0.14, ,0, ,457, ,13.1, ,75.0, ,54.2, ,61.1, ,89, ,44, ,71, ,51.8, ,5.2, ,125.1, ,66.4, 
178,9/28/2022,271,0.15, ,0, ,492, ,14.4, ,77.2, ,55.2, ,64.1, ,93, ,38, ,70, ,54.3, ,5.0, ,120.9, ,66.3, 
178,9/29/2022,272,0.16, ,0.01, ,481, ,14.7, ,83.4, ,55.1, ,66.7, ,95, ,36, ,66, ,54.9, ,3.4, ,80.6, ,67.7, 
178,9/30/2022,273,0.17, ,0.02,H,479, ,11.4, ,86.7, ,48.7, ,66.0, ,94, ,24, ,52, ,48.1, ,2.6, ,62.9, ,67.3, 
