106,5/1/2022,121,0.21, ,0, ,629, ,9.5, ,79.8, ,38.4, ,58.0, ,94, ,33, ,58, ,43.3, ,4.3, ,103.6, ,59.1, 
106,5/2/2022,122,0.19, ,0, ,557, ,8.4, ,65.3, ,38.6, ,54.2, ,81, ,38, ,58, ,39.9, ,6.2, ,149.2, ,59.8, 
106,5/3/2022,123,0.21, ,0, ,639, ,8.5, ,81.7, ,33.5, ,57.5, ,90, ,26, ,53, ,40.3, ,3.7, ,89.1, ,59.2, 
106,5/4/2022,124,0.23, ,0, ,637, ,10.2, ,87.6, ,39.2, ,63.6, ,96, ,21, ,51, ,44.9, ,3.2, ,76.3, ,60.3, 
106,5/5/2022,125,0.10, ,0, ,318, ,11.3, ,70.3, ,46.7, ,58.7, ,90, ,33, ,67, ,47.8, ,3.4, ,80.9, ,61.1, 
106,5/6/2022,126,0.07, ,0, ,257, ,13.1, ,68.3, ,47.6, ,58.9, ,92, ,58, ,77, ,51.7, ,4.3, ,102.4, ,60.8, 
106,5/7/2022,127,0.18, ,0, ,535, ,9.6, ,67.6, ,38.2, ,55.3, ,87, ,44, ,64, ,43.4, ,5.6, ,133.5, ,60.5, 
106,5/8/2022,128,0.11, ,0.16, ,401, ,7.9, ,55.3,Y,33.9, ,45.0,Y,93, ,56, ,78,Y,38.4,Y,4.9, ,116.5, ,59.5, 
106,5/9/2022,129,0.12, ,0.04, ,470, ,7.7, ,58.0, ,35.5, ,47.3,Y,94, ,47, ,70,Y,37.9,Y,3.8, ,91.2, ,58.0, 
106,5/10/2022,130,0.16, ,0.02, ,548, ,7.0, ,61.5, ,29.8,Y,45.3,Y,96, ,40, ,68,Y,35.3,Y,4.3, ,102.9, ,57.0, 
106,5/11/2022,131,0.20, ,0.00, ,646, ,8.0, ,65.9, ,30.2,Y,49.2, ,96, ,45, ,67, ,38.8, ,5.3, ,127.5, ,56.6, 
106,5/12/2022,132,0.17, ,0, ,540, ,8.6, ,68.6, ,34.7, ,51.8, ,94, ,42, ,66, ,40.7, ,4.4, ,105.9, ,57.3, 
106,5/13/2022,133,0.21, ,0, ,633, ,11.7, ,77.5, ,38.4, ,59.3, ,95, ,46, ,68, ,48.8, ,4.6, ,110.3, ,58.2, 
106,5/14/2022,134,0.24, ,0, ,645, ,12.8, ,84.0, ,44.7, ,64.5, ,96, ,31, ,62, ,51.2, ,4.8, ,114.2, ,60.0, 
106,5/15/2022,135,0.21, ,0, ,586, ,12.9, ,78.5, ,46.3, ,62.6, ,96, ,47, ,67, ,51.4, ,5.5, ,132.6, ,61.3, 
106,5/16/2022,136,0.23, ,0, ,650, ,11.5, ,74.5, ,43.9, ,59.2, ,93, ,46, ,67, ,48.2, ,5.7, ,138.0, ,61.5, 
106,5/17/2022,137,0.24, ,0, ,673, ,10.7, ,81.6, ,46.3, ,63.0, ,85, ,33, ,55, ,46.4, ,5.7, ,136.9, ,61.8, 
106,5/18/2022,138,0.28, ,0, ,654, ,11.4, ,87.9, ,41.9, ,67.7, ,90, ,26, ,49, ,48.0, ,5.8, ,139.2, ,62.4, 
106,5/19/2022,139,0.30, ,0, ,647, ,9.0, ,82.6, ,52.5, ,66.4, ,84, ,20, ,41, ,41.7, ,8.7,Y,207.7,Y,63.4, 
106,5/20/2022,140,0.27, ,0, ,698, ,6.2,Y,81.8, ,37.7, ,62.3, ,74, ,13, ,32,Y,32.4,Y,5.5, ,131.3, ,62.9, 
106,5/21/2022,141,0.26, ,0, ,677, ,8.3, ,83.6, ,37.2, ,62.5, ,88, ,19, ,43, ,39.8, ,4.2, ,100.0, ,63.1, 
106,5/22/2022,142,0.26, ,0, ,664, ,8.8, ,83.8, ,40.8, ,64.0, ,88, ,25, ,43, ,41.1, ,5.0, ,120.7, ,63.5, 
106,5/23/2022,143,0.27, ,0, ,662, ,9.8, ,85.9, ,49.3, ,67.8, ,72, ,30, ,42, ,43.9, ,5.3, ,127.6, ,64.3, 
106,5/24/2022,144,0.28, ,0, ,668, ,10.7, ,93.5, ,44.3, ,70.3, ,94, ,20, ,42, ,46.3, ,4.4, ,105.9, ,65.0, 
106,5/25/2022,145,0.27, ,0, ,675, ,11.4, ,99.1, ,47.5, ,73.1, ,85, ,17, ,41, ,48.0, ,3.4, ,82.7, ,66.1, 
106,5/26/2022,146,0.16, ,0, ,480, ,12.7, ,73.2, ,46.3, ,61.4, ,90, ,53, ,68, ,50.8, ,4.7, ,111.6, ,66.7, 
106,5/27/2022,147,0.18, ,0, ,498, ,13.3, ,78.9, ,51.9, ,62.9, ,93, ,44, ,68, ,52.2, ,4.1, ,99.5, ,66.3, 
106,5/28/2022,148,0.09, ,0, ,301, ,12.2, ,68.1, ,46.0, ,58.2, ,94, ,55, ,74, ,49.8, ,4.2, ,101.7, ,65.7, 
106,5/29/2022,149,0.24, ,0, ,681, ,9.7, ,72.7, ,43.5, ,58.5, ,84, ,39, ,58, ,43.7, ,6.4, ,153.6, ,64.7, 
106,5/30/2022,150,0.25, ,0, ,693, ,8.3, ,77.0, ,38.6, ,58.3, ,88, ,28, ,50, ,39.8, ,5.6, ,134.2, ,64.7, 
106,5/31/2022,151,0.26, ,0, ,691, ,8.5, ,84.6, ,40.0, ,62.8, ,88, ,21, ,44, ,40.4, ,4.4, ,105.2, ,65.1, 
