211,5/1/2022,121,0.24, ,0, ,688,R,8.8, ,80.1, ,43.0, ,60.9, ,85, ,23, ,48, ,41.3, ,5.7, ,136.8, ,65.6, 
211,5/2/2022,122,0.24, ,0, ,686, ,9.3, ,72.1, ,43.7, ,57.3, ,85, ,35, ,58, ,42.7, ,7.0, ,168.5, ,65.9, 
211,5/3/2022,123,0.25, ,0, ,708,R,7.7, ,81.7, ,39.2, ,60.7, ,83, ,18, ,42, ,37.7, ,5.0, ,119.5, ,65.8, 
211,5/4/2022,124,0.24, ,0, ,703,R,9.1, ,89.2, ,43.3, ,62.6, ,86, ,19, ,47, ,42.0, ,4.1, ,98.2, ,67.9,Y
211,5/5/2022,125,0.22, ,0, ,574, ,10.1, ,80.9, ,45.2, ,60.7, ,91, ,25, ,56, ,44.7, ,5.4, ,128.5, ,68.9,R
211,5/6/2022,126,0.22, ,0, ,660, ,12.5, ,79.6, ,47.5, ,63.8, ,79, ,45, ,62, ,50.6, ,4.8, ,116.2, ,69.2,R
211,5/7/2022,127,0.28, ,0, ,686, ,9.7, ,73.1, ,51.1, ,61.0, ,77, ,33, ,53, ,43.8, ,12.4,R,298.2,R,69.2,R
211,5/8/2022,128,0.22, ,0, ,571, ,7.0,Y,64.8, ,42.7, ,54.3, ,76, ,27, ,49,Y,35.5,Y,9.7,Y,233.4,Y,65.4, 
211,5/9/2022,129,0.17, ,0, ,559, ,6.9,Y,62.0, ,39.2, ,52.5, ,79, ,40, ,51,Y,35.1,Y,6.1, ,145.7, ,64.1, 
211,5/10/2022,130,0.17, ,0, ,540, ,6.7,Y,62.8, ,33.8,R,49.9,Y,84, ,32, ,54,Y,34.1,Y,6.4, ,153.0, ,61.9, 
211,5/11/2022,131,0.26, ,0, ,730,R,6.9,Y,72.2, ,37.8,Y,54.9, ,82, ,19, ,47,Y,34.9,Y,7.2, ,173.5, ,62.5, 
211,5/12/2022,132,0.24, ,0, ,670, ,7.8, ,72.3, ,37.1,Y,55.3, ,79, ,29, ,52, ,38.1, ,7.9, ,190.1, ,63.1, 
211,5/13/2022,133,0.28, ,0, ,710, ,10.9, ,82.5, ,44.0, ,63.6, ,82, ,30, ,54, ,46.8, ,9.0, ,217.1, ,64.9, 
211,5/14/2022,134,0.31, ,0, ,714, ,11.6, ,88.9, ,49.6, ,69.2,Y,92, ,20, ,47,Y,48.4,Y,8.5, ,204.4, ,68.0,Y
211,5/15/2022,135,0.30, ,0, ,713, ,11.9, ,82.0, ,48.9, ,65.1, ,78, ,40, ,56, ,49.1, ,10.2,Y,244.6,Y,68.5,Y
211,5/16/2022,136,0.27, ,0, ,728,R,11.0, ,79.5, ,49.8, ,62.3, ,85, ,31, ,57, ,47.0, ,7.1, ,170.6, ,68.7,Y
211,5/17/2022,137,0.23, ,0, ,683, ,10.8, ,82.4, ,44.3, ,60.2, ,90, ,36, ,60, ,46.5, ,5.3, ,127.0, ,69.2,Y
211,5/18/2022,138,0.32, ,0, ,726,R,9.9, ,93.8,Y,44.1, ,69.1,Y,91,H,16,H,41,Y,44.2,Y,7.8, ,186.7, ,69.7,Y
211,5/19/2022,139,0.36,R,0, ,726,R,10.8, ,87.0, ,56.1, ,70.8,Y,74, ,24, ,42,Y,46.5,Y,11.8,R,283.2,R,71.1,Y
211,5/20/2022,140,0.30, ,0, ,744,R,7.2,Y,80.8, ,51.4, ,64.9, ,69, ,16, ,34,Y,36.1,Y,9.8,Y,235.9,Y,70.2,Y
211,5/21/2022,141,0.26, ,0, ,738,R,8.9, ,83.4, ,48.9, ,62.5, ,77, ,20, ,46, ,41.4, ,5.2, ,124.5, ,70.8,Y
211,5/22/2022,142,0.26, ,0, ,723, ,9.8, ,87.3, ,43.9, ,62.5, ,91, ,15, ,51, ,43.9, ,5.5, ,130.8, ,71.6,Y
211,5/23/2022,143,0.30, ,0, ,730,R,9.4, ,91.1, ,46.5, ,66.5, ,81, ,15, ,42, ,43.0, ,6.1, ,146.4, ,72.1,Y
211,5/24/2022,144,0.29,R,0, ,726, ,8.8, ,99.1,Y,47.1, ,74.0,R,81,H,10,H,--,R,--,I,5.0, ,120.5, ,73.6,R
211,5/25/2022,145,0.27,R,0, ,708, ,11.4, ,90.8, ,53.5, ,68.4, ,90, ,26, ,48, ,48.0, ,6.1, ,145.8, ,--,S
211,5/26/2022,146,0.20, ,0, ,623, ,13.0, ,73.7, ,52.4, ,61.1, ,93, ,49, ,71, ,51.4, ,6.9, ,165.3, ,74.6,R
211,5/27/2022,147,0.20, ,0, ,592, ,12.6, ,74.5, ,55.9, ,61.8, ,83, ,47, ,67, ,50.7, ,5.4, ,129.5, ,73.0,Y
211,5/28/2022,148,0.24, ,0, ,681, ,12.4, ,76.4, ,54.6, ,63.7, ,87, ,42, ,62, ,50.3, ,6.2, ,147.7, ,73.5,Y
211,5/29/2022,149,0.30, ,0, ,731, ,10.0, ,79.6, ,51.5, ,64.7, ,84, ,19, ,48, ,44.4, ,9.9,Y,236.8,Y,73.0,Y
211,5/30/2022,150,0.25, ,0, ,747,R,9.5, ,78.0, ,46.5, ,60.6, ,86, ,28, ,53, ,43.2, ,5.5, ,132.8, ,72.5,Y
211,5/31/2022,151,0.30, ,0, ,746,R,8.0,Y,87.4, ,42.5, ,65.5, ,86, ,16, ,37,Y,38.8,Y,6.4, ,154.7, ,72.6,Y
