231,5/1/2022,121,--,N,0, ,671, ,11.5, ,62.9, ,49.5, ,54.4, ,92, ,61, ,80, ,48.3, ,10.8, ,260.3, ,62.8, 
231,5/2/2022,122,--,N,0, ,580, ,11.7, ,62.9, ,47.1, ,53.5, ,97, ,66, ,84, ,48.6, ,7.8, ,186.4, ,63.7, 
231,5/3/2022,123,--,N,0, ,677, ,10.5, ,66.3, ,39.6, ,52.6, ,95, ,54, ,78, ,45.9, ,5.8, ,139.3, ,63.6, 
231,5/4/2022,124,--,N,0, ,670, ,11.1, ,66.5, ,37.0,Y,51.8, ,97, ,62, ,85, ,47.4, ,5.0, ,120.3, ,63.9, 
231,5/5/2022,125,--,N,0, ,560, ,11.9, ,61.0, ,45.4, ,51.5, ,100, ,74, ,92, ,49.2, ,5.3, ,127.3, ,63.8, 
231,5/6/2022,126,--,N,0, ,642, ,13.3, ,66.4, ,46.1, ,56.0, ,97, ,68, ,87, ,52.2, ,8.6, ,207.0, ,62.6, 
231,5/7/2022,127,--,N,0, ,680, ,12.2, ,64.1, ,50.6, ,56.0, ,99, ,62, ,79, ,49.7, ,12.4,Y,297.0,Y,63.7, 
231,5/8/2022,128,--,N,0, ,696, ,9.7, ,60.3, ,48.3, ,53.4, ,86, ,54, ,70, ,43.7, ,17.7,R,424.6,R,63.0, 
231,5/9/2022,129,--,N,0, ,700, ,7.9,Y,62.0, ,40.3, ,51.9, ,90, ,40, ,60,Y,38.3,Y,10, ,240.0, ,62.0, 
231,5/10/2022,130,--,N,0, ,706, ,8.1,Y,62.4, ,34.9,Y,50.3, ,94, ,39, ,65,Y,39.1,Y,9.9, ,237.3, ,61.6, 
231,5/11/2022,131,--,N,0, ,711,R,8.9, ,61.5, ,32.7,R,50.6, ,92, ,40, ,70, ,41.4, ,9.6, ,230.4, ,61.3, 
231,5/12/2022,132,--,N,0, ,703, ,9.6, ,66.2, ,35.8,Y,52.5, ,96, ,45, ,71, ,43.3, ,8.4, ,202.1, ,61.8, 
231,5/13/2022,133,--,N,0, ,706, ,10.0, ,83.7,Y,41.5, ,60.9, ,92, ,20, ,55, ,44.5, ,7.6, ,183.0, ,63.2, 
231,5/14/2022,134,--,N,0, ,688, ,12.3, ,72.7, ,43.7, ,56.5, ,95, ,56, ,79, ,50.0, ,5.9, ,140.6, ,64.7, 
231,5/15/2022,135,--,N,0, ,432, ,13.1, ,61.3, ,45.8, ,54.1, ,98, ,79, ,92, ,51.7, ,7.6, ,182.8, ,64.7, 
231,5/16/2022,136,--,N,0, ,577, ,12.8, ,62.7, ,51.1, ,55.2, ,99, ,70, ,86, ,51.1, ,12.9, ,308.4, ,64.3, 
231,5/17/2022,137,--,N,0, ,680, ,12.0, ,61.3, ,50.1, ,54.6, ,93, ,69, ,83, ,49.4, ,10.7, ,257.9, ,63.8, 
231,5/18/2022,138,--,N,0, ,662, ,12.1, ,65.1, ,46.8, ,55.6, ,94, ,65, ,80, ,49.6, ,6.1, ,145.3, ,63.3, 
231,5/19/2022,139,--,N,0, ,695, ,12.4, ,63.8, ,43.6, ,52.7, ,100, ,71, ,91, ,50.2, ,6.1, ,145.9, ,63.9, 
231,5/20/2022,140,--,N,0, ,681, ,12.0, ,64.1, ,44.6, ,55.5, ,91, ,67, ,80, ,49.3, ,6.7, ,161.0, ,62.8, 
231,5/21/2022,141,--,N,0, ,697, ,11.7, ,67.2, ,40.4, ,54.4, ,94, ,62, ,81, ,48.7, ,6.5, ,156.3, ,62.2, 
231,5/22/2022,142,--,N,0, ,642, ,12.2, ,61.2, ,49.7, ,54.6, ,94, ,73, ,84, ,49.9, ,6.2, ,147.9, ,63.8, 
231,5/23/2022,143,--,N,0, ,691, ,12.5, ,63.9, ,49.1, ,56.0, ,94, ,68, ,82, ,50.5, ,6.0, ,143.9, ,65.2, 
231,5/24/2022,144,--,N,0, ,663, ,13.0, ,66.5, ,46.5, ,56.1, ,94, ,69, ,85, ,51.5, ,5.3, ,126.0, ,65.9, 
231,5/25/2022,145,--,N,0, ,682, ,14.3, ,74.2,Y,45.5, ,58.8, ,96, ,61, ,84, ,54.1, ,5.2, ,125.6, ,66.8, 
231,5/26/2022,146,--,N,0, ,385, ,15.0, ,69.1, ,57.2, ,60.4, ,95, ,66, ,84, ,55.4, ,3.9, ,93.5, ,67.9, 
231,5/27/2022,147,--,N,0, ,597, ,14.4, ,69.1, ,50.1, ,58.9, ,100, ,61, ,85, ,54.3, ,4.8, ,115.1, ,68.3, 
231,5/28/2022,148,--,N,0, ,528, ,13.9, ,65.2, ,48.0, ,57.1, ,100, ,65, ,87, ,53.3, ,7.9, ,189.5, ,65.6, 
231,5/29/2022,149,--,N,0, ,718, ,12.9, ,67.1, ,52.1, ,58.5, ,95, ,60, ,77, ,51.4, ,12.2, ,293.2, ,65.0, 
231,5/30/2022,150,--,N,0, ,713, ,11.9, ,64.5, ,50.1, ,56.5, ,93, ,59, ,76, ,49.1, ,10.7, ,256.4, ,65.1, 
231,5/31/2022,151,--,N,0, ,712, ,12.0, ,64.1, ,43.2, ,54.9, ,95, ,66, ,82, ,49.4, ,7.5, ,180.7, ,65.4, 
