146,5/1/2022,121,0.23, ,0, ,682, ,8.5, ,79.1, ,46.9, ,63.5, ,75, ,23, ,42, ,40.2, ,3.7, ,90.0, ,71.0, 
146,5/2/2022,122,0.25, ,0, ,668, ,8.8, ,83.3, ,46.7, ,67.0, ,65, ,22, ,39, ,41.2, ,4.2, ,101.0, ,71.7, 
146,5/3/2022,123,0.24, ,0, ,688, ,7.4, ,77.7, ,45.4, ,62.2, ,65, ,26, ,39, ,36.8, ,4.2, ,101.2, ,70.3, 
146,5/4/2022,124,0.25, ,0, ,679, ,8.3, ,88.8, ,46.5, ,69.1, ,62, ,19, ,34, ,39.7, ,3.7, ,88.6, ,70.3, 
146,5/5/2022,125,0.27, ,0, ,673, ,8.8, ,91.8, ,48.6, ,72.6, ,57, ,16, ,32, ,41.1, ,4.2, ,101.0, ,71.7, 
146,5/6/2022,126,0.23, ,0, ,672, ,12.1, ,84.0, ,51.6, ,69.4, ,62, ,34, ,49, ,49.6, ,3.6, ,87.6, ,73.0, 
146,5/7/2022,127,0.19, ,0, ,557, ,11.5, ,78.2, ,53.9, ,65.1, ,79, ,32, ,54, ,48.2, ,4.3, ,103.2, ,73.5, 
146,5/8/2022,128,0.24, ,0, ,689, ,6.6, ,73.0, ,43.0, ,58.9, ,69, ,23, ,39, ,34.0, ,5.1, ,122.2, ,72.6, 
146,5/9/2022,129,0.21, ,0, ,705, ,5.4,Y,66.9, ,35.9,Y,54.1,Y,61, ,21, ,38,Y,28.9,Y,4.4, ,104.8, ,71.6, 
146,5/10/2022,130,0.22, ,0, ,717,R,5.7, ,67.0, ,39.2,Y,54.3,Y,61, ,22, ,39,Y,30.1,Y,4.8, ,115.6, ,71.3, 
146,5/11/2022,131,0.23, ,0, ,713,R,5.5,Y,69.9, ,37.5,Y,55.3, ,66, ,22, ,37,Y,29.6,Y,4.9, ,117.8, ,71.0, 
146,5/12/2022,132,0.23, ,0, ,702, ,6.1, ,76.7, ,38.3,Y,59.2, ,61, ,18, ,36, ,32.0, ,3.9, ,93.6, ,70.7, 
146,5/13/2022,133,0.24, ,0, ,708, ,7.8, ,82.8, ,43.0, ,64.2, ,57, ,23, ,38, ,38.3, ,3.4, ,82.5, ,70.3, 
146,5/14/2022,134,0.26, ,0, ,696, ,11.6, ,88.8, ,53.6, ,72.1, ,66, ,26, ,43, ,48.4, ,4.0, ,96.3, ,72.5, 
146,5/15/2022,135,0.25, ,0, ,598, ,11.8, ,94.2, ,59.3, ,76.5, ,56, ,22, ,38, ,49.0, ,3.9, ,93.2, ,74.7, 
146,5/16/2022,136,0.27, ,0, ,711, ,9.3, ,86.5, ,54.8, ,71.1, ,63, ,24, ,36, ,42.8, ,4.2, ,100.2, ,75.5, 
146,5/17/2022,137,0.26, ,0, ,707, ,9.0, ,86.5, ,52.1, ,70.6, ,55, ,20, ,35, ,41.8, ,3.5, ,84.3, ,73.5, 
146,5/18/2022,138,0.27, ,0, ,708, ,10.4, ,91.3, ,54.6, ,74.1, ,59, ,25, ,36, ,45.5, ,3.9, ,92.6, ,74.9, 
146,5/19/2022,139,0.30, ,0, ,848,R,13.2, ,92.0, ,68.1,Y,83.1, ,49, ,25, ,34, ,51.9, ,6.0, ,144.7, ,76.9, 
146,5/20/2022,140,0.27, ,0, ,715, ,7.8, ,79.3, ,57.6, ,68.3, ,50, ,21, ,33, ,38.0, ,4.8, ,116.0, ,75.0, 
146,5/21/2022,141,0.27, ,0, ,723, ,7.1, ,85.1, ,43.5, ,68.6, ,75, ,16, ,30, ,35.7, ,4.0, ,94.9, ,72.5, 
146,5/22/2022,142,0.28, ,0, ,715, ,7.4, ,89.8, ,51.5, ,73.2, ,42, ,15, ,26, ,36.7, ,3.8, ,90.0, ,73.1, 
146,5/23/2022,143,0.28, ,0, ,712, ,9.0, ,91.0, ,54.1, ,73.7, ,48, ,21, ,32, ,41.9, ,4.0, ,95.9, ,74.5, 
146,5/24/2022,144,0.29, ,0, ,712, ,11.0, ,96.0, ,57.6, ,78.2, ,47, ,22, ,33, ,47.0, ,3.5, ,85.0, ,75.5, 
146,5/25/2022,145,0.32, ,0, ,710, ,10.2, ,101.5, ,59.9, ,83.1, ,45, ,16, ,26, ,45.1, ,4.6, ,110.8, ,76.9, 
146,5/26/2022,146,0.32, ,0, ,668, ,11.7, ,95.3, ,61.9, ,78.9, ,62, ,23, ,35, ,48.7, ,7.0, ,167.3, ,77.6, 
146,5/27/2022,147,0.24, ,0, ,650, ,12.9, ,86.9, ,53.3, ,70.7, ,84, ,31, ,50, ,51.3, ,4.4, ,106.1, ,76.8, 
146,5/28/2022,148,0.27, ,0, ,689, ,11.8, ,84.0, ,57.0, ,71.3, ,66, ,31, ,45, ,49.0, ,5.3, ,127.7, ,76.5, 
146,5/29/2022,149,0.27, ,0, ,731, ,9.0, ,79.0, ,50.3, ,66.2, ,73, ,19, ,41, ,41.8, ,5.1, ,122.1, ,75.5, 
146,5/30/2022,150,0.27, ,0, ,734, ,7.4, ,81.9, ,46.4, ,67.0, ,56, ,23, ,33, ,36.7, ,4.5, ,109.1, ,74.5, 
146,5/31/2022,151,0.27, ,0, ,741,R,7.7, ,82.9, ,49.6, ,67.6, ,47, ,23, ,33, ,37.8, ,4.0, ,96.5, ,74.6, 
