41,5/1/2022,121,0.28, ,0, ,722,R,9.3, ,92.5, ,52.2, ,74.4, ,72, ,19, ,32, ,42.6, ,4.8, ,115.4, ,64.5, 
41,5/2/2022,122,0.26, ,0, ,725,R,10.9, ,91.9, ,53.6, ,73.5, ,78, ,18, ,39, ,46.7, ,4.2, ,99.6, ,65.1, 
41,5/3/2022,123,0.25, ,0, ,718,R,13.8, ,90.4, ,57.6, ,73.1, ,91, ,20, ,50, ,53.2, ,3.5, ,84.8, ,65.8, 
41,5/4/2022,124,0.27, ,0, ,740,R,11.8, ,92.7, ,53.0, ,73.5, ,89, ,13, ,42, ,49.0, ,3.9, ,93.5, ,66.0, 
41,5/5/2022,125,0.26, ,0, ,738,R,10.6, ,96.5, ,52.8, ,76.8, ,79, ,10, ,34, ,46.0, ,2.9, ,69.0, ,66.4, 
41,5/6/2022,126,0.29, ,0, ,729,R,9.9, ,99.1, ,53.2, ,78.8, ,73, ,13, ,29, ,44.2, ,4.4, ,104.9, ,67.3, 
41,5/7/2022,127,0.30, ,0, ,716,R,10.9, ,98.8, ,58.5, ,79.3, ,71, ,18, ,32, ,46.8, ,5.8, ,138.7, ,68.6, 
41,5/8/2022,128,0.33, ,0, ,692, ,9.6, ,87.3, ,58.0, ,73.2, ,49, ,21, ,34, ,43.4, ,9.1, ,217.4, ,68.3, 
41,5/9/2022,129,0.29, ,0, ,724,R,8.1, ,84.3, ,52.6, ,69.4, ,58, ,20, ,33, ,39.0, ,7.0, ,168.5, ,66.8, 
41,5/10/2022,130,0.30, ,0, ,731,R,6.5,Y,84.8, ,54.9, ,70.2, ,49, ,13, ,26,Y,33.5,Y,6.3, ,150.3, ,66.4,Y
41,5/11/2022,131,0.28, ,0, ,762,R,5.7,Y,79.9, ,52.0, ,66.2, ,41, ,15, ,26,Y,30.3,Y,6.4, ,154.1, ,65.7,Y
41,5/12/2022,132,0.27, ,0, ,763,R,6.9, ,85.0, ,45.6,Y,67.8, ,73, ,10, ,30, ,35.2, ,4.0, ,95.2, ,64.7,Y
41,5/13/2022,133,0.27, ,0, ,755,R,9.4, ,94.8, ,48.4, ,72.5, ,75, ,10, ,34, ,42.9, ,3.5, ,84.5, ,65.3,Y
41,5/14/2022,134,0.28, ,0, ,760,R,10.6, ,101.8, ,52.9, ,78.0, ,81, ,9, ,32, ,46.0, ,3.0, ,71.6, ,67.0,Y
41,5/15/2022,135,0.31, ,0, ,749,R,9.0, ,105.0, ,55.0, ,81.5, ,76, ,7, ,24, ,41.7, ,3.8, ,90.7, ,68.8, 
41,5/16/2022,136,0.29, ,0, ,744,R,10.5, ,102.1, ,54.4, ,80.2, ,69, ,15, ,30, ,45.8, ,3.7, ,88.6, ,69.9, 
41,5/17/2022,137,0.30, ,0, ,753,R,11.7, ,98.3, ,57.7, ,79.6, ,70, ,14, ,34, ,48.6, ,4.7, ,112.2, ,70.8, 
41,5/18/2022,138,0.29, ,0, ,736,R,13.1, ,96.5, ,58.8, ,78.1, ,70, ,15, ,40, ,51.8, ,4.5, ,107.1, ,71.1, 
41,5/19/2022,139,0.30, ,0, ,741,R,14.1, ,97.2, ,59.9, ,77.9, ,77, ,21, ,43, ,53.7, ,6.0, ,143.0, ,71.1, 
41,5/20/2022,140,0.29, ,0, ,731,R,12.9, ,96.8, ,57.2, ,75.4, ,72, ,23, ,43, ,51.3, ,5.8, ,139.9, ,71.2, 
41,5/21/2022,141,0.26, ,0, ,732,R,13.4, ,90.1, ,57.3, ,74.5, ,74, ,23, ,46, ,52.4, ,4.1, ,98.5, ,70.9, 
41,5/22/2022,142,0.27, ,0, ,733,R,13.6, ,93.2, ,59.6, ,76.8, ,81, ,22, ,43, ,52.8, ,3.9, ,92.4, ,71.3, 
41,5/23/2022,143,0.28, ,0, ,730,R,13.5, ,95.2, ,59.1, ,77.9, ,82, ,21, ,41, ,52.5, ,4.3, ,103.9, ,71.7, 
41,5/24/2022,144,0.31, ,0, ,735,R,13.0, ,99.3, ,60.6, ,80.4, ,60, ,20, ,37, ,51.6, ,5.5, ,131.4, ,72.1, 
41,5/25/2022,145,0.31, ,0, ,714, ,12.2, ,101.8, ,63.9, ,82.5, ,53, ,13, ,32, ,49.9, ,6.1, ,146.6, ,72.6, 
41,5/26/2022,146,0.33, ,0, ,736,R,12.6, ,102.7, ,65.2, ,83.5, ,51, ,17, ,32, ,50.7, ,6.0, ,143.1, ,73.1, 
41,5/27/2022,147,0.32, ,0, ,725, ,10.0, ,101.2, ,59.9, ,82.9, ,67, ,10, ,26, ,44.4, ,4.7, ,112.5, ,73.4, 
41,5/28/2022,148,0.33, ,0, ,724, ,10.2, ,95.3, ,62.0, ,80.4, ,46, ,17, ,29, ,45.1, ,7.0, ,167.2, ,73.4, 
41,5/29/2022,149,0.32, ,0, ,732, ,11.8, ,94.4, ,63.6, ,78.4, ,59, ,19, ,35, ,48.8, ,7.0, ,168.2, ,73.2, 
41,5/30/2022,150,0.29, ,0, ,752,R,10.5, ,95.2, ,61.4, ,78.6, ,68, ,11, ,31, ,45.8, ,4.2, ,100.2, ,73.1, 
41,5/31/2022,151,0.28, ,0, ,764,R,11.5, ,94.8, ,57.5, ,77.4, ,69, ,15, ,36, ,48.3, ,3.8, ,91.4, ,73.2, 
